attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,0,0,40,0,0,0,0,0,0,0,0,0,2
0,0,0,2047,0,0,0,0,0,0,0,0,0,2
0,908056,0,-1614,1065302,976239,706367,547048,512196,182175,312655,25,0,2
0,908056,0,-209,1065302,976239,706367,547048,512196,182175,312655,25,0,2
0,908056,0,7,1065302,976239,706367,547048,512196,182175,312655,25,0,2
0,908056,0,41,1065302,976239,706367,547048,512196,182175,312655,25,0,2
0,908056,0,1142,1065302,976239,706367,547048,512196,182175,312655,25,0,2
0,908056,0,-263,1065302,976239,706367,547048,512196,182175,312655,25,0,2
0,908056,0,2047,1065302,976239,706367,547048,512196,182175,312655,25,0,2
0,908056,0,-2048,1065302,976239,706367,547048,512196,182175,312655,25,0,2
0,908056,0,-773,1065302,976239,706367,547048,512196,182175,312655,25,0,2
0,908056,0,-86,1065302,976239,706367,547048,512196,182175,312655,25,0,2
0,1410642,0,-162,103312,56412,12879,10159,13794,28382,21052,51,0,2
0,1410642,0,1297,103312,56412,12879,10159,13794,28382,21052,51,0,2
0,1410642,0,2047,103312,56412,12879,10159,13794,28382,21052,51,0,2
0,1410642,0,-1598,103312,56412,12879,10159,13794,28382,21052,51,0,2
