,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,69185,0,2047,32818,31565,42041,11122,15265,10221,14275,51,0,2
81,0,69185,0,-664,32818,31565,42041,11122,15265,10221,14275,51,0,2
82,0,69185,0,-131,32818,31565,42041,11122,15265,10221,14275,51,0,2
83,0,69185,0,617,32818,31565,42041,11122,15265,10221,14275,51,0,2
84,0,69185,0,663,32818,31565,42041,11122,15265,10221,14275,51,0,2
85,0,69185,0,-2048,32818,31565,42041,11122,15265,10221,14275,51,0,2
86,0,69185,0,996,32818,31565,42041,11122,15265,10221,14275,51,0,2
87,0,69185,0,-1558,32818,31565,42041,11122,15265,10221,14275,51,0,2
88,0,1753159,0,1452,138680,117044,206012,178152,100388,79153,119356,51,0,2
89,0,1753159,0,281,138680,117044,206012,178152,100388,79153,119356,51,0,2
90,0,1753159,0,-2048,138680,117044,206012,178152,100388,79153,119356,51,0,2
91,0,1753159,0,-951,138680,117044,206012,178152,100388,79153,119356,51,0,2
92,0,1753159,0,2047,138680,117044,206012,178152,100388,79153,119356,51,0,2
93,0,1753159,0,1098,138680,117044,206012,178152,100388,79153,119356,51,0,2
94,0,1753159,0,-2048,138680,117044,206012,178152,100388,79153,119356,51,0,2
95,0,1753159,0,-1123,138680,117044,206012,178152,100388,79153,119356,51,0,2
96,0,1753159,0,904,138680,117044,206012,178152,100388,79153,119356,51,0,2
97,0,1056345,0,-615,300276,302978,77171,83830,52215,23479,21002,51,0,2
98,0,1056345,0,1636,300276,302978,77171,83830,52215,23479,21002,51,0,2
99,0,1056345,0,580,300276,302978,77171,83830,52215,23479,21002,51,0,2
100,0,1056345,0,770,300276,302978,77171,83830,52215,23479,21002,51,0,2
101,0,1056345,0,1120,300276,302978,77171,83830,52215,23479,21002,51,0,2
102,0,1056345,0,1995,300276,302978,77171,83830,52215,23479,21002,51,0,2
103,0,1056345,0,653,300276,302978,77171,83830,52215,23479,21002,51,0,2
104,0,1056345,0,139,300276,302978,77171,83830,52215,23479,21002,51,0,2
105,0,1056345,0,59,300276,302978,77171,83830,52215,23479,21002,51,0,2
106,0,1056345,0,2047,300276,302978,77171,83830,52215,23479,21002,51,0,2
107,0,288157,0,436,155270,29330,35444,64548,127418,81616,93287,51,0,2
108,0,288157,0,2047,155270,29330,35444,64548,127418,81616,93287,51,0,2
109,0,288157,0,-2048,155270,29330,35444,64548,127418,81616,93287,51,0,2
110,0,288157,0,1225,155270,29330,35444,64548,127418,81616,93287,51,0,2
111,0,288157,0,1248,155270,29330,35444,64548,127418,81616,93287,51,0,2
112,0,288157,0,1033,155270,29330,35444,64548,127418,81616,93287,51,0,2
113,0,288157,0,2047,155270,29330,35444,64548,127418,81616,93287,51,0,2
114,0,288157,0,-1694,155270,29330,35444,64548,127418,81616,93287,51,0,2
115,0,288157,0,416,155270,29330,35444,64548,127418,81616,93287,51,0,2
116,0,288157,0,237,155270,29330,35444,64548,127418,81616,93287,51,0,2
117,0,311624,0,139,1388640,799133,473463,517493,420267,469136,895399,51,0,2
118,0,311624,0,179,1388640,799133,473463,517493,420267,469136,895399,51,0,2
119,0,311624,0,-1818,1388640,799133,473463,517493,420267,469136,895399,51,0,2
120,0,311624,0,1845,1388640,799133,473463,517493,420267,469136,895399,51,0,2
121,0,311624,0,-2048,1388640,799133,473463,517493,420267,469136,895399,51,0,2
122,0,311624,0,1801,1388640,799133,473463,517493,420267,469136,895399,51,0,2
123,0,311624,0,2047,1388640,799133,473463,517493,420267,469136,895399,51,0,2
124,0,311624,0,1749,1388640,799133,473463,517493,420267,469136,895399,51,0,2
125,0,311624,0,2047,1388640,799133,473463,517493,420267,469136,895399,51,0,2
126,0,311624,0,1664,1388640,799133,473463,517493,420267,469136,895399,51,0,2
127,0,452117,0,2047,1080762,48419,161667,437271,323480,162070,190291,51,0,2
128,0,452117,0,2047,1080762,48419,161667,437271,323480,162070,190291,51,0,2
129,0,452117,0,-710,1080762,48419,161667,437271,323480,162070,190291,51,0,2
130,0,452117,0,530,1080762,48419,161667,437271,323480,162070,190291,51,0,2
131,0,452117,0,-2048,1080762,48419,161667,437271,323480,162070,190291,51,0,2
132,0,452117,0,2047,1080762,48419,161667,437271,323480,162070,190291,51,0,2
133,0,452117,0,-1886,1080762,48419,161667,437271,323480,162070,190291,51,0,2
134,0,452117,0,1026,1080762,48419,161667,437271,323480,162070,190291,51,0,2
135,0,452117,0,-2048,1080762,48419,161667,437271,323480,162070,190291,51,0,2
136,0,452117,0,2047,1080762,48419,161667,437271,323480,162070,190291,51,0,2
137,0,647923,0,916,372220,84581,37611,127274,198180,137439,98818,51,0,2
138,0,647923,0,182,372220,84581,37611,127274,198180,137439,98818,51,0,2
139,0,647923,0,-462,372220,84581,37611,127274,198180,137439,98818,51,0,2
140,0,647923,0,-2048,372220,84581,37611,127274,198180,137439,98818,51,0,2
141,0,647923,0,-258,372220,84581,37611,127274,198180,137439,98818,51,0,2
142,0,647923,0,3,372220,84581,37611,127274,198180,137439,98818,51,0,2
143,0,647923,0,-499,372220,84581,37611,127274,198180,137439,98818,51,0,2
