attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,238,0,-2048,61,22,8,7,13,8,10,25,0,1
0,238,0,-1178,61,22,8,7,13,8,10,25,0,1
0,238,0,821,61,22,8,7,13,8,10,25,0,1
0,238,0,186,61,22,8,7,13,8,10,25,0,1
0,238,0,-29,61,22,8,7,13,8,10,25,0,1
0,238,0,224,61,22,8,7,13,8,10,25,0,1
0,238,0,77,61,22,8,7,13,8,10,25,0,1
0,238,0,-24,61,22,8,7,13,8,10,25,0,1
0,238,0,577,61,22,8,7,13,8,10,25,0,1
0,697998,0,-756,45503,25301,72445,77165,91789,56430,46512,51,0,1
0,697998,0,896,45503,25301,72445,77165,91789,56430,46512,51,0,1
0,697998,0,896,45503,25301,72445,77165,91789,56430,46512,51,0,1
0,697998,0,-1774,45503,25301,72445,77165,91789,56430,46512,51,0,1
0,697998,0,907,45503,25301,72445,77165,91789,56430,46512,51,0,1
0,697998,0,1720,45503,25301,72445,77165,91789,56430,46512,51,0,1
0,697998,0,-841,45503,25301,72445,77165,91789,56430,46512,51,0,1
0,697998,0,132,45503,25301,72445,77165,91789,56430,46512,51,0,1
0,697998,0,-33,45503,25301,72445,77165,91789,56430,46512,51,0,1
0,697998,0,-568,45503,25301,72445,77165,91789,56430,46512,51,0,1
0,87206,0,-2040,147078,85077,59042,83135,51291,41718,16071,51,0,1
0,87206,0,2047,147078,85077,59042,83135,51291,41718,16071,51,0,1
0,87206,0,2018,147078,85077,59042,83135,51291,41718,16071,51,0,1
0,87206,0,1794,147078,85077,59042,83135,51291,41718,16071,51,0,1
0,87206,0,-1466,147078,85077,59042,83135,51291,41718,16071,51,0,1
0,87206,0,1212,147078,85077,59042,83135,51291,41718,16071,51,0,1
0,87206,0,-2048,147078,85077,59042,83135,51291,41718,16071,51,0,1
0,87206,0,705,147078,85077,59042,83135,51291,41718,16071,51,0,1
0,87206,0,147,147078,85077,59042,83135,51291,41718,16071,51,0,1
0,87206,0,-2047,147078,85077,59042,83135,51291,41718,16071,51,0,1
0,1223106,0,1654,265257,61277,55068,278091,141108,246963,113645,51,0,1
0,1223106,0,-2048,265257,61277,55068,278091,141108,246963,113645,51,0,1
0,1223106,0,-547,265257,61277,55068,278091,141108,246963,113645,51,0,1
0,1223106,0,-211,265257,61277,55068,278091,141108,246963,113645,51,0,1
0,1223106,0,-1291,265257,61277,55068,278091,141108,246963,113645,51,0,1
0,1223106,0,1190,265257,61277,55068,278091,141108,246963,113645,51,0,1
0,1223106,0,395,265257,61277,55068,278091,141108,246963,113645,51,0,1
0,1223106,0,1833,265257,61277,55068,278091,141108,246963,113645,51,0,1
0,1223106,0,1523,265257,61277,55068,278091,141108,246963,113645,51,0,1
0,1223106,0,377,265257,61277,55068,278091,141108,246963,113645,51,0,1
0,1711127,0,184,172586,69383,195524,97367,136054,134940,67744,51,0,1
0,1711127,0,-630,172586,69383,195524,97367,136054,134940,67744,51,0,1
0,1711127,0,-2048,172586,69383,195524,97367,136054,134940,67744,51,0,1
0,1711127,0,564,172586,69383,195524,97367,136054,134940,67744,51,0,1
0,1711127,0,214,172586,69383,195524,97367,136054,134940,67744,51,0,1
0,1711127,0,1189,172586,69383,195524,97367,136054,134940,67744,51,0,1
0,1711127,0,2047,172586,69383,195524,97367,136054,134940,67744,51,0,1
0,1711127,0,1517,172586,69383,195524,97367,136054,134940,67744,51,0,1
0,1711127,0,-567,172586,69383,195524,97367,136054,134940,67744,51,0,1
0,1711127,0,-762,172586,69383,195524,97367,136054,134940,67744,51,0,1
0,945774,0,-681,241048,251418,158861,161776,71232,152899,71283,51,0,1
0,945774,0,2047,241048,251418,158861,161776,71232,152899,71283,51,0,1
0,945774,0,1169,241048,251418,158861,161776,71232,152899,71283,51,0,1
