attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,30,0,48,18,6,7,9,11,6,12,54,0,2
0,30,0,45,18,6,7,9,11,6,12,54,0,2
0,30,0,45,18,6,7,9,11,6,12,54,0,2
0,30,0,48,18,6,7,9,11,6,12,54,0,2
0,30,0,48,18,6,7,9,11,6,12,54,0,2
0,30,0,48,18,6,7,9,11,6,12,54,0,2
0,30,0,45,18,6,7,9,11,6,12,54,0,2
0,30,0,45,18,6,7,9,11,6,12,54,0,2
0,30,0,48,18,6,7,9,11,6,12,54,0,2
0,15,0,48,11,8,3,8,5,10,82,200,0,2
0,15,0,48,11,8,3,8,5,10,82,200,0,2
0,15,0,48,11,8,3,8,5,10,82,200,0,2
0,15,0,48,11,8,3,8,5,10,82,200,0,2
0,15,0,49,11,8,3,8,5,10,82,200,0,2
0,15,0,48,11,8,3,8,5,10,82,200,0,2
0,15,0,48,11,8,3,8,5,10,82,200,0,2
0,15,0,48,11,8,3,8,5,10,82,200,0,2
0,15,0,48,11,8,3,8,5,10,82,200,0,2
0,15,0,50,11,8,3,8,5,10,82,200,0,2
0,34,0,45,6,1,0,3,5,1,72,200,0,2
0,34,0,42,6,1,0,3,5,1,72,200,0,2
0,34,0,40,6,1,0,3,5,1,72,200,0,2
0,34,0,49,6,1,0,3,5,1,72,200,0,2
0,34,0,134,6,1,0,3,5,1,72,200,0,2
0,34,0,146,6,1,0,3,5,1,72,200,0,2
0,34,0,49,6,1,0,3,5,1,72,200,0,2
0,34,0,-20,6,1,0,3,5,1,72,200,0,2
0,34,0,-72,6,1,0,3,5,1,72,200,0,2
0,34,0,-89,6,1,0,3,5,1,72,200,0,2
0,218154,0,12,38900,40069,8904,3085,8515,1505,149883,200,0,2
0,218154,0,-145,38900,40069,8904,3085,8515,1505,149883,200,0,2
0,218154,0,3,38900,40069,8904,3085,8515,1505,149883,200,0,2
0,218154,0,-28,38900,40069,8904,3085,8515,1505,149883,200,0,2
0,218154,0,380,38900,40069,8904,3085,8515,1505,149883,200,0,2
0,218154,0,624,38900,40069,8904,3085,8515,1505,149883,200,0,2
0,218154,0,521,38900,40069,8904,3085,8515,1505,149883,200,0,2
0,218154,0,-14,38900,40069,8904,3085,8515,1505,149883,200,0,2
0,218154,0,-406,38900,40069,8904,3085,8515,1505,149883,200,0,2
0,218154,0,20,38900,40069,8904,3085,8515,1505,149883,200,0,2
0,697643,0,788,558275,7187,200173,2851,246409,2019,1151422,200,0,2
0,697643,0,228,558275,7187,200173,2851,246409,2019,1151422,200,0,2
0,697643,0,-388,558275,7187,200173,2851,246409,2019,1151422,200,0,2
0,697643,0,-548,558275,7187,200173,2851,246409,2019,1151422,200,0,2
0,697643,0,-312,558275,7187,200173,2851,246409,2019,1151422,200,0,2
0,697643,0,4,558275,7187,200173,2851,246409,2019,1151422,200,0,2
0,697643,0,749,558275,7187,200173,2851,246409,2019,1151422,200,0,2
0,697643,0,790,558275,7187,200173,2851,246409,2019,1151422,200,0,2
0,697643,0,353,558275,7187,200173,2851,246409,2019,1151422,200,0,2
0,257714,0,486,299711,59907,168951,26265,76141,17329,505010,200,0,2
0,257714,0,801,299711,59907,168951,26265,76141,17329,505010,200,0,2
0,257714,0,673,299711,59907,168951,26265,76141,17329,505010,200,0,2
0,257714,0,24,299711,59907,168951,26265,76141,17329,505010,200,0,2
0,257714,0,-558,299711,59907,168951,26265,76141,17329,505010,200,0,2
0,257714,0,-585,299711,59907,168951,26265,76141,17329,505010,200,0,2
0,257714,0,-180,299711,59907,168951,26265,76141,17329,505010,200,0,2
0,257714,0,405,299711,59907,168951,26265,76141,17329,505010,200,0,2
0,257714,0,806,299711,59907,168951,26265,76141,17329,505010,200,0,2
0,257714,0,347,299711,59907,168951,26265,76141,17329,505010,200,0,2
