,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,69093,0,-632,51124,7664,29549,4086,29045,6192,126357,200,0,2
81,0,69093,0,68,51124,7664,29549,4086,29045,6192,126357,200,0,2
82,0,69093,0,483,51124,7664,29549,4086,29045,6192,126357,200,0,2
83,0,69093,0,711,51124,7664,29549,4086,29045,6192,126357,200,0,2
84,0,69093,0,379,51124,7664,29549,4086,29045,6192,126357,200,0,2
85,0,69093,0,-138,51124,7664,29549,4086,29045,6192,126357,200,0,2
86,0,69093,0,-418,51124,7664,29549,4086,29045,6192,126357,200,0,2
87,0,69093,0,120,51124,7664,29549,4086,29045,6192,126357,200,0,2
88,0,85171,0,64,193683,4286,115005,3588,89500,3532,414274,200,0,2
89,0,85171,0,-94,193683,4286,115005,3588,89500,3532,414274,200,0,2
90,0,85171,0,-132,193683,4286,115005,3588,89500,3532,414274,200,0,2
91,0,85171,0,11,193683,4286,115005,3588,89500,3532,414274,200,0,2
92,0,85171,0,-107,193683,4286,115005,3588,89500,3532,414274,200,0,2
93,0,85171,0,218,193683,4286,115005,3588,89500,3532,414274,200,0,2
94,0,85171,0,261,193683,4286,115005,3588,89500,3532,414274,200,0,2
95,0,85171,0,224,193683,4286,115005,3588,89500,3532,414274,200,0,2
96,0,85171,0,-3,193683,4286,115005,3588,89500,3532,414274,200,0,2
97,0,85171,0,42,193683,4286,115005,3588,89500,3532,414274,200,0,2
98,0,1399503,0,332,727077,247173,10316,15048,221943,4871,1279866,200,0,2
99,0,1399503,0,242,727077,247173,10316,15048,221943,4871,1279866,200,0,2
100,0,1399503,0,181,727077,247173,10316,15048,221943,4871,1279866,200,0,2
101,0,1399503,0,-109,727077,247173,10316,15048,221943,4871,1279866,200,0,2
102,0,1399503,0,-150,727077,247173,10316,15048,221943,4871,1279866,200,0,2
103,0,1399503,0,-7,727077,247173,10316,15048,221943,4871,1279866,200,0,2
104,0,1399503,0,115,727077,247173,10316,15048,221943,4871,1279866,200,0,2
105,0,1399503,0,426,727077,247173,10316,15048,221943,4871,1279866,200,0,2
106,0,1399503,0,496,727077,247173,10316,15048,221943,4871,1279866,200,0,2
107,0,1399503,0,123,727077,247173,10316,15048,221943,4871,1279866,200,0,2
108,0,1821296,0,331,954694,202383,232399,11284,185725,3437,1936194,200,0,2
109,0,1821296,0,596,954694,202383,232399,11284,185725,3437,1936194,200,0,2
110,0,1821296,0,281,954694,202383,232399,11284,185725,3437,1936194,200,0,2
111,0,1821296,0,-49,954694,202383,232399,11284,185725,3437,1936194,200,0,2
112,0,1821296,0,-339,954694,202383,232399,11284,185725,3437,1936194,200,0,2
113,0,1821296,0,-435,954694,202383,232399,11284,185725,3437,1936194,200,0,2
114,0,1821296,0,-142,954694,202383,232399,11284,185725,3437,1936194,200,0,2
115,0,1821296,0,216,954694,202383,232399,11284,185725,3437,1936194,200,0,2
116,0,1821296,0,647,954694,202383,232399,11284,185725,3437,1936194,200,0,2
117,0,1821296,0,-471,954694,202383,232399,11284,185725,3437,1936194,200,0,2
118,0,132698,0,-280,164559,1751,90775,1160,87384,1552,401210,200,0,2
119,0,132698,0,41,164559,1751,90775,1160,87384,1552,401210,200,0,2
120,0,132698,0,497,164559,1751,90775,1160,87384,1552,401210,200,0,2
121,0,132698,0,519,164559,1751,90775,1160,87384,1552,401210,200,0,2
122,0,132698,0,336,164559,1751,90775,1160,87384,1552,401210,200,0,2
123,0,132698,0,-274,164559,1751,90775,1160,87384,1552,401210,200,0,2
124,0,132698,0,-390,164559,1751,90775,1160,87384,1552,401210,200,0,2
125,0,132698,0,-409,164559,1751,90775,1160,87384,1552,401210,200,0,2
126,0,132698,0,45,164559,1751,90775,1160,87384,1552,401210,200,0,2
127,0,132698,0,569,164559,1751,90775,1160,87384,1552,401210,200,0,2
128,0,592593,0,-385,702329,27118,424777,3374,309213,3159,1544778,200,0,2
129,0,592593,0,-220,702329,27118,424777,3374,309213,3159,1544778,200,0,2
130,0,592593,0,465,702329,27118,424777,3374,309213,3159,1544778,200,0,2
131,0,592593,0,611,702329,27118,424777,3374,309213,3159,1544778,200,0,2
132,0,592593,0,501,702329,27118,424777,3374,309213,3159,1544778,200,0,2
133,0,592593,0,59,702329,27118,424777,3374,309213,3159,1544778,200,0,2
134,0,592593,0,-323,702329,27118,424777,3374,309213,3159,1544778,200,0,2
135,0,592593,0,-444,702329,27118,424777,3374,309213,3159,1544778,200,0,2
136,0,592593,0,-298,702329,27118,424777,3374,309213,3159,1544778,200,0,2
137,0,592593,0,170,702329,27118,424777,3374,309213,3159,1544778,200,0,2
138,0,171735,0,-125,228177,4643,114579,2666,70208,520,386812,200,0,2
139,0,171735,0,-405,228177,4643,114579,2666,70208,520,386812,200,0,2
140,0,171735,0,485,228177,4643,114579,2666,70208,520,386812,200,0,2
141,0,171735,0,-3,228177,4643,114579,2666,70208,520,386812,200,0,2
142,0,171735,0,437,228177,4643,114579,2666,70208,520,386812,200,0,2
143,0,171735,0,548,228177,4643,114579,2666,70208,520,386812,200,0,2
144,0,171735,0,282,228177,4643,114579,2666,70208,520,386812,200,0,2
145,0,171735,0,-102,228177,4643,114579,2666,70208,520,386812,200,0,2
146,0,171735,0,599,228177,4643,114579,2666,70208,520,386812,200,0,2
147,0,171735,0,-389,228177,4643,114579,2666,70208,520,386812,200,0,2
148,0,122241,0,202,195405,3155,83766,508,60645,915,333786,200,0,2
149,0,122241,0,-311,195405,3155,83766,508,60645,915,333786,200,0,2
150,0,122241,0,-439,195405,3155,83766,508,60645,915,333786,200,0,2
151,0,122241,0,-247,195405,3155,83766,508,60645,915,333786,200,0,2
152,0,122241,0,120,195405,3155,83766,508,60645,915,333786,200,0,2
153,0,122241,0,546,195405,3155,83766,508,60645,915,333786,200,0,2
154,0,122241,0,564,195405,3155,83766,508,60645,915,333786,200,0,2
155,0,122241,0,284,195405,3155,83766,508,60645,915,333786,200,0,2
156,0,122241,0,-276,195405,3155,83766,508,60645,915,333786,200,0,2
157,0,122241,0,-450,195405,3155,83766,508,60645,915,333786,200,0,2
158,0,35601,0,659,218675,7582,116423,1794,61425,855,337523,200,0,2
159,0,35601,0,378,218675,7582,116423,1794,61425,855,337523,200,0,2
160,0,35601,0,277,218675,7582,116423,1794,61425,855,337523,200,0,2
161,0,35601,0,-380,218675,7582,116423,1794,61425,855,337523,200,0,2
162,0,35601,0,-405,218675,7582,116423,1794,61425,855,337523,200,0,2
163,0,35601,0,-114,218675,7582,116423,1794,61425,855,337523,200,0,2
164,0,35601,0,365,218675,7582,116423,1794,61425,855,337523,200,0,2
165,0,35601,0,616,218675,7582,116423,1794,61425,855,337523,200,0,2
166,0,35601,0,-209,218675,7582,116423,1794,61425,855,337523,200,0,2
167,0,35601,0,-33,218675,7582,116423,1794,61425,855,337523,200,0,2
168,0,227961,0,401,715346,20392,530654,7441,262488,4245,1555875,200,0,2
169,0,227961,0,528,715346,20392,530654,7441,262488,4245,1555875,200,0,2
170,0,227961,0,-332,715346,20392,530654,7441,262488,4245,1555875,200,0,2
171,0,227961,0,-210,715346,20392,530654,7441,262488,4245,1555875,200,0,2
172,0,227961,0,-381,715346,20392,530654,7441,262488,4245,1555875,200,0,2
173,0,227961,0,-341,715346,20392,530654,7441,262488,4245,1555875,200,0,2
174,0,227961,0,-123,715346,20392,530654,7441,262488,4245,1555875,200,0,2
175,0,227961,0,395,715346,20392,530654,7441,262488,4245,1555875,200,0,2
176,0,227961,0,-296,715346,20392,530654,7441,262488,4245,1555875,200,0,2
177,0,227961,0,-59,715346,20392,530654,7441,262488,4245,1555875,200,0,2
178,0,874756,0,-102,685340,13556,449955,6343,202936,5382,1283377,200,0,2
179,0,874756,0,227,685340,13556,449955,6343,202936,5382,1283377,200,0,2
180,0,874756,0,564,685340,13556,449955,6343,202936,5382,1283377,200,0,2
181,0,874756,0,450,685340,13556,449955,6343,202936,5382,1283377,200,0,2
182,0,874756,0,8,685340,13556,449955,6343,202936,5382,1283377,200,0,2
183,0,874756,0,-365,685340,13556,449955,6343,202936,5382,1283377,200,0,2
184,0,874756,0,-449,685340,13556,449955,6343,202936,5382,1283377,200,0,2
185,0,874756,0,-182,685340,13556,449955,6343,202936,5382,1283377,200,0,2
186,0,874756,0,177,685340,13556,449955,6343,202936,5382,1283377,200,0,2
187,0,168527,0,-481,265427,2079,101459,1835,68142,1218,378175,200,0,2
188,0,168527,0,-430,265427,2079,101459,1835,68142,1218,378175,200,0,2
189,0,168527,0,-109,265427,2079,101459,1835,68142,1218,378175,200,0,2
190,0,168527,0,476,265427,2079,101459,1835,68142,1218,378175,200,0,2
191,0,168527,0,652,265427,2079,101459,1835,68142,1218,378175,200,0,2
192,0,168527,0,466,265427,2079,101459,1835,68142,1218,378175,200,0,2
193,0,168527,0,-332,265427,2079,101459,1835,68142,1218,378175,200,0,2
