attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,19,0,45,10,13,11,12,5,7,4,54,0,2
0,19,0,45,10,13,11,12,5,7,4,54,0,2
0,19,0,45,10,13,11,12,5,7,4,54,0,2
0,19,0,45,10,13,11,12,5,7,4,54,0,2
0,19,0,45,10,13,11,12,5,7,4,54,0,2
0,19,0,45,10,13,11,12,5,7,4,54,0,2
0,19,0,45,10,13,11,12,5,7,4,54,0,2
0,19,0,45,10,13,11,12,5,7,4,54,0,2
0,19,0,45,10,13,11,12,5,7,4,54,0,2
0,19,0,45,10,13,11,12,5,7,4,54,0,2
0,14,0,45,4,0,6,10,9,6,4,54,0,2
0,14,0,48,4,0,6,10,9,6,4,54,0,2
0,14,0,45,4,0,6,10,9,6,4,54,0,2
0,14,0,45,4,0,6,10,9,6,4,54,0,2
0,14,0,48,4,0,6,10,9,6,4,54,0,2
0,14,0,45,4,0,6,10,9,6,4,54,0,2
0,14,0,45,4,0,6,10,9,6,4,54,0,2
0,14,0,45,4,0,6,10,9,6,4,54,0,2
0,14,0,45,4,0,6,10,9,6,4,54,0,2
0,12,0,45,1,12,13,11,22,8,7,54,0,2
0,12,0,45,1,12,13,11,22,8,7,54,0,2
0,12,0,45,1,12,13,11,22,8,7,54,0,2
0,12,0,45,1,12,13,11,22,8,7,54,0,2
0,12,0,45,1,12,13,11,22,8,7,54,0,2
