,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,238798,0,33,8387,819,2229,2466,6626,312,86544,200,0,2
81,0,238798,0,-141,8387,819,2229,2466,6626,312,86544,200,0,2
82,0,238798,0,268,8387,819,2229,2466,6626,312,86544,200,0,2
83,0,717902,0,56,1046189,304011,56790,11809,122374,5789,1480237,200,0,2
84,0,717902,0,-71,1046189,304011,56790,11809,122374,5789,1480237,200,0,2
85,0,717902,0,-211,1046189,304011,56790,11809,122374,5789,1480237,200,0,2
86,0,717902,0,-97,1046189,304011,56790,11809,122374,5789,1480237,200,0,2
87,0,717902,0,269,1046189,304011,56790,11809,122374,5789,1480237,200,0,2
88,0,717902,0,217,1046189,304011,56790,11809,122374,5789,1480237,200,0,2
89,0,717902,0,984,1046189,304011,56790,11809,122374,5789,1480237,200,0,2
90,0,717902,0,759,1046189,304011,56790,11809,122374,5789,1480237,200,0,2
91,0,717902,0,853,1046189,304011,56790,11809,122374,5789,1480237,200,0,2
92,0,717902,0,-269,1046189,304011,56790,11809,122374,5789,1480237,200,0,2
93,0,1274918,0,99,699379,533085,486298,234371,544397,363785,2018539,200,0,2
94,0,1274918,0,-74,699379,533085,486298,234371,544397,363785,2018539,200,0,2
95,0,1274918,0,173,699379,533085,486298,234371,544397,363785,2018539,200,0,2
96,0,1274918,0,-683,699379,533085,486298,234371,544397,363785,2018539,200,0,2
97,0,1274918,0,-246,699379,533085,486298,234371,544397,363785,2018539,200,0,2
98,0,1274918,0,-40,699379,533085,486298,234371,544397,363785,2018539,200,0,2
99,0,1274918,0,276,699379,533085,486298,234371,544397,363785,2018539,200,0,2
100,0,1274918,0,348,699379,533085,486298,234371,544397,363785,2018539,200,0,2
101,0,1274918,0,256,699379,533085,486298,234371,544397,363785,2018539,200,0,2
102,0,1274918,0,57,699379,533085,486298,234371,544397,363785,2018539,200,0,2
103,0,737747,0,196,381085,54297,34656,4246,110093,6551,535020,200,0,2
104,0,737747,0,549,381085,54297,34656,4246,110093,6551,535020,200,0,2
105,0,737747,0,282,381085,54297,34656,4246,110093,6551,535020,200,0,2
106,0,737747,0,-61,381085,54297,34656,4246,110093,6551,535020,200,0,2
107,0,737747,0,-242,381085,54297,34656,4246,110093,6551,535020,200,0,2
108,0,737747,0,-284,381085,54297,34656,4246,110093,6551,535020,200,0,2
109,0,737747,0,-311,381085,54297,34656,4246,110093,6551,535020,200,0,2
110,0,737747,0,43,381085,54297,34656,4246,110093,6551,535020,200,0,2
111,0,737747,0,536,381085,54297,34656,4246,110093,6551,535020,200,0,2
112,0,737747,0,-523,381085,54297,34656,4246,110093,6551,535020,200,0,2
113,0,339983,0,-173,187872,34646,52536,3822,81462,8306,536266,200,0,2
114,0,339983,0,60,187872,34646,52536,3822,81462,8306,536266,200,0,2
115,0,339983,0,417,187872,34646,52536,3822,81462,8306,536266,200,0,2
116,0,339983,0,323,187872,34646,52536,3822,81462,8306,536266,200,0,2
117,0,339983,0,170,187872,34646,52536,3822,81462,8306,536266,200,0,2
118,0,339983,0,101,187872,34646,52536,3822,81462,8306,536266,200,0,2
119,0,339983,0,-244,187872,34646,52536,3822,81462,8306,536266,200,0,2
120,0,339983,0,-121,187872,34646,52536,3822,81462,8306,536266,200,0,2
121,0,339983,0,-198,187872,34646,52536,3822,81462,8306,536266,200,0,2
122,0,339983,0,265,187872,34646,52536,3822,81462,8306,536266,200,0,2
123,0,674832,0,-204,853699,262236,95760,22041,257625,27307,2113352,200,0,2
124,0,674832,0,-283,853699,262236,95760,22041,257625,27307,2113352,200,0,2
125,0,674832,0,-321,853699,262236,95760,22041,257625,27307,2113352,200,0,2
126,0,674832,0,201,853699,262236,95760,22041,257625,27307,2113352,200,0,2
127,0,674832,0,361,853699,262236,95760,22041,257625,27307,2113352,200,0,2
128,0,674832,0,347,853699,262236,95760,22041,257625,27307,2113352,200,0,2
129,0,674832,0,173,853699,262236,95760,22041,257625,27307,2113352,200,0,2
130,0,674832,0,37,853699,262236,95760,22041,257625,27307,2113352,200,0,2
131,0,674832,0,-196,853699,262236,95760,22041,257625,27307,2113352,200,0,2
132,0,674832,0,-100,853699,262236,95760,22041,257625,27307,2113352,200,0,2
133,0,473702,0,210,159920,88703,6797,8873,55596,3868,492808,200,0,2
134,0,473702,0,17,159920,88703,6797,8873,55596,3868,492808,200,0,2
135,0,473702,0,-233,159920,88703,6797,8873,55596,3868,492808,200,0,2
136,0,473702,0,-18,159920,88703,6797,8873,55596,3868,492808,200,0,2
137,0,473702,0,48,159920,88703,6797,8873,55596,3868,492808,200,0,2
138,0,473702,0,71,159920,88703,6797,8873,55596,3868,492808,200,0,2
139,0,473702,0,106,159920,88703,6797,8873,55596,3868,492808,200,0,2
140,0,473702,0,193,159920,88703,6797,8873,55596,3868,492808,200,0,2
141,0,473702,0,102,159920,88703,6797,8873,55596,3868,492808,200,0,2
142,0,473702,0,-121,159920,88703,6797,8873,55596,3868,492808,200,0,2
143,0,2013238,0,296,1998621,249193,137738,8580,222791,3273,1480667,200,0,2
144,0,2013238,0,312,1998621,249193,137738,8580,222791,3273,1480667,200,0,2
145,0,2013238,0,-1,1998621,249193,137738,8580,222791,3273,1480667,200,0,2
146,0,2013238,0,26,1998621,249193,137738,8580,222791,3273,1480667,200,0,2
147,0,2013238,0,-361,1998621,249193,137738,8580,222791,3273,1480667,200,0,2
148,0,2013238,0,-177,1998621,249193,137738,8580,222791,3273,1480667,200,0,2
149,0,2013238,0,-138,1998621,249193,137738,8580,222791,3273,1480667,200,0,2
150,0,2013238,0,136,1998621,249193,137738,8580,222791,3273,1480667,200,0,2
151,0,2013238,0,234,1998621,249193,137738,8580,222791,3273,1480667,200,0,2
152,0,2013238,0,147,1998621,249193,137738,8580,222791,3273,1480667,200,0,2
153,0,637745,0,-17,132131,80435,18879,1579,28399,1844,370701,200,0,2
154,0,637745,0,154,132131,80435,18879,1579,28399,1844,370701,200,0,2
155,0,637745,0,44,132131,80435,18879,1579,28399,1844,370701,200,0,2
156,0,637745,0,241,132131,80435,18879,1579,28399,1844,370701,200,0,2
157,0,637745,0,162,132131,80435,18879,1579,28399,1844,370701,200,0,2
158,0,637745,0,-46,132131,80435,18879,1579,28399,1844,370701,200,0,2
159,0,637745,0,-183,132131,80435,18879,1579,28399,1844,370701,200,0,2
160,0,637745,0,-308,132131,80435,18879,1579,28399,1844,370701,200,0,2
161,0,637745,0,-30,132131,80435,18879,1579,28399,1844,370701,200,0,2
162,0,637745,0,274,132131,80435,18879,1579,28399,1844,370701,200,0,2
163,0,2089881,0,-87,828480,260415,58872,27976,141617,6062,1556843,200,0,2
164,0,2089881,0,-167,828480,260415,58872,27976,141617,6062,1556843,200,0,2
165,0,2089881,0,313,828480,260415,58872,27976,141617,6062,1556843,200,0,2
166,0,2089881,0,165,828480,260415,58872,27976,141617,6062,1556843,200,0,2
167,0,2089881,0,305,828480,260415,58872,27976,141617,6062,1556843,200,0,2
168,0,2089881,0,300,828480,260415,58872,27976,141617,6062,1556843,200,0,2
169,0,2089881,0,98,828480,260415,58872,27976,141617,6062,1556843,200,0,2
170,0,2089881,0,-36,828480,260415,58872,27976,141617,6062,1556843,200,0,2
171,0,2089881,0,-194,828480,260415,58872,27976,141617,6062,1556843,200,0,2
172,0,2089881,0,-246,828480,260415,58872,27976,141617,6062,1556843,200,0,2
173,0,264940,0,49,87770,97743,5028,2042,73810,1326,367706,200,0,2
174,0,264940,0,-89,87770,97743,5028,2042,73810,1326,367706,200,0,2
175,0,264940,0,189,87770,97743,5028,2042,73810,1326,367706,200,0,2
176,0,264940,0,-137,87770,97743,5028,2042,73810,1326,367706,200,0,2
177,0,264940,0,39,87770,97743,5028,2042,73810,1326,367706,200,0,2
178,0,264940,0,252,87770,97743,5028,2042,73810,1326,367706,200,0,2
179,0,264940,0,354,87770,97743,5028,2042,73810,1326,367706,200,0,2
180,0,264940,0,229,87770,97743,5028,2042,73810,1326,367706,200,0,2
181,0,264940,0,5,87770,97743,5028,2042,73810,1326,367706,200,0,2
182,0,713134,0,77,101644,87041,16794,8447,39154,2362,407658,200,0,2
183,0,713134,0,294,101644,87041,16794,8447,39154,2362,407658,200,0,2
184,0,713134,0,400,101644,87041,16794,8447,39154,2362,407658,200,0,2
185,0,713134,0,196,101644,87041,16794,8447,39154,2362,407658,200,0,2
186,0,713134,0,-121,101644,87041,16794,8447,39154,2362,407658,200,0,2
187,0,713134,0,-233,101644,87041,16794,8447,39154,2362,407658,200,0,2
188,0,713134,0,-225,101644,87041,16794,8447,39154,2362,407658,200,0,2
189,0,713134,0,154,101644,87041,16794,8447,39154,2362,407658,200,0,2
190,0,713134,0,295,101644,87041,16794,8447,39154,2362,407658,200,0,2
191,0,713134,0,170,101644,87041,16794,8447,39154,2362,407658,200,0,2
192,0,77599,0,-184,304460,80856,10249,5415,46008,1592,484746,200,0,2
193,0,77599,0,118,304460,80856,10249,5415,46008,1592,484746,200,0,2
194,0,77599,0,195,304460,80856,10249,5415,46008,1592,484746,200,0,2
195,0,77599,0,263,304460,80856,10249,5415,46008,1592,484746,200,0,2
196,0,77599,0,170,304460,80856,10249,5415,46008,1592,484746,200,0,2
197,0,77599,0,-27,304460,80856,10249,5415,46008,1592,484746,200,0,2
198,0,77599,0,-909,304460,80856,10249,5415,46008,1592,484746,200,0,2
199,0,77599,0,9,304460,80856,10249,5415,46008,1592,484746,200,0,2
200,0,77599,0,-136,304460,80856,10249,5415,46008,1592,484746,200,0,2
