attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,21,0,45,17,7,10,22,10,5,4,25,0,1
0,21,0,48,17,7,10,22,10,5,4,25,0,1
0,21,0,44,17,7,10,22,10,5,4,25,0,1
0,21,0,45,17,7,10,22,10,5,4,25,0,1
0,21,0,48,17,7,10,22,10,5,4,25,0,1
0,21,0,45,17,7,10,22,10,5,4,25,0,1
0,21,0,45,17,7,10,22,10,5,4,25,0,1
0,21,0,45,17,7,10,22,10,5,4,25,0,1
0,21,0,43,17,7,10,22,10,5,4,25,0,1
0,21,0,35,17,7,10,22,10,5,4,25,0,1
0,27777,0,19,28463,5076,4806,2229,1916,2285,954,25,0,1
0,27777,0,2047,28463,5076,4806,2229,1916,2285,954,25,0,1
0,27777,0,-1694,28463,5076,4806,2229,1916,2285,954,25,0,1
0,27777,0,2047,28463,5076,4806,2229,1916,2285,954,25,0,1
0,27777,0,-778,28463,5076,4806,2229,1916,2285,954,25,0,1
0,27777,0,1371,28463,5076,4806,2229,1916,2285,954,25,0,1
0,27777,0,-2048,28463,5076,4806,2229,1916,2285,954,25,0,1
0,27777,0,-2048,28463,5076,4806,2229,1916,2285,954,25,0,1
0,27777,0,2047,28463,5076,4806,2229,1916,2285,954,25,0,1
0,27777,0,-650,28463,5076,4806,2229,1916,2285,954,25,0,1
0,136017,0,2047,77460,60011,58983,16850,56040,29520,21489,51,0,1
0,136017,0,-2048,77460,60011,58983,16850,56040,29520,21489,51,0,1
0,136017,0,1995,77460,60011,58983,16850,56040,29520,21489,51,0,1
0,136017,0,1122,77460,60011,58983,16850,56040,29520,21489,51,0,1
0,136017,0,211,77460,60011,58983,16850,56040,29520,21489,51,0,1
0,136017,0,72,77460,60011,58983,16850,56040,29520,21489,51,0,1
0,136017,0,50,77460,60011,58983,16850,56040,29520,21489,51,0,1
0,136017,0,44,77460,60011,58983,16850,56040,29520,21489,51,0,1
0,136017,0,44,77460,60011,58983,16850,56040,29520,21489,51,0,1
0,136017,0,44,77460,60011,58983,16850,56040,29520,21489,51,0,1
0,455896,0,44,448009,29659,19459,112755,45217,12420,12074,51,0,1
0,455896,0,45,448009,29659,19459,112755,45217,12420,12074,51,0,1
0,455896,0,44,448009,29659,19459,112755,45217,12420,12074,51,0,1
0,455896,0,1067,448009,29659,19459,112755,45217,12420,12074,51,0,1
0,455896,0,912,448009,29659,19459,112755,45217,12420,12074,51,0,1
0,455896,0,-1418,448009,29659,19459,112755,45217,12420,12074,51,0,1
0,455896,0,-180,448009,29659,19459,112755,45217,12420,12074,51,0,1
0,455896,0,18,448009,29659,19459,112755,45217,12420,12074,51,0,1
0,455896,0,42,448009,29659,19459,112755,45217,12420,12074,51,0,1
0,455896,0,37,448009,29659,19459,112755,45217,12420,12074,51,0,1
0,1295834,0,43,139375,43015,308817,384017,125391,68918,116896,51,0,1
0,1295834,0,45,139375,43015,308817,384017,125391,68918,116896,51,0,1
