,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,1295834,0,45,139375,43015,308817,384017,125391,68918,116896,51,0,1
81,0,1295834,0,-465,139375,43015,308817,384017,125391,68918,116896,51,0,1
82,0,1295834,0,-9,139375,43015,308817,384017,125391,68918,116896,51,0,1
83,0,1295834,0,36,139375,43015,308817,384017,125391,68918,116896,51,0,1
84,0,900185,0,51,733727,117739,27549,88350,78968,33793,28828,25,0,1
85,0,900185,0,-665,733727,117739,27549,88350,78968,33793,28828,25,0,1
86,0,900185,0,-75,733727,117739,27549,88350,78968,33793,28828,25,0,1
87,0,900185,0,2047,733727,117739,27549,88350,78968,33793,28828,25,0,1
88,0,900185,0,892,733727,117739,27549,88350,78968,33793,28828,25,0,1
89,0,900185,0,156,733727,117739,27549,88350,78968,33793,28828,25,0,1
90,0,900185,0,64,733727,117739,27549,88350,78968,33793,28828,25,0,1
91,0,900185,0,49,733727,117739,27549,88350,78968,33793,28828,25,0,1
92,0,900185,0,44,733727,117739,27549,88350,78968,33793,28828,25,0,1
93,0,900185,0,44,733727,117739,27549,88350,78968,33793,28828,25,0,1
94,0,935558,0,49,510109,141086,318741,176970,103317,21536,56493,51,0,1
95,0,935558,0,45,510109,141086,318741,176970,103317,21536,56493,51,0,1
96,0,935558,0,44,510109,141086,318741,176970,103317,21536,56493,51,0,1
97,0,935558,0,44,510109,141086,318741,176970,103317,21536,56493,51,0,1
98,0,935558,0,45,510109,141086,318741,176970,103317,21536,56493,51,0,1
99,0,935558,0,44,510109,141086,318741,176970,103317,21536,56493,51,0,1
100,0,935558,0,44,510109,141086,318741,176970,103317,21536,56493,51,0,1
101,0,935558,0,-2048,510109,141086,318741,176970,103317,21536,56493,51,0,1
102,0,935558,0,-473,510109,141086,318741,176970,103317,21536,56493,51,0,1
103,0,935558,0,2047,510109,141086,318741,176970,103317,21536,56493,51,0,1
104,0,645417,0,-1704,944159,467879,426536,848544,750246,502637,375739,51,0,1
105,0,645417,0,1996,944159,467879,426536,848544,750246,502637,375739,51,0,1
106,0,645417,0,355,944159,467879,426536,848544,750246,502637,375739,51,0,1
107,0,645417,0,321,944159,467879,426536,848544,750246,502637,375739,51,0,1
108,0,645417,0,87,944159,467879,426536,848544,750246,502637,375739,51,0,1
109,0,645417,0,53,944159,467879,426536,848544,750246,502637,375739,51,0,1
110,0,645417,0,66,944159,467879,426536,848544,750246,502637,375739,51,0,1
111,0,645417,0,2047,944159,467879,426536,848544,750246,502637,375739,51,0,1
112,0,645417,0,992,944159,467879,426536,848544,750246,502637,375739,51,0,1
113,0,645417,0,-2048,944159,467879,426536,848544,750246,502637,375739,51,0,1
114,0,839381,0,-1713,257656,11157,100729,108953,99399,198152,30831,51,0,1
115,0,839381,0,1249,257656,11157,100729,108953,99399,198152,30831,51,0,1
116,0,839381,0,-627,257656,11157,100729,108953,99399,198152,30831,51,0,1
117,0,839381,0,298,257656,11157,100729,108953,99399,198152,30831,51,0,1
118,0,839381,0,88,257656,11157,100729,108953,99399,198152,30831,51,0,1
119,0,839381,0,-945,257656,11157,100729,108953,99399,198152,30831,51,0,1
120,0,839381,0,-2048,257656,11157,100729,108953,99399,198152,30831,51,0,1
121,0,839381,0,-184,257656,11157,100729,108953,99399,198152,30831,51,0,1
122,0,839381,0,-210,257656,11157,100729,108953,99399,198152,30831,51,0,1
123,0,839381,0,-65,257656,11157,100729,108953,99399,198152,30831,51,0,1
124,0,574675,0,-408,161882,47063,262497,143839,59357,121897,53571,51,0,1
125,0,574675,0,1111,161882,47063,262497,143839,59357,121897,53571,51,0,1
126,0,574675,0,416,161882,47063,262497,143839,59357,121897,53571,51,0,1
127,0,574675,0,-2048,161882,47063,262497,143839,59357,121897,53571,51,0,1
128,0,574675,0,-92,161882,47063,262497,143839,59357,121897,53571,51,0,1
129,0,574675,0,-1171,161882,47063,262497,143839,59357,121897,53571,51,0,1
130,0,574675,0,2047,161882,47063,262497,143839,59357,121897,53571,51,0,1
131,0,574675,0,309,161882,47063,262497,143839,59357,121897,53571,51,0,1
132,0,574675,0,169,161882,47063,262497,143839,59357,121897,53571,51,0,1
133,0,574675,0,-1181,161882,47063,262497,143839,59357,121897,53571,51,0,1
134,0,560412,0,1688,380352,34126,77256,100452,71812,40271,40173,51,0,1
135,0,560412,0,2047,380352,34126,77256,100452,71812,40271,40173,51,0,1
136,0,560412,0,486,380352,34126,77256,100452,71812,40271,40173,51,0,1
137,0,560412,0,115,380352,34126,77256,100452,71812,40271,40173,51,0,1
138,0,560412,0,57,380352,34126,77256,100452,71812,40271,40173,51,0,1
139,0,560412,0,49,380352,34126,77256,100452,71812,40271,40173,51,0,1
140,0,560412,0,45,380352,34126,77256,100452,71812,40271,40173,51,0,1
141,0,560412,0,44,380352,34126,77256,100452,71812,40271,40173,51,0,1
142,0,560412,0,45,380352,34126,77256,100452,71812,40271,40173,51,0,1
143,0,1688172,0,-2048,105346,62826,73817,50509,124186,132705,159438,51,0,1
144,0,1688172,0,-295,105346,62826,73817,50509,124186,132705,159438,51,0,1
145,0,1688172,0,1132,105346,62826,73817,50509,124186,132705,159438,51,0,1
146,0,1688172,0,234,105346,62826,73817,50509,124186,132705,159438,51,0,1
147,0,1688172,0,-1889,105346,62826,73817,50509,124186,132705,159438,51,0,1
148,0,1688172,0,260,105346,62826,73817,50509,124186,132705,159438,51,0,1
149,0,1688172,0,-1873,105346,62826,73817,50509,124186,132705,159438,51,0,1
150,0,1688172,0,1642,105346,62826,73817,50509,124186,132705,159438,51,0,1
151,0,1688172,0,1475,105346,62826,73817,50509,124186,132705,159438,51,0,1
152,0,1688172,0,2047,105346,62826,73817,50509,124186,132705,159438,51,0,1
153,0,1399839,0,18,407377,150737,109907,86940,44142,85352,40223,51,0,1
154,0,1399839,0,-922,407377,150737,109907,86940,44142,85352,40223,51,0,1
155,0,1399839,0,2047,407377,150737,109907,86940,44142,85352,40223,51,0,1
