attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,14,0,48,10,3,1,4,5,10,4,54,0,2
0,14,0,45,10,3,1,4,5,10,4,54,0,2
0,14,0,48,10,3,1,4,5,10,4,54,0,2
0,14,0,48,10,3,1,4,5,10,4,54,0,2
0,14,0,48,10,3,1,4,5,10,4,54,0,2
0,14,0,48,10,3,1,4,5,10,4,54,0,2
0,14,0,48,10,3,1,4,5,10,4,54,0,2
0,14,0,48,10,3,1,4,5,10,4,54,0,2
0,14,0,48,10,3,1,4,5,10,4,54,0,2
0,14,0,48,10,3,1,4,5,10,4,54,0,2
0,1,0,48,3,7,3,9,6,5,5,54,0,2
0,1,0,48,3,7,3,9,6,5,5,54,0,2
0,1,0,48,3,7,3,9,6,5,5,54,0,2
0,1,0,45,3,7,3,9,6,5,5,54,0,2
0,1,0,48,3,7,3,9,6,5,5,54,0,2
0,1,0,48,3,7,3,9,6,5,5,54,0,2
0,1,0,48,3,7,3,9,6,5,5,54,0,2
0,1,0,48,3,7,3,9,6,5,5,54,0,2
0,1,0,48,3,7,3,9,6,5,5,54,0,2
0,1,0,48,3,7,3,9,6,5,5,54,0,2
0,9,0,48,9,1,1,16,13,7,4,54,0,2
0,9,0,48,9,1,1,16,13,7,4,54,0,2
0,9,0,49,9,1,1,16,13,7,4,54,0,2
0,9,0,48,9,1,1,16,13,7,4,54,0,2
0,9,0,48,9,1,1,16,13,7,4,54,0,2
0,9,0,45,9,1,1,16,13,7,4,54,0,2
