,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,450570,0,-940,889642,153011,224547,45182,229602,7728,1807864,200,0,2
81,0,450570,0,-217,889642,153011,224547,45182,229602,7728,1807864,200,0,2
82,0,619238,0,989,111953,105842,80467,44681,111356,91979,88723,200,0,2
83,0,619238,0,160,111953,105842,80467,44681,111356,91979,88723,200,0,2
84,0,619238,0,69,111953,105842,80467,44681,111356,91979,88723,200,0,2
85,0,619238,0,51,111953,105842,80467,44681,111356,91979,88723,200,0,2
86,0,619238,0,-2048,111953,105842,80467,44681,111356,91979,88723,200,0,2
87,0,619238,0,-394,111953,105842,80467,44681,111356,91979,88723,200,0,2
88,0,619238,0,2047,111953,105842,80467,44681,111356,91979,88723,200,0,2
89,0,619238,0,2047,111953,105842,80467,44681,111356,91979,88723,200,0,2
90,0,619238,0,401,111953,105842,80467,44681,111356,91979,88723,200,0,2
91,0,44584,0,114,40857,7009,18562,14868,6271,5261,12082,200,0,2
92,0,44584,0,55,40857,7009,18562,14868,6271,5261,12082,200,0,2
93,0,44584,0,48,40857,7009,18562,14868,6271,5261,12082,200,0,2
94,0,44584,0,45,40857,7009,18562,14868,6271,5261,12082,200,0,2
95,0,44584,0,44,40857,7009,18562,14868,6271,5261,12082,200,0,2
96,0,44584,0,44,40857,7009,18562,14868,6271,5261,12082,200,0,2
97,0,44584,0,-6,40857,7009,18562,14868,6271,5261,12082,200,0,2
98,0,44584,0,-806,40857,7009,18562,14868,6271,5261,12082,200,0,2
99,0,44584,0,-147,40857,7009,18562,14868,6271,5261,12082,200,0,2
100,0,44584,0,1625,40857,7009,18562,14868,6271,5261,12082,200,0,2
101,0,1017493,0,-232,205081,20484,15051,14842,28774,7791,3524,200,0,2
102,0,1017493,0,3,205081,20484,15051,14842,28774,7791,3524,200,0,2
103,0,1017493,0,39,205081,20484,15051,14842,28774,7791,3524,200,0,2
104,0,1017493,0,44,205081,20484,15051,14842,28774,7791,3524,200,0,2
105,0,1017493,0,45,205081,20484,15051,14842,28774,7791,3524,200,0,2
106,0,1017493,0,45,205081,20484,15051,14842,28774,7791,3524,200,0,2
107,0,1017493,0,48,205081,20484,15051,14842,28774,7791,3524,200,0,2
108,0,1017493,0,45,205081,20484,15051,14842,28774,7791,3524,200,0,2
109,0,1017493,0,48,205081,20484,15051,14842,28774,7791,3524,200,0,2
110,0,1017493,0,48,205081,20484,15051,14842,28774,7791,3524,200,0,2
111,0,1149932,0,48,143659,14526,7697,6258,4978,1545,755,200,0,2
112,0,1149932,0,1450,143659,14526,7697,6258,4978,1545,755,200,0,2
113,0,1149932,0,663,143659,14526,7697,6258,4978,1545,755,200,0,2
114,0,1149932,0,141,143659,14526,7697,6258,4978,1545,755,200,0,2
115,0,1149932,0,60,143659,14526,7697,6258,4978,1545,755,200,0,2
116,0,1149932,0,-2048,143659,14526,7697,6258,4978,1545,755,200,0,2
117,0,1149932,0,-500,143659,14526,7697,6258,4978,1545,755,200,0,2
118,0,1149932,0,-37,143659,14526,7697,6258,4978,1545,755,200,0,2
119,0,1149932,0,2047,143659,14526,7697,6258,4978,1545,755,200,0,2
120,0,1149932,0,649,143659,14526,7697,6258,4978,1545,755,200,0,2
121,0,1066517,0,153,163818,854,3813,9716,9115,1158,366,200,0,2
122,0,1066517,0,64,163818,854,3813,9716,9115,1158,366,200,0,2
123,0,1066517,0,50,163818,854,3813,9716,9115,1158,366,200,0,2
124,0,1066517,0,-201,163818,854,3813,9716,9115,1158,366,200,0,2
125,0,1066517,0,112,163818,854,3813,9716,9115,1158,366,200,0,2
126,0,1066517,0,56,163818,854,3813,9716,9115,1158,366,200,0,2
127,0,1066517,0,49,163818,854,3813,9716,9115,1158,366,200,0,2
128,0,1066517,0,-754,163818,854,3813,9716,9115,1158,366,200,0,2
129,0,1066517,0,-919,163818,854,3813,9716,9115,1158,366,200,0,2
130,0,1066517,0,198,163818,854,3813,9716,9115,1158,366,200,0,2
131,0,754337,0,-465,527807,484754,317829,44189,334604,74805,307227,200,0,2
132,0,754337,0,-372,527807,484754,317829,44189,334604,74805,307227,200,0,2
133,0,754337,0,-876,527807,484754,317829,44189,334604,74805,307227,200,0,2
134,0,754337,0,-444,527807,484754,317829,44189,334604,74805,307227,200,0,2
135,0,754337,0,-58,527807,484754,317829,44189,334604,74805,307227,200,0,2
136,0,754337,0,29,527807,484754,317829,44189,334604,74805,307227,200,0,2
137,0,754337,0,51,527807,484754,317829,44189,334604,74805,307227,200,0,2
138,0,754337,0,231,527807,484754,317829,44189,334604,74805,307227,200,0,2
139,0,754337,0,81,527807,484754,317829,44189,334604,74805,307227,200,0,2
140,0,754337,0,219,527807,484754,317829,44189,334604,74805,307227,200,0,2
141,0,1415285,0,136,40002,14475,28579,11000,9102,2050,37570,200,0,2
142,0,1415285,0,224,40002,14475,28579,11000,9102,2050,37570,200,0,2
143,0,1415285,0,76,40002,14475,28579,11000,9102,2050,37570,200,0,2
144,0,1415285,0,178,40002,14475,28579,11000,9102,2050,37570,200,0,2
145,0,1415285,0,-930,40002,14475,28579,11000,9102,2050,37570,200,0,2
146,0,1415285,0,-100,40002,14475,28579,11000,9102,2050,37570,200,0,2
147,0,1415285,0,-359,40002,14475,28579,11000,9102,2050,37570,200,0,2
148,0,1415285,0,2047,40002,14475,28579,11000,9102,2050,37570,200,0,2
149,0,1415285,0,296,40002,14475,28579,11000,9102,2050,37570,200,0,2
150,0,1415285,0,85,40002,14475,28579,11000,9102,2050,37570,200,0,2
151,0,115359,0,53,26533,12662,12759,2617,12046,3502,8790,200,0,2
152,0,115359,0,48,26533,12662,12759,2617,12046,3502,8790,200,0,2
153,0,115359,0,45,26533,12662,12759,2617,12046,3502,8790,200,0,2
154,0,115359,0,44,26533,12662,12759,2617,12046,3502,8790,200,0,2
155,0,115359,0,44,26533,12662,12759,2617,12046,3502,8790,200,0,2
156,0,115359,0,45,26533,12662,12759,2617,12046,3502,8790,200,0,2
157,0,115359,0,49,26533,12662,12759,2617,12046,3502,8790,200,0,2
158,0,115359,0,-198,26533,12662,12759,2617,12046,3502,8790,200,0,2
159,0,115359,0,-1443,26533,12662,12759,2617,12046,3502,8790,200,0,2
160,0,115359,0,-665,26533,12662,12759,2617,12046,3502,8790,200,0,2
161,0,254089,0,-85,746224,55951,24892,12529,40467,5438,146834,200,0,2
162,0,254089,0,33,746224,55951,24892,12529,40467,5438,146834,200,0,2
163,0,254089,0,44,746224,55951,24892,12529,40467,5438,146834,200,0,2
164,0,254089,0,48,746224,55951,24892,12529,40467,5438,146834,200,0,2
165,0,254089,0,71,746224,55951,24892,12529,40467,5438,146834,200,0,2
166,0,254089,0,1547,746224,55951,24892,12529,40467,5438,146834,200,0,2
167,0,254089,0,278,746224,55951,24892,12529,40467,5438,146834,200,0,2
168,0,254089,0,73,746224,55951,24892,12529,40467,5438,146834,200,0,2
169,0,254089,0,-40,746224,55951,24892,12529,40467,5438,146834,200,0,2
170,0,254089,0,-2048,746224,55951,24892,12529,40467,5438,146834,200,0,2
171,0,876304,0,-691,67044,6217,14338,36558,8964,1949,5546,200,0,2
172,0,876304,0,-24,67044,6217,14338,36558,8964,1949,5546,200,0,2
173,0,876304,0,36,67044,6217,14338,36558,8964,1949,5546,200,0,2
174,0,876304,0,44,67044,6217,14338,36558,8964,1949,5546,200,0,2
175,0,876304,0,48,67044,6217,14338,36558,8964,1949,5546,200,0,2
176,0,876304,0,44,67044,6217,14338,36558,8964,1949,5546,200,0,2
177,0,876304,0,48,67044,6217,14338,36558,8964,1949,5546,200,0,2
178,0,876304,0,48,67044,6217,14338,36558,8964,1949,5546,200,0,2
179,0,876304,0,45,67044,6217,14338,36558,8964,1949,5546,200,0,2
180,0,876304,0,48,67044,6217,14338,36558,8964,1949,5546,200,0,2
181,0,1030722,0,48,38628,9265,7633,3557,1809,698,460,200,0,2
182,0,1030722,0,48,38628,9265,7633,3557,1809,698,460,200,0,2
183,0,1030722,0,48,38628,9265,7633,3557,1809,698,460,200,0,2
184,0,1030722,0,48,38628,9265,7633,3557,1809,698,460,200,0,2
185,0,1030722,0,48,38628,9265,7633,3557,1809,698,460,200,0,2
186,0,1030722,0,48,38628,9265,7633,3557,1809,698,460,200,0,2
187,0,1030722,0,48,38628,9265,7633,3557,1809,698,460,200,0,2
188,0,1030722,0,1858,38628,9265,7633,3557,1809,698,460,200,0,2
189,0,1030722,0,-919,38628,9265,7633,3557,1809,698,460,200,0,2
190,0,1030722,0,-422,38628,9265,7633,3557,1809,698,460,200,0,2
191,0,378575,0,-39,213522,108100,34686,34099,18711,10092,145799,200,0,2
192,0,378575,0,34,213522,108100,34686,34099,18711,10092,145799,200,0,2
193,0,378575,0,44,213522,108100,34686,34099,18711,10092,145799,200,0,2
194,0,378575,0,45,213522,108100,34686,34099,18711,10092,145799,200,0,2
195,0,378575,0,48,213522,108100,34686,34099,18711,10092,145799,200,0,2
196,0,378575,0,45,213522,108100,34686,34099,18711,10092,145799,200,0,2
197,0,378575,0,45,213522,108100,34686,34099,18711,10092,145799,200,0,2
198,0,378575,0,48,213522,108100,34686,34099,18711,10092,145799,200,0,2
199,0,378575,0,49,213522,108100,34686,34099,18711,10092,145799,200,0,2
200,0,378575,0,48,213522,108100,34686,34099,18711,10092,145799,200,0,2
201,0,1142618,0,49,143215,15036,7450,5914,5390,1459,818,200,0,2
202,0,1142618,0,60,143215,15036,7450,5914,5390,1459,818,200,0,2
203,0,1142618,0,82,143215,15036,7450,5914,5390,1459,818,200,0,2
204,0,1142618,0,20,143215,15036,7450,5914,5390,1459,818,200,0,2
205,0,1142618,0,42,143215,15036,7450,5914,5390,1459,818,200,0,2
206,0,1142618,0,2047,143215,15036,7450,5914,5390,1459,818,200,0,2
207,0,1142618,0,914,143215,15036,7450,5914,5390,1459,818,200,0,2
208,0,1142618,0,-564,143215,15036,7450,5914,5390,1459,818,200,0,2
209,0,1142618,0,-1110,143215,15036,7450,5914,5390,1459,818,200,0,2
210,0,1142618,0,-663,143215,15036,7450,5914,5390,1459,818,200,0,2
211,0,1256733,0,-85,30237,5840,16109,30790,5854,2968,74444,200,0,2
212,0,1256733,0,33,30237,5840,16109,30790,5854,2968,74444,200,0,2
213,0,1256733,0,147,30237,5840,16109,30790,5854,2968,74444,200,0,2
214,0,1256733,0,1378,30237,5840,16109,30790,5854,2968,74444,200,0,2
215,0,1256733,0,1197,30237,5840,16109,30790,5854,2968,74444,200,0,2
216,0,1256733,0,456,30237,5840,16109,30790,5854,2968,74444,200,0,2
217,0,1256733,0,66,30237,5840,16109,30790,5854,2968,74444,200,0,2
218,0,1256733,0,540,30237,5840,16109,30790,5854,2968,74444,200,0,2
219,0,1256733,0,-994,30237,5840,16109,30790,5854,2968,74444,200,0,2
220,0,1256733,0,-279,30237,5840,16109,30790,5854,2968,74444,200,0,2
221,0,1515705,0,577,151561,59754,40522,58585,76346,8808,91713,200,0,2
222,0,1515705,0,320,151561,59754,40522,58585,76346,8808,91713,200,0,2
223,0,1515705,0,-2048,151561,59754,40522,58585,76346,8808,91713,200,0,2
224,0,1515705,0,-471,151561,59754,40522,58585,76346,8808,91713,200,0,2
225,0,1515705,0,120,151561,59754,40522,58585,76346,8808,91713,200,0,2
226,0,1515705,0,1351,151561,59754,40522,58585,76346,8808,91713,200,0,2
227,0,1515705,0,-202,151561,59754,40522,58585,76346,8808,91713,200,0,2
228,0,1515705,0,1298,151561,59754,40522,58585,76346,8808,91713,200,0,2
229,0,1515705,0,1923,151561,59754,40522,58585,76346,8808,91713,200,0,2
230,0,1688495,0,644,251969,111512,24992,55504,95726,35961,110599,200,0,2
231,0,1688495,0,130,251969,111512,24992,55504,95726,35961,110599,200,0,2
232,0,1688495,0,56,251969,111512,24992,55504,95726,35961,110599,200,0,2
233,0,1688495,0,51,251969,111512,24992,55504,95726,35961,110599,200,0,2
234,0,1688495,0,44,251969,111512,24992,55504,95726,35961,110599,200,0,2
235,0,1688495,0,44,251969,111512,24992,55504,95726,35961,110599,200,0,2
236,0,1688495,0,44,251969,111512,24992,55504,95726,35961,110599,200,0,2
237,0,1688495,0,49,251969,111512,24992,55504,95726,35961,110599,200,0,2
238,0,1688495,0,49,251969,111512,24992,55504,95726,35961,110599,200,0,2
239,0,1688495,0,-1909,251969,111512,24992,55504,95726,35961,110599,200,0,2
240,0,930019,0,-301,1150476,106223,40760,68723,60126,15656,7111,200,0,2
241,0,930019,0,1349,1150476,106223,40760,68723,60126,15656,7111,200,0,2
242,0,930019,0,228,1150476,106223,40760,68723,60126,15656,7111,200,0,2
243,0,930019,0,54,1150476,106223,40760,68723,60126,15656,7111,200,0,2
244,0,930019,0,-2048,1150476,106223,40760,68723,60126,15656,7111,200,0,2
245,0,930019,0,1922,1150476,106223,40760,68723,60126,15656,7111,200,0,2
246,0,930019,0,-1230,1150476,106223,40760,68723,60126,15656,7111,200,0,2
247,0,930019,0,-150,1150476,106223,40760,68723,60126,15656,7111,200,0,2
248,0,930019,0,25,1150476,106223,40760,68723,60126,15656,7111,200,0,2
249,0,930019,0,1188,1150476,106223,40760,68723,60126,15656,7111,200,0,2
250,0,930019,0,2047,1150476,106223,40760,68723,60126,15656,7111,200,0,2
251,0,1385764,0,289,1005343,162600,114489,269862,200952,30230,63929,200,0,2
252,0,1385764,0,83,1005343,162600,114489,269862,200952,30230,63929,200,0,2
253,0,1385764,0,-2048,1005343,162600,114489,269862,200952,30230,63929,200,0,2
254,0,1385764,0,-743,1005343,162600,114489,269862,200952,30230,63929,200,0,2
255,0,1385764,0,-74,1005343,162600,114489,269862,200952,30230,63929,200,0,2
256,0,1385764,0,-969,1005343,162600,114489,269862,200952,30230,63929,200,0,2
257,0,1385764,0,700,1005343,162600,114489,269862,200952,30230,63929,200,0,2
258,0,1385764,0,-99,1005343,162600,114489,269862,200952,30230,63929,200,0,2
259,0,1385764,0,23,1005343,162600,114489,269862,200952,30230,63929,200,0,2
260,0,1385764,0,248,1005343,162600,114489,269862,200952,30230,63929,200,0,2
261,0,1068022,0,1174,167432,147338,107291,40011,13564,7394,3652,200,0,2
262,0,1068022,0,104,167432,147338,107291,40011,13564,7394,3652,200,0,2
263,0,1068022,0,379,167432,147338,107291,40011,13564,7394,3652,200,0,2
264,0,1068022,0,16,167432,147338,107291,40011,13564,7394,3652,200,0,2
265,0,1068022,0,-941,167432,147338,107291,40011,13564,7394,3652,200,0,2
266,0,1068022,0,-563,167432,147338,107291,40011,13564,7394,3652,200,0,2
267,0,1068022,0,-43,167432,147338,107291,40011,13564,7394,3652,200,0,2
268,0,1068022,0,907,167432,147338,107291,40011,13564,7394,3652,200,0,2
269,0,1068022,0,1001,167432,147338,107291,40011,13564,7394,3652,200,0,2
270,0,752566,0,227,73229,11035,10823,37686,31660,13641,32147,200,0,2
271,0,752566,0,-138,73229,11035,10823,37686,31660,13641,32147,200,0,2
272,0,752566,0,342,73229,11035,10823,37686,31660,13641,32147,200,0,2
273,0,752566,0,-1844,73229,11035,10823,37686,31660,13641,32147,200,0,2
274,0,752566,0,2047,73229,11035,10823,37686,31660,13641,32147,200,0,2
275,0,752566,0,600,73229,11035,10823,37686,31660,13641,32147,200,0,2
276,0,752566,0,133,73229,11035,10823,37686,31660,13641,32147,200,0,2
277,0,752566,0,60,73229,11035,10823,37686,31660,13641,32147,200,0,2
278,0,752566,0,41,73229,11035,10823,37686,31660,13641,32147,200,0,2
279,0,752566,0,-66,73229,11035,10823,37686,31660,13641,32147,200,0,2
280,0,970013,0,-786,270198,81286,10649,58400,65899,9386,16454,200,0,2
281,0,970013,0,-548,270198,81286,10649,58400,65899,9386,16454,200,0,2
282,0,970013,0,941,270198,81286,10649,58400,65899,9386,16454,200,0,2
283,0,970013,0,2047,270198,81286,10649,58400,65899,9386,16454,200,0,2
284,0,970013,0,580,270198,81286,10649,58400,65899,9386,16454,200,0,2
