attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,11,0,45,13,5,5,2,5,1,0,54,0,1
0,11,0,45,13,5,5,2,5,1,0,54,0,1
0,11,0,44,13,5,5,2,5,1,0,54,0,1
0,11,0,45,13,5,5,2,5,1,0,54,0,1
0,11,0,44,13,5,5,2,5,1,0,54,0,1
0,11,0,44,13,5,5,2,5,1,0,54,0,1
0,11,0,44,13,5,5,2,5,1,0,54,0,1
0,11,0,44,13,5,5,2,5,1,0,54,0,1
0,11,0,44,13,5,5,2,5,1,0,54,0,1
0,7,0,44,3,10,9,2,7,5,2,54,0,1
0,7,0,44,3,10,9,2,7,5,2,54,0,1
0,7,0,44,3,10,9,2,7,5,2,54,0,1
0,7,0,48,3,10,9,2,7,5,2,54,0,1
0,7,0,44,3,10,9,2,7,5,2,54,0,1
0,7,0,44,3,10,9,2,7,5,2,54,0,1
0,7,0,44,3,10,9,2,7,5,2,54,0,1
0,7,0,44,3,10,9,2,7,5,2,54,0,1
0,7,0,44,3,10,9,2,7,5,2,54,0,1
0,7,0,44,3,10,9,2,7,5,2,54,0,1
0,47,0,44,41,16,21,10,13,3,5,54,0,1
0,47,0,44,41,16,21,10,13,3,5,54,0,1
0,47,0,44,41,16,21,10,13,3,5,54,0,1
0,47,0,45,41,16,21,10,13,3,5,54,0,1
0,47,0,325,41,16,21,10,13,3,5,54,0,1
0,47,0,738,41,16,21,10,13,3,5,54,0,1
0,47,0,2047,41,16,21,10,13,3,5,54,0,1
0,47,0,2047,41,16,21,10,13,3,5,54,0,1
0,47,0,-2048,41,16,21,10,13,3,5,54,0,1
0,47,0,1516,41,16,21,10,13,3,5,54,0,1
0,910203,0,2047,1395841,415848,791770,132402,98632,375979,116383,80,0,1
0,910203,0,1574,1395841,415848,791770,132402,98632,375979,116383,80,0,1
0,910203,0,-2048,1395841,415848,791770,132402,98632,375979,116383,80,0,1
0,910203,0,-337,1395841,415848,791770,132402,98632,375979,116383,80,0,1
0,910203,0,-11,1395841,415848,791770,132402,98632,375979,116383,80,0,1
0,910203,0,999,1395841,415848,791770,132402,98632,375979,116383,80,0,1
0,910203,0,666,1395841,415848,791770,132402,98632,375979,116383,80,0,1
0,910203,0,140,1395841,415848,791770,132402,98632,375979,116383,80,0,1
0,910203,0,60,1395841,415848,791770,132402,98632,375979,116383,80,0,1
0,910203,0,48,1395841,415848,791770,132402,98632,375979,116383,80,0,1
0,213513,0,45,160644,62560,53519,81545,57526,60828,13700,200,0,1
0,213513,0,44,160644,62560,53519,81545,57526,60828,13700,200,0,1
0,213513,0,45,160644,62560,53519,81545,57526,60828,13700,200,0,1
0,213513,0,-1571,160644,62560,53519,81545,57526,60828,13700,200,0,1
0,213513,0,755,160644,62560,53519,81545,57526,60828,13700,200,0,1
0,213513,0,2047,160644,62560,53519,81545,57526,60828,13700,200,0,1
0,213513,0,724,160644,62560,53519,81545,57526,60828,13700,200,0,1
0,213513,0,629,160644,62560,53519,81545,57526,60828,13700,200,0,1
0,213513,0,-2048,160644,62560,53519,81545,57526,60828,13700,200,0,1
0,213513,0,-2048,160644,62560,53519,81545,57526,60828,13700,200,0,1
0,876420,0,617,221912,6430,17410,51017,204108,124900,126197,200,0,1
0,876420,0,2047,221912,6430,17410,51017,204108,124900,126197,200,0,1
0,876420,0,386,221912,6430,17410,51017,204108,124900,126197,200,0,1
0,876420,0,-2048,221912,6430,17410,51017,204108,124900,126197,200,0,1
0,876420,0,-1083,221912,6430,17410,51017,204108,124900,126197,200,0,1
0,876420,0,-2048,221912,6430,17410,51017,204108,124900,126197,200,0,1
0,876420,0,-2048,221912,6430,17410,51017,204108,124900,126197,200,0,1
0,876420,0,-810,221912,6430,17410,51017,204108,124900,126197,200,0,1
