,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,622189,0,-24,246736,87167,97773,83457,59478,59537,26257,200,0,1
81,0,622189,0,2047,246736,87167,97773,83457,59478,59537,26257,200,0,1
82,0,622189,0,1121,246736,87167,97773,83457,59478,59537,26257,200,0,1
83,0,622189,0,214,246736,87167,97773,83457,59478,59537,26257,200,0,1
84,0,622189,0,492,246736,87167,97773,83457,59478,59537,26257,200,0,1
85,0,622189,0,-1691,246736,87167,97773,83457,59478,59537,26257,200,0,1
86,0,622189,0,411,246736,87167,97773,83457,59478,59537,26257,200,0,1
87,0,622189,0,-773,246736,87167,97773,83457,59478,59537,26257,200,0,1
88,0,1072507,0,2047,223530,140165,33603,136454,158025,113014,126958,200,0,1
89,0,1072507,0,1638,223530,140165,33603,136454,158025,113014,126958,200,0,1
90,0,1072507,0,-2048,223530,140165,33603,136454,158025,113014,126958,200,0,1
91,0,1072507,0,1682,223530,140165,33603,136454,158025,113014,126958,200,0,1
92,0,1072507,0,674,223530,140165,33603,136454,158025,113014,126958,200,0,1
93,0,1072507,0,-1889,223530,140165,33603,136454,158025,113014,126958,200,0,1
94,0,1072507,0,2047,223530,140165,33603,136454,158025,113014,126958,200,0,1
95,0,1072507,0,561,223530,140165,33603,136454,158025,113014,126958,200,0,1
96,0,1072507,0,124,223530,140165,33603,136454,158025,113014,126958,200,0,1
97,0,1072507,0,57,223530,140165,33603,136454,158025,113014,126958,200,0,1
98,0,1049579,0,-1781,294626,20886,75331,115051,96929,139175,94671,200,0,1
99,0,1049579,0,-252,294626,20886,75331,115051,96929,139175,94671,200,0,1
100,0,1049579,0,2047,294626,20886,75331,115051,96929,139175,94671,200,0,1
101,0,1049579,0,1354,294626,20886,75331,115051,96929,139175,94671,200,0,1
102,0,1049579,0,-1061,294626,20886,75331,115051,96929,139175,94671,200,0,1
103,0,1049579,0,1393,294626,20886,75331,115051,96929,139175,94671,200,0,1
104,0,1049579,0,2047,294626,20886,75331,115051,96929,139175,94671,200,0,1
105,0,1049579,0,-2048,294626,20886,75331,115051,96929,139175,94671,200,0,1
106,0,1049579,0,-362,294626,20886,75331,115051,96929,139175,94671,200,0,1
107,0,1049579,0,-54,294626,20886,75331,115051,96929,139175,94671,200,0,1
108,0,1601489,0,-770,161588,47591,36502,84229,222624,45316,64868,200,0,1
109,0,1601489,0,-185,161588,47591,36502,84229,222624,45316,64868,200,0,1
110,0,1601489,0,-1593,161588,47591,36502,84229,222624,45316,64868,200,0,1
111,0,1601489,0,-2048,161588,47591,36502,84229,222624,45316,64868,200,0,1
112,0,1601489,0,-1849,161588,47591,36502,84229,222624,45316,64868,200,0,1
113,0,1601489,0,-155,161588,47591,36502,84229,222624,45316,64868,200,0,1
114,0,1601489,0,1610,161588,47591,36502,84229,222624,45316,64868,200,0,1
115,0,1601489,0,105,161588,47591,36502,84229,222624,45316,64868,200,0,1
116,0,1601489,0,417,161588,47591,36502,84229,222624,45316,64868,200,0,1
117,0,1601489,0,267,161588,47591,36502,84229,222624,45316,64868,200,0,1
118,0,1522737,0,-2048,1020062,97600,355323,339006,448709,246977,330194,200,0,1
119,0,1522737,0,-1233,1020062,97600,355323,339006,448709,246977,330194,200,0,1
120,0,1522737,0,2047,1020062,97600,355323,339006,448709,246977,330194,200,0,1
121,0,1522737,0,2047,1020062,97600,355323,339006,448709,246977,330194,200,0,1
122,0,1522737,0,-5,1020062,97600,355323,339006,448709,246977,330194,200,0,1
123,0,1522737,0,-1416,1020062,97600,355323,339006,448709,246977,330194,200,0,1
124,0,1522737,0,2047,1020062,97600,355323,339006,448709,246977,330194,200,0,1
125,0,1522737,0,97,1020062,97600,355323,339006,448709,246977,330194,200,0,1
126,0,1522737,0,-772,1020062,97600,355323,339006,448709,246977,330194,200,0,1
127,0,1522737,0,1043,1020062,97600,355323,339006,448709,246977,330194,200,0,1
128,0,146584,0,1456,84634,5485,19130,111852,29812,23004,27257,200,0,1
129,0,146584,0,263,84634,5485,19130,111852,29812,23004,27257,200,0,1
130,0,146584,0,80,84634,5485,19130,111852,29812,23004,27257,200,0,1
131,0,146584,0,-2048,84634,5485,19130,111852,29812,23004,27257,200,0,1
132,0,146584,0,-1177,84634,5485,19130,111852,29812,23004,27257,200,0,1
133,0,146584,0,-219,84634,5485,19130,111852,29812,23004,27257,200,0,1
134,0,146584,0,-470,84634,5485,19130,111852,29812,23004,27257,200,0,1
135,0,146584,0,-61,84634,5485,19130,111852,29812,23004,27257,200,0,1
136,0,146584,0,2047,84634,5485,19130,111852,29812,23004,27257,200,0,1
137,0,146584,0,-452,84634,5485,19130,111852,29812,23004,27257,200,0,1
138,0,1531629,0,2047,799958,324307,170770,92837,253634,314949,130814,200,0,1
139,0,1531629,0,601,799958,324307,170770,92837,253634,314949,130814,200,0,1
140,0,1531629,0,-1045,799958,324307,170770,92837,253634,314949,130814,200,0,1
141,0,1531629,0,245,799958,324307,170770,92837,253634,314949,130814,200,0,1
142,0,1531629,0,1443,799958,324307,170770,92837,253634,314949,130814,200,0,1
