attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,32624,0,-709,34834,11152,2822,2609,1696,745,951,0,0,2
0,32624,0,-1075,34834,11152,2822,2609,1696,745,951,0,0,2
0,32624,0,2,34834,11152,2822,2609,1696,745,951,0,0,2
0,32624,0,835,34834,11152,2822,2609,1696,745,951,0,0,2
0,32624,0,665,34834,11152,2822,2609,1696,745,951,0,0,2
0,32624,0,44,34834,11152,2822,2609,1696,745,951,0,0,2
0,32624,0,-41,34834,11152,2822,2609,1696,745,951,0,0,2
0,32624,0,332,34834,11152,2822,2609,1696,745,951,0,0,2
0,32624,0,265,34834,11152,2822,2609,1696,745,951,0,0,2
0,677688,0,231,40200,2701,7879,22401,8729,2913,3221,0,0,2
0,677688,0,169,40200,2701,7879,22401,8729,2913,3221,0,0,2
0,677688,0,210,40200,2701,7879,22401,8729,2913,3221,0,0,2
0,677688,0,60,40200,2701,7879,22401,8729,2913,3221,0,0,2
0,677688,0,-49,40200,2701,7879,22401,8729,2913,3221,0,0,2
0,677688,0,85,40200,2701,7879,22401,8729,2913,3221,0,0,2
0,677688,0,33,40200,2701,7879,22401,8729,2913,3221,0,0,2
0,677688,0,97,40200,2701,7879,22401,8729,2913,3221,0,0,2
0,677688,0,56,40200,2701,7879,22401,8729,2913,3221,0,0,2
0,677688,0,36,40200,2701,7879,22401,8729,2913,3221,0,0,2
0,894567,0,-137,57994,17294,12733,6066,3076,1866,429,0,0,2
0,894567,0,-604,57994,17294,12733,6066,3076,1866,429,0,0,2
0,894567,0,-420,57994,17294,12733,6066,3076,1866,429,0,0,2
0,894567,0,124,57994,17294,12733,6066,3076,1866,429,0,0,2
0,894567,0,312,57994,17294,12733,6066,3076,1866,429,0,0,2
0,894567,0,186,57994,17294,12733,6066,3076,1866,429,0,0,2
0,894567,0,325,57994,17294,12733,6066,3076,1866,429,0,0,2
0,894567,0,105,57994,17294,12733,6066,3076,1866,429,0,0,2
0,894567,0,9,57994,17294,12733,6066,3076,1866,429,0,0,2
0,894567,0,-21,57994,17294,12733,6066,3076,1866,429,0,0,2
47,792228,48,-36,14856,7996,1046,8249,2941,2836,2452,0,0,2
47,792228,48,33,14856,7996,1046,8249,2941,2836,2452,0,0,2
47,792228,48,-166,14856,7996,1046,8249,2941,2836,2452,0,0,2
47,792228,48,-821,14856,7996,1046,8249,2941,2836,2452,0,0,2
47,792228,48,-19,14856,7996,1046,8249,2941,2836,2452,0,0,2
47,792228,48,354,14856,7996,1046,8249,2941,2836,2452,0,0,2
47,792228,48,473,14856,7996,1046,8249,2941,2836,2452,0,0,2
47,792228,48,168,14856,7996,1046,8249,2941,2836,2452,0,0,2
47,792228,48,187,14856,7996,1046,8249,2941,2836,2452,0,0,2
47,792228,48,37,14856,7996,1046,8249,2941,2836,2452,0,0,2
48,945130,41,-19,571554,8306,102003,93390,50062,24807,5635,0,0,2
48,945130,41,-164,571554,8306,102003,93390,50062,24807,5635,0,0,2
48,945130,41,99,571554,8306,102003,93390,50062,24807,5635,0,0,2
48,945130,41,186,571554,8306,102003,93390,50062,24807,5635,0,0,2
48,945130,41,-1334,571554,8306,102003,93390,50062,24807,5635,0,0,2
48,945130,41,-723,571554,8306,102003,93390,50062,24807,5635,0,0,2
48,945130,41,-138,571554,8306,102003,93390,50062,24807,5635,0,0,2
48,945130,41,548,571554,8306,102003,93390,50062,24807,5635,0,0,2
48,945130,41,1447,571554,8306,102003,93390,50062,24807,5635,0,0,2
48,815374,41,931,65045,5851,3923,9508,2089,2101,1950,26,0,2
48,815374,41,196,65045,5851,3923,9508,2089,2101,1950,26,0,2
48,815374,41,21,65045,5851,3923,9508,2089,2101,1950,26,0,2
48,815374,41,-366,65045,5851,3923,9508,2089,2101,1950,26,0,2
48,815374,41,-54,65045,5851,3923,9508,2089,2101,1950,26,0,2
48,815374,41,117,65045,5851,3923,9508,2089,2101,1950,26,0,2
48,815374,41,-498,65045,5851,3923,9508,2089,2101,1950,26,0,2
48,815374,41,433,65045,5851,3923,9508,2089,2101,1950,26,0,2
48,815374,41,392,65045,5851,3923,9508,2089,2101,1950,26,0,2
48,815374,41,122,65045,5851,3923,9508,2089,2101,1950,26,0,2
30,1025423,48,56,194437,34739,28316,20147,4924,3494,1009,0,0,2
30,1025423,48,23,194437,34739,28316,20147,4924,3494,1009,0,0,2
30,1025423,48,13,194437,34739,28316,20147,4924,3494,1009,0,0,2
30,1025423,48,-23,194437,34739,28316,20147,4924,3494,1009,0,0,2
30,1025423,48,-189,194437,34739,28316,20147,4924,3494,1009,0,0,2
30,1025423,48,-1220,194437,34739,28316,20147,4924,3494,1009,0,0,2
30,1025423,48,635,194437,34739,28316,20147,4924,3494,1009,0,0,2
30,1025423,48,123,194437,34739,28316,20147,4924,3494,1009,0,0,2
30,1025423,48,-267,194437,34739,28316,20147,4924,3494,1009,0,0,2
30,1025423,48,-36,194437,34739,28316,20147,4924,3494,1009,0,0,2
20,320197,30,297,728682,9288,58170,27852,24569,14770,8325,0,0,2
20,320197,30,416,728682,9288,58170,27852,24569,14770,8325,0,0,2
20,320197,30,458,728682,9288,58170,27852,24569,14770,8325,0,0,2
20,320197,30,80,728682,9288,58170,27852,24569,14770,8325,0,0,2
20,320197,30,113,728682,9288,58170,27852,24569,14770,8325,0,0,2
20,320197,30,243,728682,9288,58170,27852,24569,14770,8325,0,0,2
20,320197,30,-332,728682,9288,58170,27852,24569,14770,8325,0,0,2
20,320197,30,8,728682,9288,58170,27852,24569,14770,8325,0,0,2
20,320197,30,50,728682,9288,58170,27852,24569,14770,8325,0,0,2
20,320197,30,52,728682,9288,58170,27852,24569,14770,8325,0,0,2
7,791067,44,37,46572,37085,21710,3926,5084,3102,1825,0,0,2
7,791067,44,19,46572,37085,21710,3926,5084,3102,1825,0,0,2
7,791067,44,48,46572,37085,21710,3926,5084,3102,1825,0,0,2
7,791067,44,36,46572,37085,21710,3926,5084,3102,1825,0,0,2
7,791067,44,-33,46572,37085,21710,3926,5084,3102,1825,0,0,2
7,791067,44,28,46572,37085,21710,3926,5084,3102,1825,0,0,2
7,791067,44,10,46572,37085,21710,3926,5084,3102,1825,0,0,2
7,791067,44,19,46572,37085,21710,3926,5084,3102,1825,0,0,2
7,791067,44,-487,46572,37085,21710,3926,5084,3102,1825,0,0,2
7,791067,44,-302,46572,37085,21710,3926,5084,3102,1825,0,0,2
1,725458,40,-134,329241,19621,33521,34640,17891,14018,12336,0,0,2
1,725458,40,-275,329241,19621,33521,34640,17891,14018,12336,0,0,2
1,725458,40,121,329241,19621,33521,34640,17891,14018,12336,0,0,2
1,725458,40,1349,329241,19621,33521,34640,17891,14018,12336,0,0,2
1,725458,40,508,329241,19621,33521,34640,17891,14018,12336,0,0,2
1,725458,40,129,329241,19621,33521,34640,17891,14018,12336,0,0,2
1,725458,40,967,329241,19621,33521,34640,17891,14018,12336,0,0,2
1,725458,40,410,329241,19621,33521,34640,17891,14018,12336,0,0,2
1,725458,40,35,329241,19621,33521,34640,17891,14018,12336,0,0,2
1,725458,40,-113,329241,19621,33521,34640,17891,14018,12336,0,0,2
16,765373,44,-188,72204,35704,3841,6490,6304,5327,3946,0,0,2
16,765373,44,-185,72204,35704,3841,6490,6304,5327,3946,0,0,2
16,765373,44,-211,72204,35704,3841,6490,6304,5327,3946,0,0,2
16,765373,44,-67,72204,35704,3841,6490,6304,5327,3946,0,0,2
16,765373,44,130,72204,35704,3841,6490,6304,5327,3946,0,0,2
16,765373,44,-199,72204,35704,3841,6490,6304,5327,3946,0,0,2
16,765373,44,-509,72204,35704,3841,6490,6304,5327,3946,0,0,2
16,765373,44,477,72204,35704,3841,6490,6304,5327,3946,0,0,2
16,765373,44,411,72204,35704,3841,6490,6304,5327,3946,0,0,2
16,765373,44,483,72204,35704,3841,6490,6304,5327,3946,0,0,2
30,97175,69,211,27799,4817,9656,3056,3959,3161,1466,0,0,2
30,97175,69,-701,27799,4817,9656,3056,3959,3161,1466,0,0,2
30,97175,69,18,27799,4817,9656,3056,3959,3161,1466,0,0,2
30,97175,69,-225,27799,4817,9656,3056,3959,3161,1466,0,0,2
30,97175,69,-2,27799,4817,9656,3056,3959,3161,1466,0,0,2
30,97175,69,87,27799,4817,9656,3056,3959,3161,1466,0,0,2
30,97175,69,308,27799,4817,9656,3056,3959,3161,1466,0,0,2
30,97175,69,243,27799,4817,9656,3056,3959,3161,1466,0,0,2
30,97175,69,-684,27799,4817,9656,3056,3959,3161,1466,0,0,2
30,97175,69,218,27799,4817,9656,3056,3959,3161,1466,0,0,2
35,1537192,53,1064,479751,155626,73227,49695,37190,12250,7107,0,0,2
35,1537192,53,232,479751,155626,73227,49695,37190,12250,7107,0,0,2
35,1537192,53,-215,479751,155626,73227,49695,37190,12250,7107,0,0,2
35,1537192,53,96,479751,155626,73227,49695,37190,12250,7107,0,0,2
35,1537192,53,-170,479751,155626,73227,49695,37190,12250,7107,0,0,2
35,1537192,53,-727,479751,155626,73227,49695,37190,12250,7107,0,0,2
35,1537192,53,-425,479751,155626,73227,49695,37190,12250,7107,0,0,2
35,1537192,53,1633,479751,155626,73227,49695,37190,12250,7107,0,0,2
35,1537192,53,-310,479751,155626,73227,49695,37190,12250,7107,0,0,2
35,1537192,53,519,479751,155626,73227,49695,37190,12250,7107,0,0,2
35,296870,53,-3,39561,16646,9387,7570,6978,7787,3547,26,0,2
35,296870,53,265,39561,16646,9387,7570,6978,7787,3547,26,0,2
35,296870,53,-193,39561,16646,9387,7570,6978,7787,3547,26,0,2
35,296870,53,261,39561,16646,9387,7570,6978,7787,3547,26,0,2
35,296870,53,-70,39561,16646,9387,7570,6978,7787,3547,26,0,2
35,296870,53,-162,39561,16646,9387,7570,6978,7787,3547,26,0,2
35,296870,53,240,39561,16646,9387,7570,6978,7787,3547,26,0,2
35,296870,53,-939,39561,16646,9387,7570,6978,7787,3547,26,0,2
35,296870,53,149,39561,16646,9387,7570,6978,7787,3547,26,0,2
35,296870,53,580,39561,16646,9387,7570,6978,7787,3547,26,0,2
50,1751870,48,130,1638208,171948,70946,307589,269459,101183,42743,0,0,2
50,1751870,48,220,1638208,171948,70946,307589,269459,101183,42743,0,0,2
50,1751870,48,-225,1638208,171948,70946,307589,269459,101183,42743,0,0,2
50,1751870,48,-737,1638208,171948,70946,307589,269459,101183,42743,0,0,2
50,1751870,48,-218,1638208,171948,70946,307589,269459,101183,42743,0,0,2
50,1751870,48,120,1638208,171948,70946,307589,269459,101183,42743,0,0,2
50,1751870,48,595,1638208,171948,70946,307589,269459,101183,42743,0,0,2
50,1751870,48,9,1638208,171948,70946,307589,269459,101183,42743,0,0,2
50,1751870,48,429,1638208,171948,70946,307589,269459,101183,42743,0,0,2
50,1751870,48,34,1638208,171948,70946,307589,269459,101183,42743,0,0,2
54,1755444,50,-62,14780,4745,9511,9455,2727,2226,2180,0,0,2
54,1755444,50,106,14780,4745,9511,9455,2727,2226,2180,0,0,2
54,1755444,50,-177,14780,4745,9511,9455,2727,2226,2180,0,0,2
54,1755444,50,-229,14780,4745,9511,9455,2727,2226,2180,0,0,2
54,1755444,50,-435,14780,4745,9511,9455,2727,2226,2180,0,0,2
54,1755444,50,6,14780,4745,9511,9455,2727,2226,2180,0,0,2
54,1755444,50,93,14780,4745,9511,9455,2727,2226,2180,0,0,2
54,1755444,50,21,14780,4745,9511,9455,2727,2226,2180,0,0,2
54,1755444,50,-74,14780,4745,9511,9455,2727,2226,2180,0,0,2
54,1755444,50,262,14780,4745,9511,9455,2727,2226,2180,0,0,2
64,107554,35,192,10784,1840,1164,1956,2646,1453,516,0,0,2
64,107554,35,323,10784,1840,1164,1956,2646,1453,516,0,0,2
64,107554,35,11,10784,1840,1164,1956,2646,1453,516,0,0,2
64,107554,35,256,10784,1840,1164,1956,2646,1453,516,0,0,2
64,107554,35,76,10784,1840,1164,1956,2646,1453,516,0,0,2
64,107554,35,-380,10784,1840,1164,1956,2646,1453,516,0,0,2
64,107554,35,-142,10784,1840,1164,1956,2646,1453,516,0,0,2
64,107554,35,185,10784,1840,1164,1956,2646,1453,516,0,0,2
64,107554,35,437,10784,1840,1164,1956,2646,1453,516,0,0,2
64,107554,35,291,10784,1840,1164,1956,2646,1453,516,0,0,2
74,1001181,16,268,166458,15347,12061,23325,19569,4906,5969,0,0,2
74,1001181,16,91,166458,15347,12061,23325,19569,4906,5969,0,0,2
74,1001181,16,-77,166458,15347,12061,23325,19569,4906,5969,0,0,2
74,1001181,16,-314,166458,15347,12061,23325,19569,4906,5969,0,0,2
74,1001181,16,-18,166458,15347,12061,23325,19569,4906,5969,0,0,2
74,1001181,16,-244,166458,15347,12061,23325,19569,4906,5969,0,0,2
74,1001181,16,-72,166458,15347,12061,23325,19569,4906,5969,0,0,2
74,1001181,16,-29,166458,15347,12061,23325,19569,4906,5969,0,0,2
74,1001181,16,514,166458,15347,12061,23325,19569,4906,5969,0,0,2
74,1001181,16,92,166458,15347,12061,23325,19569,4906,5969,0,0,2
80,2524796,51,487,105151,120936,66804,67742,65574,19689,10335,0,0,2
80,2524796,51,-151,105151,120936,66804,67742,65574,19689,10335,0,0,2
80,2524796,51,229,105151,120936,66804,67742,65574,19689,10335,0,0,2
80,2524796,51,184,105151,120936,66804,67742,65574,19689,10335,0,0,2
80,2524796,51,-295,105151,120936,66804,67742,65574,19689,10335,0,0,2
80,2524796,51,-937,105151,120936,66804,67742,65574,19689,10335,0,0,2
80,2524796,51,516,105151,120936,66804,67742,65574,19689,10335,0,0,2
80,2524796,51,324,105151,120936,66804,67742,65574,19689,10335,0,0,2
80,2524796,51,461,105151,120936,66804,67742,65574,19689,10335,0,0,2
84,659710,37,363,31497,3303,5273,5713,4696,5460,3123,0,0,2
84,659710,37,298,31497,3303,5273,5713,4696,5460,3123,0,0,2
84,659710,37,64,31497,3303,5273,5713,4696,5460,3123,0,0,2
84,659710,37,29,31497,3303,5273,5713,4696,5460,3123,0,0,2
84,659710,37,183,31497,3303,5273,5713,4696,5460,3123,0,0,2
84,659710,37,-194,31497,3303,5273,5713,4696,5460,3123,0,0,2
84,659710,37,-13,31497,3303,5273,5713,4696,5460,3123,0,0,2
84,659710,37,-2,31497,3303,5273,5713,4696,5460,3123,0,0,2
84,659710,37,-73,31497,3303,5273,5713,4696,5460,3123,0,0,2
84,659710,37,-4,31497,3303,5273,5713,4696,5460,3123,0,0,2
69,952700,56,-37,43080,26273,15145,18238,5938,6782,4796,0,0,2
69,952700,56,45,43080,26273,15145,18238,5938,6782,4796,0,0,2
69,952700,56,165,43080,26273,15145,18238,5938,6782,4796,0,0,2
69,952700,56,-22,43080,26273,15145,18238,5938,6782,4796,0,0,2
69,952700,56,-274,43080,26273,15145,18238,5938,6782,4796,0,0,2
69,952700,56,-41,43080,26273,15145,18238,5938,6782,4796,0,0,2
69,952700,56,-60,43080,26273,15145,18238,5938,6782,4796,0,0,2
69,952700,56,-177,43080,26273,15145,18238,5938,6782,4796,0,0,2
