,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,7,791067,44,48,46572,37085,21710,3926,5084,3102,1825,0,0,2
81,7,791067,44,36,46572,37085,21710,3926,5084,3102,1825,0,0,2
82,7,791067,44,-33,46572,37085,21710,3926,5084,3102,1825,0,0,2
83,7,791067,44,28,46572,37085,21710,3926,5084,3102,1825,0,0,2
84,7,791067,44,10,46572,37085,21710,3926,5084,3102,1825,0,0,2
85,7,791067,44,19,46572,37085,21710,3926,5084,3102,1825,0,0,2
86,7,791067,44,-487,46572,37085,21710,3926,5084,3102,1825,0,0,2
87,7,791067,44,-302,46572,37085,21710,3926,5084,3102,1825,0,0,2
88,1,725458,40,-134,329241,19621,33521,34640,17891,14018,12336,0,0,2
89,1,725458,40,-275,329241,19621,33521,34640,17891,14018,12336,0,0,2
90,1,725458,40,121,329241,19621,33521,34640,17891,14018,12336,0,0,2
91,1,725458,40,1349,329241,19621,33521,34640,17891,14018,12336,0,0,2
92,1,725458,40,508,329241,19621,33521,34640,17891,14018,12336,0,0,2
93,1,725458,40,129,329241,19621,33521,34640,17891,14018,12336,0,0,2
94,1,725458,40,967,329241,19621,33521,34640,17891,14018,12336,0,0,2
95,1,725458,40,410,329241,19621,33521,34640,17891,14018,12336,0,0,2
96,1,725458,40,35,329241,19621,33521,34640,17891,14018,12336,0,0,2
97,1,725458,40,-113,329241,19621,33521,34640,17891,14018,12336,0,0,2
98,16,765373,44,-188,72204,35704,3841,6490,6304,5327,3946,0,0,2
99,16,765373,44,-185,72204,35704,3841,6490,6304,5327,3946,0,0,2
100,16,765373,44,-211,72204,35704,3841,6490,6304,5327,3946,0,0,2
101,16,765373,44,-67,72204,35704,3841,6490,6304,5327,3946,0,0,2
102,16,765373,44,130,72204,35704,3841,6490,6304,5327,3946,0,0,2
103,16,765373,44,-199,72204,35704,3841,6490,6304,5327,3946,0,0,2
104,16,765373,44,-509,72204,35704,3841,6490,6304,5327,3946,0,0,2
105,16,765373,44,477,72204,35704,3841,6490,6304,5327,3946,0,0,2
106,16,765373,44,411,72204,35704,3841,6490,6304,5327,3946,0,0,2
107,16,765373,44,483,72204,35704,3841,6490,6304,5327,3946,0,0,2
108,30,97175,69,211,27799,4817,9656,3056,3959,3161,1466,0,0,2
109,30,97175,69,-701,27799,4817,9656,3056,3959,3161,1466,0,0,2
110,30,97175,69,18,27799,4817,9656,3056,3959,3161,1466,0,0,2
111,30,97175,69,-225,27799,4817,9656,3056,3959,3161,1466,0,0,2
112,30,97175,69,-2,27799,4817,9656,3056,3959,3161,1466,0,0,2
113,30,97175,69,87,27799,4817,9656,3056,3959,3161,1466,0,0,2
114,30,97175,69,308,27799,4817,9656,3056,3959,3161,1466,0,0,2
115,30,97175,69,243,27799,4817,9656,3056,3959,3161,1466,0,0,2
116,30,97175,69,-684,27799,4817,9656,3056,3959,3161,1466,0,0,2
117,30,97175,69,218,27799,4817,9656,3056,3959,3161,1466,0,0,2
118,35,1537192,53,1064,479751,155626,73227,49695,37190,12250,7107,0,0,2
119,35,1537192,53,232,479751,155626,73227,49695,37190,12250,7107,0,0,2
120,35,1537192,53,-215,479751,155626,73227,49695,37190,12250,7107,0,0,2
121,35,1537192,53,96,479751,155626,73227,49695,37190,12250,7107,0,0,2
122,35,1537192,53,-170,479751,155626,73227,49695,37190,12250,7107,0,0,2
123,35,1537192,53,-727,479751,155626,73227,49695,37190,12250,7107,0,0,2
124,35,1537192,53,-425,479751,155626,73227,49695,37190,12250,7107,0,0,2
125,35,1537192,53,1633,479751,155626,73227,49695,37190,12250,7107,0,0,2
126,35,1537192,53,-310,479751,155626,73227,49695,37190,12250,7107,0,0,2
127,35,1537192,53,519,479751,155626,73227,49695,37190,12250,7107,0,0,2
128,35,296870,53,-3,39561,16646,9387,7570,6978,7787,3547,26,0,2
129,35,296870,53,265,39561,16646,9387,7570,6978,7787,3547,26,0,2
130,35,296870,53,-193,39561,16646,9387,7570,6978,7787,3547,26,0,2
131,35,296870,53,261,39561,16646,9387,7570,6978,7787,3547,26,0,2
132,35,296870,53,-70,39561,16646,9387,7570,6978,7787,3547,26,0,2
133,35,296870,53,-162,39561,16646,9387,7570,6978,7787,3547,26,0,2
134,35,296870,53,240,39561,16646,9387,7570,6978,7787,3547,26,0,2
135,35,296870,53,-939,39561,16646,9387,7570,6978,7787,3547,26,0,2
136,35,296870,53,149,39561,16646,9387,7570,6978,7787,3547,26,0,2
137,35,296870,53,580,39561,16646,9387,7570,6978,7787,3547,26,0,2
138,50,1751870,48,130,1638208,171948,70946,307589,269459,101183,42743,0,0,2
139,50,1751870,48,220,1638208,171948,70946,307589,269459,101183,42743,0,0,2
140,50,1751870,48,-225,1638208,171948,70946,307589,269459,101183,42743,0,0,2
141,50,1751870,48,-737,1638208,171948,70946,307589,269459,101183,42743,0,0,2
142,50,1751870,48,-218,1638208,171948,70946,307589,269459,101183,42743,0,0,2
143,50,1751870,48,120,1638208,171948,70946,307589,269459,101183,42743,0,0,2
144,50,1751870,48,595,1638208,171948,70946,307589,269459,101183,42743,0,0,2
145,50,1751870,48,9,1638208,171948,70946,307589,269459,101183,42743,0,0,2
146,50,1751870,48,429,1638208,171948,70946,307589,269459,101183,42743,0,0,2
147,50,1751870,48,34,1638208,171948,70946,307589,269459,101183,42743,0,0,2
148,54,1755444,50,-62,14780,4745,9511,9455,2727,2226,2180,0,0,2
149,54,1755444,50,106,14780,4745,9511,9455,2727,2226,2180,0,0,2
150,54,1755444,50,-177,14780,4745,9511,9455,2727,2226,2180,0,0,2
151,54,1755444,50,-229,14780,4745,9511,9455,2727,2226,2180,0,0,2
152,54,1755444,50,-435,14780,4745,9511,9455,2727,2226,2180,0,0,2
153,54,1755444,50,6,14780,4745,9511,9455,2727,2226,2180,0,0,2
154,54,1755444,50,93,14780,4745,9511,9455,2727,2226,2180,0,0,2
155,54,1755444,50,21,14780,4745,9511,9455,2727,2226,2180,0,0,2
156,54,1755444,50,-74,14780,4745,9511,9455,2727,2226,2180,0,0,2
157,54,1755444,50,262,14780,4745,9511,9455,2727,2226,2180,0,0,2
158,64,107554,35,192,10784,1840,1164,1956,2646,1453,516,0,0,2
159,64,107554,35,323,10784,1840,1164,1956,2646,1453,516,0,0,2
160,64,107554,35,11,10784,1840,1164,1956,2646,1453,516,0,0,2
161,64,107554,35,256,10784,1840,1164,1956,2646,1453,516,0,0,2
162,64,107554,35,76,10784,1840,1164,1956,2646,1453,516,0,0,2
163,64,107554,35,-380,10784,1840,1164,1956,2646,1453,516,0,0,2
164,64,107554,35,-142,10784,1840,1164,1956,2646,1453,516,0,0,2
165,64,107554,35,185,10784,1840,1164,1956,2646,1453,516,0,0,2
166,64,107554,35,437,10784,1840,1164,1956,2646,1453,516,0,0,2
167,64,107554,35,291,10784,1840,1164,1956,2646,1453,516,0,0,2
168,74,1001181,16,268,166458,15347,12061,23325,19569,4906,5969,0,0,2
169,74,1001181,16,91,166458,15347,12061,23325,19569,4906,5969,0,0,2
170,74,1001181,16,-77,166458,15347,12061,23325,19569,4906,5969,0,0,2
171,74,1001181,16,-314,166458,15347,12061,23325,19569,4906,5969,0,0,2
172,74,1001181,16,-18,166458,15347,12061,23325,19569,4906,5969,0,0,2
