attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,27,0,45,13,8,4,8,3,3,2,25,0,1
0,27,0,45,13,8,4,8,3,3,2,25,0,1
0,27,0,44,13,8,4,8,3,3,2,25,0,1
0,27,0,44,13,8,4,8,3,3,2,25,0,1
0,27,0,44,13,8,4,8,3,3,2,25,0,1
0,27,0,44,13,8,4,8,3,3,2,25,0,1
0,27,0,44,13,8,4,8,3,3,2,25,0,1
0,27,0,44,13,8,4,8,3,3,2,25,0,1
0,27,0,44,13,8,4,8,3,3,2,25,0,1
0,27,0,45,13,8,4,8,3,3,2,25,0,1
0,1,0,54,1,0,1,1,0,2,1,25,0,1
0,1,0,377,1,0,1,1,0,2,1,25,0,1
0,1,0,245,1,0,1,1,0,2,1,25,0,1
0,1,0,-492,1,0,1,1,0,2,1,25,0,1
0,1,0,-900,1,0,1,1,0,2,1,25,0,1
0,1,0,1045,1,0,1,1,0,2,1,25,0,1
0,1,0,-370,1,0,1,1,0,2,1,25,0,1
0,1,0,1530,1,0,1,1,0,2,1,25,0,1
0,1,0,552,1,0,1,1,0,2,1,25,0,1
0,1,0,122,1,0,1,1,0,2,1,25,0,1
0,624251,0,-10,79954,12520,29059,15472,4254,4303,3587,51,0,1
0,624251,0,130,79954,12520,29059,15472,4254,4303,3587,51,0,1
0,624251,0,-3,79954,12520,29059,15472,4254,4303,3587,51,0,1
0,624251,0,52,79954,12520,29059,15472,4254,4303,3587,51,0,1
0,624251,0,99,79954,12520,29059,15472,4254,4303,3587,51,0,1
0,624251,0,69,79954,12520,29059,15472,4254,4303,3587,51,0,1
0,624251,0,58,79954,12520,29059,15472,4254,4303,3587,51,0,1
0,624251,0,49,79954,12520,29059,15472,4254,4303,3587,51,0,1
0,624251,0,48,79954,12520,29059,15472,4254,4303,3587,51,0,1
0,624251,0,45,79954,12520,29059,15472,4254,4303,3587,51,0,1
0,1001471,0,45,53671,6315,2726,1162,1476,560,503,25,0,1
0,1001471,0,45,53671,6315,2726,1162,1476,560,503,25,0,1
0,1001471,0,48,53671,6315,2726,1162,1476,560,503,25,0,1
0,1001471,0,48,53671,6315,2726,1162,1476,560,503,25,0,1
0,1001471,0,43,53671,6315,2726,1162,1476,560,503,25,0,1
0,1001471,0,-40,53671,6315,2726,1162,1476,560,503,25,0,1
0,1001471,0,-65,53671,6315,2726,1162,1476,560,503,25,0,1
0,1001471,0,140,53671,6315,2726,1162,1476,560,503,25,0,1
