,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,1001471,0,-228,53671,6315,2726,1162,1476,560,503,25,0,1
81,0,1001471,0,-347,53671,6315,2726,1162,1476,560,503,25,0,1
82,0,306406,0,371,299209,48643,107959,174805,39105,23887,7672,25,0,1
83,0,306406,0,730,299209,48643,107959,174805,39105,23887,7672,25,0,1
84,0,306406,0,343,299209,48643,107959,174805,39105,23887,7672,25,0,1
85,0,306406,0,252,299209,48643,107959,174805,39105,23887,7672,25,0,1
86,0,306406,0,138,299209,48643,107959,174805,39105,23887,7672,25,0,1
87,0,306406,0,98,299209,48643,107959,174805,39105,23887,7672,25,0,1
88,0,306406,0,65,299209,48643,107959,174805,39105,23887,7672,25,0,1
89,0,306406,0,18,299209,48643,107959,174805,39105,23887,7672,25,0,1
90,0,306406,0,87,299209,48643,107959,174805,39105,23887,7672,25,0,1
91,0,306406,0,188,299209,48643,107959,174805,39105,23887,7672,25,0,1
92,0,2010863,0,72,162835,12314,35751,53977,29925,27707,8334,25,0,1
93,0,2010863,0,51,162835,12314,35751,53977,29925,27707,8334,25,0,1
94,0,2010863,0,49,162835,12314,35751,53977,29925,27707,8334,25,0,1
95,0,2010863,0,48,162835,12314,35751,53977,29925,27707,8334,25,0,1
96,0,2010863,0,48,162835,12314,35751,53977,29925,27707,8334,25,0,1
97,0,2010863,0,48,162835,12314,35751,53977,29925,27707,8334,25,0,1
98,0,2010863,0,-1914,162835,12314,35751,53977,29925,27707,8334,25,0,1
99,0,2010863,0,1181,162835,12314,35751,53977,29925,27707,8334,25,0,1
100,0,2010863,0,570,162835,12314,35751,53977,29925,27707,8334,25,0,1
101,0,2010863,0,194,162835,12314,35751,53977,29925,27707,8334,25,0,1
102,0,2035437,0,80,499085,38948,14157,8505,25177,5471,4341,51,0,1
103,0,2035437,0,-40,499085,38948,14157,8505,25177,5471,4341,51,0,1
104,0,2035437,0,-43,499085,38948,14157,8505,25177,5471,4341,51,0,1
105,0,2035437,0,-1076,499085,38948,14157,8505,25177,5471,4341,51,0,1
106,0,2035437,0,-402,499085,38948,14157,8505,25177,5471,4341,51,0,1
107,0,2035437,0,-1227,499085,38948,14157,8505,25177,5471,4341,51,0,1
108,0,2035437,0,2047,499085,38948,14157,8505,25177,5471,4341,51,0,1
109,0,2035437,0,491,499085,38948,14157,8505,25177,5471,4341,51,0,1
110,0,2035437,0,117,499085,38948,14157,8505,25177,5471,4341,51,0,1
111,0,2035437,0,43,499085,38948,14157,8505,25177,5471,4341,51,0,1
112,0,980655,0,24,21494,12334,3856,12823,5509,1625,882,51,0,1
113,0,980655,0,-263,21494,12334,3856,12823,5509,1625,882,51,0,1
114,0,980655,0,-614,21494,12334,3856,12823,5509,1625,882,51,0,1
115,0,980655,0,-466,21494,12334,3856,12823,5509,1625,882,51,0,1
116,0,980655,0,-1047,21494,12334,3856,12823,5509,1625,882,51,0,1
117,0,980655,0,-377,21494,12334,3856,12823,5509,1625,882,51,0,1
118,0,980655,0,-27,21494,12334,3856,12823,5509,1625,882,51,0,1
119,0,980655,0,58,21494,12334,3856,12823,5509,1625,882,51,0,1
120,0,980655,0,-123,21494,12334,3856,12823,5509,1625,882,51,0,1
121,0,1080283,0,736,18057,11501,8307,1054,1758,1617,1307,0,0,1
122,0,1080283,0,1225,18057,11501,8307,1054,1758,1617,1307,0,0,1
123,0,1080283,0,467,18057,11501,8307,1054,1758,1617,1307,0,0,1
124,0,1080283,0,166,18057,11501,8307,1054,1758,1617,1307,0,0,1
125,0,1080283,0,172,18057,11501,8307,1054,1758,1617,1307,0,0,1
126,0,1080283,0,269,18057,11501,8307,1054,1758,1617,1307,0,0,1
127,0,1080283,0,61,18057,11501,8307,1054,1758,1617,1307,0,0,1
128,0,1080283,0,70,18057,11501,8307,1054,1758,1617,1307,0,0,1
129,0,1080283,0,114,18057,11501,8307,1054,1758,1617,1307,0,0,1
130,0,1080283,0,71,18057,11501,8307,1054,1758,1617,1307,0,0,1
131,0,610573,0,52,17222,4416,1211,2591,869,797,328,26,0,1
132,0,610573,0,-413,17222,4416,1211,2591,869,797,328,26,0,1
133,0,610573,0,251,17222,4416,1211,2591,869,797,328,26,0,1
134,0,610573,0,226,17222,4416,1211,2591,869,797,328,26,0,1
135,0,610573,0,108,17222,4416,1211,2591,869,797,328,26,0,1
136,0,610573,0,-69,17222,4416,1211,2591,869,797,328,26,0,1
137,0,610573,0,-139,17222,4416,1211,2591,869,797,328,26,0,1
138,0,610573,0,-236,17222,4416,1211,2591,869,797,328,26,0,1
