,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,196977,0,69,180488,58795,81300,17937,49408,29768,15560,80,0,2
81,0,196977,0,483,180488,58795,81300,17937,49408,29768,15560,80,0,2
82,0,196977,0,122,180488,58795,81300,17937,49408,29768,15560,80,0,2
83,0,196977,0,-2048,180488,58795,81300,17937,49408,29768,15560,80,0,2
84,0,1815958,0,330,61407,37581,27502,138776,99839,71578,40401,200,0,2
85,0,1815958,0,88,61407,37581,27502,138776,99839,71578,40401,200,0,2
86,0,1815958,0,52,61407,37581,27502,138776,99839,71578,40401,200,0,2
87,0,1815958,0,439,61407,37581,27502,138776,99839,71578,40401,200,0,2
88,0,1815958,0,117,61407,37581,27502,138776,99839,71578,40401,200,0,2
89,0,1815958,0,649,61407,37581,27502,138776,99839,71578,40401,200,0,2
90,0,1815958,0,170,61407,37581,27502,138776,99839,71578,40401,200,0,2
91,0,1815958,0,-1572,61407,37581,27502,138776,99839,71578,40401,200,0,2
92,0,1815958,0,2047,61407,37581,27502,138776,99839,71578,40401,200,0,2
93,0,1815958,0,536,61407,37581,27502,138776,99839,71578,40401,200,0,2
94,0,1193105,0,-1207,463606,314377,61145,127343,98720,41006,65895,200,0,2
95,0,1193105,0,2047,463606,314377,61145,127343,98720,41006,65895,200,0,2
96,0,1193105,0,1450,463606,314377,61145,127343,98720,41006,65895,200,0,2
97,0,1193105,0,968,463606,314377,61145,127343,98720,41006,65895,200,0,2
98,0,1193105,0,125,463606,314377,61145,127343,98720,41006,65895,200,0,2
99,0,1193105,0,216,463606,314377,61145,127343,98720,41006,65895,200,0,2
100,0,1193105,0,-2048,463606,314377,61145,127343,98720,41006,65895,200,0,2
101,0,1193105,0,1691,463606,314377,61145,127343,98720,41006,65895,200,0,2
102,0,1193105,0,681,463606,314377,61145,127343,98720,41006,65895,200,0,2
103,0,1193105,0,-1671,463606,314377,61145,127343,98720,41006,65895,200,0,2
104,0,210648,0,2011,34592,11536,45344,53988,28342,10913,13645,200,0,2
105,0,210648,0,715,34592,11536,45344,53988,28342,10913,13645,200,0,2
106,0,210648,0,220,34592,11536,45344,53988,28342,10913,13645,200,0,2
107,0,210648,0,66,34592,11536,45344,53988,28342,10913,13645,200,0,2
108,0,210648,0,69,34592,11536,45344,53988,28342,10913,13645,200,0,2
109,0,210648,0,2047,34592,11536,45344,53988,28342,10913,13645,200,0,2
110,0,210648,0,481,34592,11536,45344,53988,28342,10913,13645,200,0,2
111,0,210648,0,114,34592,11536,45344,53988,28342,10913,13645,200,0,2
112,0,210648,0,129,34592,11536,45344,53988,28342,10913,13645,200,0,2
113,0,210648,0,-2048,34592,11536,45344,53988,28342,10913,13645,200,0,2
114,0,1477690,0,-1746,136160,16525,42819,76615,48489,30512,35355,200,0,2
115,0,1477690,0,-148,136160,16525,42819,76615,48489,30512,35355,200,0,2
116,0,1477690,0,450,136160,16525,42819,76615,48489,30512,35355,200,0,2
117,0,1477690,0,-2048,136160,16525,42819,76615,48489,30512,35355,200,0,2
118,0,1477690,0,1538,136160,16525,42819,76615,48489,30512,35355,200,0,2
119,0,1477690,0,1309,136160,16525,42819,76615,48489,30512,35355,200,0,2
120,0,1477690,0,-1289,136160,16525,42819,76615,48489,30512,35355,200,0,2
121,0,1477690,0,-198,136160,16525,42819,76615,48489,30512,35355,200,0,2
122,0,1477690,0,2047,136160,16525,42819,76615,48489,30512,35355,200,0,2
123,0,1477690,0,103,136160,16525,42819,76615,48489,30512,35355,200,0,2
124,0,205302,0,-775,40989,3936,51310,41342,12458,31998,20572,200,0,2
125,0,205302,0,720,40989,3936,51310,41342,12458,31998,20572,200,0,2
126,0,205302,0,-852,40989,3936,51310,41342,12458,31998,20572,200,0,2
127,0,205302,0,-1505,40989,3936,51310,41342,12458,31998,20572,200,0,2
128,0,205302,0,980,40989,3936,51310,41342,12458,31998,20572,200,0,2
129,0,205302,0,-1513,40989,3936,51310,41342,12458,31998,20572,200,0,2
