,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,0,0,0,44,0,0,0,0,0,0,0,0,0,1
98,0,0,0,44,0,0,0,0,0,0,0,0,0,1
99,0,0,0,44,0,0,0,0,0,0,0,0,0,1
100,0,0,0,44,0,0,0,0,0,0,0,0,0,1
101,0,0,0,44,0,0,0,0,0,0,0,0,0,1
102,0,0,0,45,0,0,0,0,0,0,0,0,0,1
103,0,0,0,44,0,0,0,0,0,0,0,0,0,1
104,0,1,0,44,0,0,0,0,1,0,0,54,0,1
105,0,1,0,44,0,0,0,0,1,0,0,54,0,1
106,0,1,0,44,0,0,0,0,1,0,0,54,0,1
107,0,1,0,44,0,0,0,0,1,0,0,54,0,1
108,0,1,0,45,0,0,0,0,1,0,0,54,0,1
109,0,1,0,45,0,0,0,0,1,0,0,54,0,1
110,0,1,0,44,0,0,0,0,1,0,0,54,0,1
111,0,1,0,44,0,0,0,0,1,0,0,54,0,1
112,0,1,0,45,0,0,0,0,1,0,0,54,0,1
113,0,1,0,45,0,0,0,0,1,0,0,54,0,1
114,0,39,0,45,7,2,8,3,4,1,1,54,0,1
115,0,39,0,45,7,2,8,3,4,1,1,54,0,1
116,0,39,0,45,7,2,8,3,4,1,1,54,0,1
117,0,39,0,45,7,2,8,3,4,1,1,54,0,1
118,0,39,0,48,7,2,8,3,4,1,1,54,0,1
119,0,39,0,48,7,2,8,3,4,1,1,54,0,1
120,0,39,0,48,7,2,8,3,4,1,1,54,0,1
121,0,39,0,48,7,2,8,3,4,1,1,54,0,1
122,0,39,0,49,7,2,8,3,4,1,1,54,0,1
123,0,39,0,48,7,2,8,3,4,1,1,54,0,1
124,0,168,0,48,46,6,8,14,6,3,5,200,0,1
125,0,168,0,48,46,6,8,14,6,3,5,200,0,1
126,0,168,0,44,46,6,8,14,6,3,5,200,0,1
127,0,168,0,45,46,6,8,14,6,3,5,200,0,1
128,0,168,0,-732,46,6,8,14,6,3,5,200,0,1
129,0,168,0,164,46,6,8,14,6,3,5,200,0,1
130,0,168,0,-822,46,6,8,14,6,3,5,200,0,1
131,0,168,0,412,46,6,8,14,6,3,5,200,0,1
132,0,168,0,514,46,6,8,14,6,3,5,200,0,1
133,0,991838,0,464,214434,23347,104206,125861,96757,23908,18769,200,0,1
134,0,991838,0,279,214434,23347,104206,125861,96757,23908,18769,200,0,1
135,0,991838,0,80,214434,23347,104206,125861,96757,23908,18769,200,0,1
136,0,991838,0,64,214434,23347,104206,125861,96757,23908,18769,200,0,1
137,0,991838,0,50,214434,23347,104206,125861,96757,23908,18769,200,0,1
138,0,991838,0,48,214434,23347,104206,125861,96757,23908,18769,200,0,1
139,0,991838,0,42,214434,23347,104206,125861,96757,23908,18769,200,0,1
140,0,991838,0,51,214434,23347,104206,125861,96757,23908,18769,200,0,1
141,0,991838,0,48,214434,23347,104206,125861,96757,23908,18769,200,0,1
142,0,991838,0,45,214434,23347,104206,125861,96757,23908,18769,200,0,1
143,0,991838,0,49,214434,23347,104206,125861,96757,23908,18769,200,0,1
144,0,312570,0,48,8072,4341,1207,876,425,159,133,200,0,1
145,0,312570,0,48,8072,4341,1207,876,425,159,133,200,0,1
146,0,312570,0,45,8072,4341,1207,876,425,159,133,200,0,1
147,0,312570,0,48,8072,4341,1207,876,425,159,133,200,0,1
148,0,312570,0,49,8072,4341,1207,876,425,159,133,200,0,1
149,0,312570,0,48,8072,4341,1207,876,425,159,133,200,0,1
150,0,312570,0,48,8072,4341,1207,876,425,159,133,200,0,1
151,0,312570,0,45,8072,4341,1207,876,425,159,133,200,0,1
152,0,312570,0,5,8072,4341,1207,876,425,159,133,200,0,1
153,0,24797,0,-603,12190,3347,1836,1269,197,135,394,200,0,1
154,0,24797,0,-1037,12190,3347,1836,1269,197,135,394,200,0,1
155,0,24797,0,32,12190,3347,1836,1269,197,135,394,200,0,1
156,0,24797,0,508,12190,3347,1836,1269,197,135,394,200,0,1
157,0,24797,0,984,12190,3347,1836,1269,197,135,394,200,0,1
158,0,24797,0,435,12190,3347,1836,1269,197,135,394,200,0,1
159,0,24797,0,578,12190,3347,1836,1269,197,135,394,200,0,1
160,0,24797,0,581,12190,3347,1836,1269,197,135,394,200,0,1
161,0,24797,0,249,12190,3347,1836,1269,197,135,394,200,0,1
162,0,24797,0,-2048,12190,3347,1836,1269,197,135,394,200,0,1
163,0,850271,0,-173,24367,7364,4644,3368,4802,922,1494,200,0,1
164,0,850271,0,885,24367,7364,4644,3368,4802,922,1494,200,0,1
165,0,850271,0,501,24367,7364,4644,3368,4802,922,1494,200,0,1
166,0,850271,0,122,24367,7364,4644,3368,4802,922,1494,200,0,1
167,0,850271,0,104,24367,7364,4644,3368,4802,922,1494,200,0,1
168,0,850271,0,58,24367,7364,4644,3368,4802,922,1494,200,0,1
169,0,850271,0,87,24367,7364,4644,3368,4802,922,1494,200,0,1
170,0,850271,0,52,24367,7364,4644,3368,4802,922,1494,200,0,1
171,0,850271,0,48,24367,7364,4644,3368,4802,922,1494,200,0,1
172,0,850271,0,45,24367,7364,4644,3368,4802,922,1494,200,0,1
173,0,1364812,0,48,117055,59909,53391,15359,24394,5328,3853,200,0,1
174,0,1364812,0,48,117055,59909,53391,15359,24394,5328,3853,200,0,1
175,0,1364812,0,-72,117055,59909,53391,15359,24394,5328,3853,200,0,1
176,0,1364812,0,57,117055,59909,53391,15359,24394,5328,3853,200,0,1
177,0,1364812,0,48,117055,59909,53391,15359,24394,5328,3853,200,0,1
178,0,1364812,0,49,117055,59909,53391,15359,24394,5328,3853,200,0,1
179,0,1364812,0,-119,117055,59909,53391,15359,24394,5328,3853,200,0,1
180,0,1364812,0,-819,117055,59909,53391,15359,24394,5328,3853,200,0,1
181,0,1364812,0,449,117055,59909,53391,15359,24394,5328,3853,200,0,1
182,0,1364812,0,105,117055,59909,53391,15359,24394,5328,3853,200,0,1
183,0,338737,0,58,97359,18320,15850,12588,15047,17150,6583,200,0,1
184,0,338737,0,48,97359,18320,15850,12588,15047,17150,6583,200,0,1
185,0,338737,0,10,97359,18320,15850,12588,15047,17150,6583,200,0,1
186,0,338737,0,-1131,97359,18320,15850,12588,15047,17150,6583,200,0,1
187,0,338737,0,-1831,97359,18320,15850,12588,15047,17150,6583,200,0,1
188,0,338737,0,-284,97359,18320,15850,12588,15047,17150,6583,200,0,1
189,0,338737,0,-3,97359,18320,15850,12588,15047,17150,6583,200,0,1
190,0,338737,0,39,97359,18320,15850,12588,15047,17150,6583,200,0,1
191,0,338737,0,48,97359,18320,15850,12588,15047,17150,6583,200,0,1
192,0,338737,0,49,97359,18320,15850,12588,15047,17150,6583,200,0,1
193,0,1083165,0,49,11105,8223,3369,1371,1509,867,845,200,0,1
194,0,1083165,0,187,11105,8223,3369,1371,1509,867,845,200,0,1
195,0,1083165,0,-6,11105,8223,3369,1371,1509,867,845,200,0,1
196,0,1083165,0,-278,11105,8223,3369,1371,1509,867,845,200,0,1
197,0,1083165,0,-2,11105,8223,3369,1371,1509,867,845,200,0,1
198,0,1083165,0,1569,11105,8223,3369,1371,1509,867,845,200,0,1
199,0,1083165,0,-1030,11105,8223,3369,1371,1509,867,845,200,0,1
200,0,1083165,0,-119,11105,8223,3369,1371,1509,867,845,200,0,1
201,0,1083165,0,53,11105,8223,3369,1371,1509,867,845,200,0,1
202,0,1083165,0,42,11105,8223,3369,1371,1509,867,845,200,0,1
203,0,705234,0,247,70544,64245,44407,67137,66577,9847,12571,200,0,1
204,0,705234,0,358,70544,64245,44407,67137,66577,9847,12571,200,0,1
205,0,705234,0,53,70544,64245,44407,67137,66577,9847,12571,200,0,1
206,0,705234,0,128,70544,64245,44407,67137,66577,9847,12571,200,0,1
207,0,705234,0,76,70544,64245,44407,67137,66577,9847,12571,200,0,1
208,0,705234,0,-89,70544,64245,44407,67137,66577,9847,12571,200,0,1
209,0,705234,0,-104,70544,64245,44407,67137,66577,9847,12571,200,0,1
210,0,705234,0,230,70544,64245,44407,67137,66577,9847,12571,200,0,1
211,0,705234,0,202,70544,64245,44407,67137,66577,9847,12571,200,0,1
212,0,705234,0,834,70544,64245,44407,67137,66577,9847,12571,200,0,1
213,0,167058,0,1127,96533,134519,28918,38413,45036,33829,11601,200,0,1
214,0,167058,0,1464,96533,134519,28918,38413,45036,33829,11601,200,0,1
215,0,167058,0,772,96533,134519,28918,38413,45036,33829,11601,200,0,1
216,0,167058,0,157,96533,134519,28918,38413,45036,33829,11601,200,0,1
217,0,167058,0,64,96533,134519,28918,38413,45036,33829,11601,200,0,1
218,0,167058,0,49,96533,134519,28918,38413,45036,33829,11601,200,0,1
219,0,167058,0,45,96533,134519,28918,38413,45036,33829,11601,200,0,1
220,0,167058,0,-2048,96533,134519,28918,38413,45036,33829,11601,200,0,1
221,0,167058,0,-1069,96533,134519,28918,38413,45036,33829,11601,200,0,1
222,0,167058,0,-34,96533,134519,28918,38413,45036,33829,11601,200,0,1
223,0,1564936,0,32,38531,18466,12990,15021,18917,3422,1940,200,0,1
224,0,1564936,0,44,38531,18466,12990,15021,18917,3422,1940,200,0,1
225,0,1564936,0,45,38531,18466,12990,15021,18917,3422,1940,200,0,1
226,0,1564936,0,45,38531,18466,12990,15021,18917,3422,1940,200,0,1
227,0,1564936,0,45,38531,18466,12990,15021,18917,3422,1940,200,0,1
228,0,1564936,0,45,38531,18466,12990,15021,18917,3422,1940,200,0,1
229,0,1564936,0,45,38531,18466,12990,15021,18917,3422,1940,200,0,1
230,0,1564936,0,48,38531,18466,12990,15021,18917,3422,1940,200,0,1
231,0,1564936,0,45,38531,18466,12990,15021,18917,3422,1940,200,0,1
232,0,1564936,0,48,38531,18466,12990,15021,18917,3422,1940,200,0,1
233,0,3064,0,48,1040,600,317,262,133,51,30,200,0,1
234,0,3064,0,45,1040,600,317,262,133,51,30,200,0,1
235,0,3064,0,45,1040,600,317,262,133,51,30,200,0,1
236,0,3064,0,45,1040,600,317,262,133,51,30,200,0,1
237,0,3064,0,45,1040,600,317,262,133,51,30,200,0,1
238,0,3064,0,1979,1040,600,317,262,133,51,30,200,0,1
239,0,3064,0,345,1040,600,317,262,133,51,30,200,0,1
240,0,3064,0,97,1040,600,317,262,133,51,30,200,0,1
241,0,3064,0,-1463,1040,600,317,262,133,51,30,200,0,1
242,0,3064,0,-119,1040,600,317,262,133,51,30,200,0,1
243,0,173130,0,16,25361,6758,6447,6349,4802,764,731,200,0,1
244,0,173130,0,41,25361,6758,6447,6349,4802,764,731,200,0,1
245,0,173130,0,45,25361,6758,6447,6349,4802,764,731,200,0,1
246,0,173130,0,45,25361,6758,6447,6349,4802,764,731,200,0,1
247,0,173130,0,-459,25361,6758,6447,6349,4802,764,731,200,0,1
248,0,173130,0,-24,25361,6758,6447,6349,4802,764,731,200,0,1
249,0,173130,0,35,25361,6758,6447,6349,4802,764,731,200,0,1
250,0,173130,0,2047,25361,6758,6447,6349,4802,764,731,200,0,1
251,0,173130,0,-375,25361,6758,6447,6349,4802,764,731,200,0,1
252,0,173130,0,900,25361,6758,6447,6349,4802,764,731,200,0,1
253,0,592036,0,198,194905,194334,211119,95058,981140,882818,580994,200,0,1
254,0,592036,0,66,194905,194334,211119,95058,981140,882818,580994,200,0,1
255,0,592036,0,70,194905,194334,211119,95058,981140,882818,580994,200,0,1
256,0,592036,0,-697,194905,194334,211119,95058,981140,882818,580994,200,0,1
257,0,592036,0,-961,194905,194334,211119,95058,981140,882818,580994,200,0,1
258,0,592036,0,853,194905,194334,211119,95058,981140,882818,580994,200,0,1
259,0,592036,0,170,194905,194334,211119,95058,981140,882818,580994,200,0,1
260,0,592036,0,65,194905,194334,211119,95058,981140,882818,580994,200,0,1
261,0,592036,0,48,194905,194334,211119,95058,981140,882818,580994,200,0,1
262,0,592036,0,44,194905,194334,211119,95058,981140,882818,580994,200,0,1
263,0,1285279,0,44,280043,188491,241404,284548,171651,75672,76834,200,0,1
264,0,1285279,0,44,280043,188491,241404,284548,171651,75672,76834,200,0,1
265,0,1285279,0,45,280043,188491,241404,284548,171651,75672,76834,200,0,1
266,0,1285279,0,44,280043,188491,241404,284548,171651,75672,76834,200,0,1
267,0,1285279,0,53,280043,188491,241404,284548,171651,75672,76834,200,0,1
268,0,1285279,0,48,280043,188491,241404,284548,171651,75672,76834,200,0,1
269,0,1285279,0,44,280043,188491,241404,284548,171651,75672,76834,200,0,1
270,0,1285279,0,49,280043,188491,241404,284548,171651,75672,76834,200,0,1
271,0,1285279,0,44,280043,188491,241404,284548,171651,75672,76834,200,0,1
272,0,68316,0,44,61066,5809,4042,9376,5239,1326,776,200,0,1
273,0,68316,0,44,61066,5809,4042,9376,5239,1326,776,200,0,1
274,0,68316,0,45,61066,5809,4042,9376,5239,1326,776,200,0,1
275,0,68316,0,163,61066,5809,4042,9376,5239,1326,776,200,0,1
276,0,68316,0,-2048,61066,5809,4042,9376,5239,1326,776,200,0,1
277,0,68316,0,-637,61066,5809,4042,9376,5239,1326,776,200,0,1
278,0,68316,0,-57,61066,5809,4042,9376,5239,1326,776,200,0,1
279,0,68316,0,28,61066,5809,4042,9376,5239,1326,776,200,0,1
280,0,68316,0,44,61066,5809,4042,9376,5239,1326,776,200,0,1
281,0,68316,0,48,61066,5809,4042,9376,5239,1326,776,200,0,1
282,0,456668,0,2047,133990,56973,26394,26135,17880,10089,5719,200,0,1
283,0,456668,0,2047,133990,56973,26394,26135,17880,10089,5719,200,0,1
284,0,456668,0,497,133990,56973,26394,26135,17880,10089,5719,200,0,1
285,0,456668,0,92,133990,56973,26394,26135,17880,10089,5719,200,0,1
286,0,456668,0,53,133990,56973,26394,26135,17880,10089,5719,200,0,1
287,0,456668,0,-1898,133990,56973,26394,26135,17880,10089,5719,200,0,1
288,0,456668,0,1026,133990,56973,26394,26135,17880,10089,5719,200,0,1
289,0,456668,0,166,133990,56973,26394,26135,17880,10089,5719,200,0,1
290,0,456668,0,148,133990,56973,26394,26135,17880,10089,5719,200,0,1
291,0,456668,0,28,133990,56973,26394,26135,17880,10089,5719,200,0,1
292,0,1448897,0,-564,1216961,38858,163570,92265,103303,195784,164503,200,0,1
293,0,1448897,0,-1756,1216961,38858,163570,92265,103303,195784,164503,200,0,1
294,0,1448897,0,-145,1216961,38858,163570,92265,103303,195784,164503,200,0,1
295,0,1448897,0,-49,1216961,38858,163570,92265,103303,195784,164503,200,0,1
296,0,1448897,0,29,1216961,38858,163570,92265,103303,195784,164503,200,0,1
297,0,1448897,0,43,1216961,38858,163570,92265,103303,195784,164503,200,0,1
298,0,1448897,0,53,1216961,38858,163570,92265,103303,195784,164503,200,0,1
299,0,1448897,0,2047,1216961,38858,163570,92265,103303,195784,164503,200,0,1
300,0,1448897,0,-145,1216961,38858,163570,92265,103303,195784,164503,200,0,1
301,0,1448897,0,-1971,1216961,38858,163570,92265,103303,195784,164503,200,0,1
302,0,1238825,0,-2048,751387,246700,163024,86468,225132,272870,295304,200,0,1
303,0,1238825,0,2047,751387,246700,163024,86468,225132,272870,295304,200,0,1
304,0,1238825,0,2047,751387,246700,163024,86468,225132,272870,295304,200,0,1
305,0,1238825,0,-1851,751387,246700,163024,86468,225132,272870,295304,200,0,1
306,0,1238825,0,-247,751387,246700,163024,86468,225132,272870,295304,200,0,1
307,0,1238825,0,1,751387,246700,163024,86468,225132,272870,295304,200,0,1
308,0,1238825,0,2047,751387,246700,163024,86468,225132,272870,295304,200,0,1
309,0,1238825,0,-1784,751387,246700,163024,86468,225132,272870,295304,200,0,1
310,0,1238825,0,-163,751387,246700,163024,86468,225132,272870,295304,200,0,1
311,0,1238825,0,17,751387,246700,163024,86468,225132,272870,295304,200,0,1
312,0,657419,0,40,88733,45160,38208,125271,53561,77276,30405,80,0,1
313,0,657419,0,44,88733,45160,38208,125271,53561,77276,30405,80,0,1
314,0,657419,0,48,88733,45160,38208,125271,53561,77276,30405,80,0,1
315,0,657419,0,45,88733,45160,38208,125271,53561,77276,30405,80,0,1
316,0,657419,0,44,88733,45160,38208,125271,53561,77276,30405,80,0,1
317,0,657419,0,45,88733,45160,38208,125271,53561,77276,30405,80,0,1
318,0,657419,0,44,88733,45160,38208,125271,53561,77276,30405,80,0,1
319,0,657419,0,45,88733,45160,38208,125271,53561,77276,30405,80,0,1
320,0,657419,0,45,88733,45160,38208,125271,53561,77276,30405,80,0,1
321,0,657419,0,45,88733,45160,38208,125271,53561,77276,30405,80,0,1
322,0,203,0,45,45,9,11,15,8,10,2,54,0,1
323,0,203,0,45,45,9,11,15,8,10,2,54,0,1
324,0,203,0,45,45,9,11,15,8,10,2,54,0,1
325,0,203,0,45,45,9,11,15,8,10,2,54,0,1
326,0,203,0,48,45,9,11,15,8,10,2,54,0,1
327,0,203,0,45,45,9,11,15,8,10,2,54,0,1
328,0,203,0,45,45,9,11,15,8,10,2,54,0,1
329,0,203,0,45,45,9,11,15,8,10,2,54,0,1
330,0,203,0,45,45,9,11,15,8,10,2,54,0,1
331,0,203,0,48,45,9,11,15,8,10,2,54,0,1
332,0,10,0,45,34,8,17,6,15,8,6,54,0,1
333,0,10,0,45,34,8,17,6,15,8,6,54,0,1
334,0,10,0,45,34,8,17,6,15,8,6,54,0,1
