,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,978824,0,-2048,1422796,825469,776407,1490206,1220971,1015776,469842,80,0,2
81,0,978824,0,1705,1422796,825469,776407,1490206,1220971,1015776,469842,80,0,2
82,0,978824,0,1992,1422796,825469,776407,1490206,1220971,1015776,469842,80,0,2
83,0,978824,0,316,1422796,825469,776407,1490206,1220971,1015776,469842,80,0,2
84,0,978824,0,-2048,1422796,825469,776407,1490206,1220971,1015776,469842,80,0,2
85,0,393217,0,-124,51957,6215,10011,16901,21208,18664,14336,200,0,2
86,0,393217,0,375,51957,6215,10011,16901,21208,18664,14336,200,0,2
87,0,393217,0,385,51957,6215,10011,16901,21208,18664,14336,200,0,2
88,0,393217,0,326,51957,6215,10011,16901,21208,18664,14336,200,0,2
89,0,393217,0,236,51957,6215,10011,16901,21208,18664,14336,200,0,2
90,0,393217,0,2022,51957,6215,10011,16901,21208,18664,14336,200,0,2
91,0,393217,0,-1656,51957,6215,10011,16901,21208,18664,14336,200,0,2
92,0,393217,0,627,51957,6215,10011,16901,21208,18664,14336,200,0,2
93,0,393217,0,818,51957,6215,10011,16901,21208,18664,14336,200,0,2
94,0,393217,0,2047,51957,6215,10011,16901,21208,18664,14336,200,0,2
95,0,695998,0,656,213472,127866,151843,170367,95729,84538,78977,200,0,2
96,0,695998,0,1884,213472,127866,151843,170367,95729,84538,78977,200,0,2
97,0,695998,0,1175,213472,127866,151843,170367,95729,84538,78977,200,0,2
98,0,695998,0,300,213472,127866,151843,170367,95729,84538,78977,200,0,2
99,0,695998,0,502,213472,127866,151843,170367,95729,84538,78977,200,0,2
100,0,695998,0,2047,213472,127866,151843,170367,95729,84538,78977,200,0,2
101,0,695998,0,1017,213472,127866,151843,170367,95729,84538,78977,200,0,2
102,0,695998,0,819,213472,127866,151843,170367,95729,84538,78977,200,0,2
103,0,695998,0,165,213472,127866,151843,170367,95729,84538,78977,200,0,2
104,0,695998,0,65,213472,127866,151843,170367,95729,84538,78977,200,0,2
105,0,114981,0,49,25952,20312,7538,19260,27818,24097,33203,200,0,2
106,0,114981,0,48,25952,20312,7538,19260,27818,24097,33203,200,0,2
107,0,114981,0,-1850,25952,20312,7538,19260,27818,24097,33203,200,0,2
108,0,114981,0,-774,25952,20312,7538,19260,27818,24097,33203,200,0,2
109,0,114981,0,-78,25952,20312,7538,19260,27818,24097,33203,200,0,2
110,0,114981,0,25,25952,20312,7538,19260,27818,24097,33203,200,0,2
111,0,114981,0,1805,25952,20312,7538,19260,27818,24097,33203,200,0,2
112,0,114981,0,299,25952,20312,7538,19260,27818,24097,33203,200,0,2
113,0,114981,0,86,25952,20312,7538,19260,27818,24097,33203,200,0,2
114,0,114981,0,52,25952,20312,7538,19260,27818,24097,33203,200,0,2
115,0,1797960,0,45,54933,13071,2030,7074,7095,3454,1473,200,0,2
116,0,1797960,0,44,54933,13071,2030,7074,7095,3454,1473,200,0,2
117,0,1797960,0,44,54933,13071,2030,7074,7095,3454,1473,200,0,2
118,0,1797960,0,44,54933,13071,2030,7074,7095,3454,1473,200,0,2
119,0,1797960,0,44,54933,13071,2030,7074,7095,3454,1473,200,0,2
120,0,1797960,0,44,54933,13071,2030,7074,7095,3454,1473,200,0,2
121,0,1797960,0,44,54933,13071,2030,7074,7095,3454,1473,200,0,2
122,0,1797960,0,44,54933,13071,2030,7074,7095,3454,1473,200,0,2
123,0,1797960,0,45,54933,13071,2030,7074,7095,3454,1473,200,0,2
124,0,1797960,0,-1422,54933,13071,2030,7074,7095,3454,1473,200,0,2
125,0,598492,0,1190,364697,250359,137566,83092,30422,29216,26549,200,0,2
126,0,598492,0,224,364697,250359,137566,83092,30422,29216,26549,200,0,2
127,0,598492,0,73,364697,250359,137566,83092,30422,29216,26549,200,0,2
128,0,598492,0,52,364697,250359,137566,83092,30422,29216,26549,200,0,2
129,0,598492,0,45,364697,250359,137566,83092,30422,29216,26549,200,0,2
130,0,598492,0,-2048,364697,250359,137566,83092,30422,29216,26549,200,0,2
131,0,598492,0,2047,364697,250359,137566,83092,30422,29216,26549,200,0,2
132,0,598492,0,400,364697,250359,137566,83092,30422,29216,26549,200,0,2
133,0,598492,0,-2048,364697,250359,137566,83092,30422,29216,26549,200,0,2
134,0,598492,0,1516,364697,250359,137566,83092,30422,29216,26549,200,0,2
135,0,514988,0,228,39587,23163,39543,19698,32749,13166,5348,200,0,2
136,0,514988,0,73,39587,23163,39543,19698,32749,13166,5348,200,0,2
137,0,514988,0,50,39587,23163,39543,19698,32749,13166,5348,200,0,2
138,0,514988,0,45,39587,23163,39543,19698,32749,13166,5348,200,0,2
139,0,514988,0,976,39587,23163,39543,19698,32749,13166,5348,200,0,2
140,0,514988,0,200,39587,23163,39543,19698,32749,13166,5348,200,0,2
141,0,514988,0,60,39587,23163,39543,19698,32749,13166,5348,200,0,2
142,0,514988,0,49,39587,23163,39543,19698,32749,13166,5348,200,0,2
143,0,514988,0,279,39587,23163,39543,19698,32749,13166,5348,200,0,2
144,0,514988,0,82,39587,23163,39543,19698,32749,13166,5348,200,0,2
145,0,515377,0,50,111095,38679,60545,110810,67676,17881,22699,200,0,2
146,0,515377,0,44,111095,38679,60545,110810,67676,17881,22699,200,0,2
147,0,515377,0,1089,111095,38679,60545,110810,67676,17881,22699,200,0,2
148,0,515377,0,208,111095,38679,60545,110810,67676,17881,22699,200,0,2
149,0,515377,0,-2048,111095,38679,60545,110810,67676,17881,22699,200,0,2
150,0,515377,0,-329,111095,38679,60545,110810,67676,17881,22699,200,0,2
151,0,515377,0,-274,111095,38679,60545,110810,67676,17881,22699,200,0,2
152,0,515377,0,2047,111095,38679,60545,110810,67676,17881,22699,200,0,2
153,0,515377,0,409,111095,38679,60545,110810,67676,17881,22699,200,0,2
154,0,515377,0,-744,111095,38679,60545,110810,67676,17881,22699,200,0,2
155,0,553234,0,1050,69891,23865,25376,45229,48720,22128,30965,200,0,2
156,0,553234,0,-1642,69891,23865,25376,45229,48720,22128,30965,200,0,2
157,0,553234,0,1638,69891,23865,25376,45229,48720,22128,30965,200,0,2
158,0,553234,0,295,69891,23865,25376,45229,48720,22128,30965,200,0,2
159,0,553234,0,-1227,69891,23865,25376,45229,48720,22128,30965,200,0,2
160,0,553234,0,1853,69891,23865,25376,45229,48720,22128,30965,200,0,2
161,0,553234,0,481,69891,23865,25376,45229,48720,22128,30965,200,0,2
162,0,553234,0,-2048,69891,23865,25376,45229,48720,22128,30965,200,0,2
163,0,553234,0,-2048,69891,23865,25376,45229,48720,22128,30965,200,0,2
164,0,553234,0,856,69891,23865,25376,45229,48720,22128,30965,200,0,2
165,0,315128,0,363,499912,188764,110275,87433,82067,57301,35504,200,0,2
166,0,315128,0,1831,499912,188764,110275,87433,82067,57301,35504,200,0,2
167,0,315128,0,930,499912,188764,110275,87433,82067,57301,35504,200,0,2
168,0,315128,0,-2048,499912,188764,110275,87433,82067,57301,35504,200,0,2
169,0,315128,0,661,499912,188764,110275,87433,82067,57301,35504,200,0,2
170,0,315128,0,-1976,499912,188764,110275,87433,82067,57301,35504,200,0,2
171,0,315128,0,-2048,499912,188764,110275,87433,82067,57301,35504,200,0,2
172,0,315128,0,-530,499912,188764,110275,87433,82067,57301,35504,200,0,2
173,0,315128,0,2047,499912,188764,110275,87433,82067,57301,35504,200,0,2
174,0,315128,0,2047,499912,188764,110275,87433,82067,57301,35504,200,0,2
