attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,-534,0,0,0,0,0,0,0,0,0,2
0,0,0,-1399,0,0,0,0,0,0,0,0,0,2
0,0,0,-1927,0,0,0,0,0,0,0,0,0,2
0,0,0,-261,0,0,0,0,0,0,0,0,0,2
0,0,0,-21,0,0,0,0,0,0,0,0,0,2
0,0,0,2047,0,0,0,0,0,0,0,0,0,2
0,0,0,-2048,0,0,0,0,0,0,0,0,0,2
0,0,0,-1692,0,0,0,0,0,0,0,0,0,2
0,0,0,-1827,0,0,0,0,0,0,0,0,0,2
0,0,0,2047,0,0,0,0,0,0,0,0,0,2
0,74425,0,-2040,58387,57893,38550,41502,31754,33774,14051,51,0,2
0,74425,0,-2048,58387,57893,38550,41502,31754,33774,14051,51,0,2
0,74425,0,657,58387,57893,38550,41502,31754,33774,14051,51,0,2
0,74425,0,2047,58387,57893,38550,41502,31754,33774,14051,51,0,2
0,74425,0,2047,58387,57893,38550,41502,31754,33774,14051,51,0,2
0,74425,0,2047,58387,57893,38550,41502,31754,33774,14051,51,0,2
0,74425,0,2047,58387,57893,38550,41502,31754,33774,14051,51,0,2
0,74425,0,-2048,58387,57893,38550,41502,31754,33774,14051,51,0,2
0,74425,0,-2048,58387,57893,38550,41502,31754,33774,14051,51,0,2
0,74425,0,-2048,58387,57893,38550,41502,31754,33774,14051,51,0,2
0,1459148,0,-1921,355393,320299,313951,164300,354819,221728,104579,51,0,2
0,1459148,0,1834,355393,320299,313951,164300,354819,221728,104579,51,0,2
0,1459148,0,2047,355393,320299,313951,164300,354819,221728,104579,51,0,2
0,1459148,0,-1122,355393,320299,313951,164300,354819,221728,104579,51,0,2
0,1459148,0,-1506,355393,320299,313951,164300,354819,221728,104579,51,0,2
0,1459148,0,-977,355393,320299,313951,164300,354819,221728,104579,51,0,2
0,1459148,0,633,355393,320299,313951,164300,354819,221728,104579,51,0,2
0,1459148,0,1453,355393,320299,313951,164300,354819,221728,104579,51,0,2
