,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,712726,0,-412,779821,264885,228685,211300,176480,208041,111154,51,0,2
81,0,712726,0,2000,779821,264885,228685,211300,176480,208041,111154,51,0,2
82,0,712726,0,2047,779821,264885,228685,211300,176480,208041,111154,51,0,2
83,0,655951,0,1494,71143,139560,90992,51920,84577,69760,73768,51,0,2
84,0,655951,0,385,71143,139560,90992,51920,84577,69760,73768,51,0,2
85,0,655951,0,2047,71143,139560,90992,51920,84577,69760,73768,51,0,2
86,0,655951,0,-1870,71143,139560,90992,51920,84577,69760,73768,51,0,2
87,0,655951,0,-834,71143,139560,90992,51920,84577,69760,73768,51,0,2
88,0,655951,0,1188,71143,139560,90992,51920,84577,69760,73768,51,0,2
89,0,655951,0,-2048,71143,139560,90992,51920,84577,69760,73768,51,0,2
90,0,655951,0,-1723,71143,139560,90992,51920,84577,69760,73768,51,0,2
91,0,655951,0,-2048,71143,139560,90992,51920,84577,69760,73768,51,0,2
92,0,167588,0,-1301,22184,58424,16084,155706,45132,21261,23067,51,0,2
93,0,167588,0,821,22184,58424,16084,155706,45132,21261,23067,51,0,2
94,0,167588,0,659,22184,58424,16084,155706,45132,21261,23067,51,0,2
95,0,167588,0,183,22184,58424,16084,155706,45132,21261,23067,51,0,2
96,0,167588,0,-2048,22184,58424,16084,155706,45132,21261,23067,51,0,2
97,0,167588,0,2047,22184,58424,16084,155706,45132,21261,23067,51,0,2
98,0,167588,0,2047,22184,58424,16084,155706,45132,21261,23067,51,0,2
99,0,167588,0,512,22184,58424,16084,155706,45132,21261,23067,51,0,2
100,0,167588,0,-1547,22184,58424,16084,155706,45132,21261,23067,51,0,2
101,0,167588,0,2047,22184,58424,16084,155706,45132,21261,23067,51,0,2
102,0,56731,0,-1700,74265,31614,46345,25428,27966,23835,18823,51,0,2
103,0,56731,0,759,74265,31614,46345,25428,27966,23835,18823,51,0,2
104,0,56731,0,171,74265,31614,46345,25428,27966,23835,18823,51,0,2
105,0,56731,0,405,74265,31614,46345,25428,27966,23835,18823,51,0,2
106,0,56731,0,-1113,74265,31614,46345,25428,27966,23835,18823,51,0,2
107,0,56731,0,-213,74265,31614,46345,25428,27966,23835,18823,51,0,2
108,0,56731,0,-1201,74265,31614,46345,25428,27966,23835,18823,51,0,2
109,0,56731,0,2047,74265,31614,46345,25428,27966,23835,18823,51,0,2
110,0,56731,0,-1480,74265,31614,46345,25428,27966,23835,18823,51,0,2
111,0,56731,0,1993,74265,31614,46345,25428,27966,23835,18823,51,0,2
112,0,1360219,0,-2048,1199682,564962,868929,811813,1383299,547603,410997,51,0,2
113,0,1360219,0,-690,1199682,564962,868929,811813,1383299,547603,410997,51,0,2
114,0,1360219,0,-355,1199682,564962,868929,811813,1383299,547603,410997,51,0,2
115,0,1360219,0,-474,1199682,564962,868929,811813,1383299,547603,410997,51,0,2
116,0,1360219,0,2047,1199682,564962,868929,811813,1383299,547603,410997,51,0,2
117,0,1360219,0,841,1199682,564962,868929,811813,1383299,547603,410997,51,0,2
118,0,1360219,0,876,1199682,564962,868929,811813,1383299,547603,410997,51,0,2
119,0,1360219,0,-2048,1199682,564962,868929,811813,1383299,547603,410997,51,0,2
120,0,1360219,0,1015,1199682,564962,868929,811813,1383299,547603,410997,51,0,2
