attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,639310,0,-1737,71944,26367,122737,43828,139152,207435,44120,80,0,1
0,639310,0,-471,71944,26367,122737,43828,139152,207435,44120,80,0,1
0,639310,0,-620,71944,26367,122737,43828,139152,207435,44120,80,0,1
0,639310,0,2047,71944,26367,122737,43828,139152,207435,44120,80,0,1
0,639310,0,2047,71944,26367,122737,43828,139152,207435,44120,80,0,1
0,639310,0,-1449,71944,26367,122737,43828,139152,207435,44120,80,0,1
0,639310,0,1186,71944,26367,122737,43828,139152,207435,44120,80,0,1
0,639310,0,221,71944,26367,122737,43828,139152,207435,44120,80,0,1
0,639310,0,53,71944,26367,122737,43828,139152,207435,44120,80,0,1
0,1737185,0,1221,219438,151189,123635,139341,102727,54863,23998,80,0,1
0,1737185,0,228,219438,151189,123635,139341,102727,54863,23998,80,0,1
0,1737185,0,73,219438,151189,123635,139341,102727,54863,23998,80,0,1
0,1737185,0,50,219438,151189,123635,139341,102727,54863,23998,80,0,1
0,1737185,0,2047,219438,151189,123635,139341,102727,54863,23998,80,0,1
0,1737185,0,-2048,219438,151189,123635,139341,102727,54863,23998,80,0,1
0,1737185,0,1013,219438,151189,123635,139341,102727,54863,23998,80,0,1
0,1737185,0,-209,219438,151189,123635,139341,102727,54863,23998,80,0,1
0,1737185,0,-2026,219438,151189,123635,139341,102727,54863,23998,80,0,1
0,1737185,0,2047,219438,151189,123635,139341,102727,54863,23998,80,0,1
0,1663820,0,2047,349258,127754,192457,196755,100555,163661,24020,80,0,1
0,1663820,0,2047,349258,127754,192457,196755,100555,163661,24020,80,0,1
0,1663820,0,-2048,349258,127754,192457,196755,100555,163661,24020,80,0,1
0,1663820,0,195,349258,127754,192457,196755,100555,163661,24020,80,0,1
0,1663820,0,423,349258,127754,192457,196755,100555,163661,24020,80,0,1
0,1663820,0,2047,349258,127754,192457,196755,100555,163661,24020,80,0,1
0,1663820,0,618,349258,127754,192457,196755,100555,163661,24020,80,0,1
0,1663820,0,2047,349258,127754,192457,196755,100555,163661,24020,80,0,1
0,1663820,0,594,349258,127754,192457,196755,100555,163661,24020,80,0,1
0,1663820,0,2047,349258,127754,192457,196755,100555,163661,24020,80,0,1
0,1441010,0,1832,805524,258942,237382,99968,154592,164750,98952,80,0,1
0,1441010,0,348,805524,258942,237382,99968,154592,164750,98952,80,0,1
0,1441010,0,1333,805524,258942,237382,99968,154592,164750,98952,80,0,1
0,1441010,0,-34,805524,258942,237382,99968,154592,164750,98952,80,0,1
0,1441010,0,-2048,805524,258942,237382,99968,154592,164750,98952,80,0,1
0,1441010,0,1148,805524,258942,237382,99968,154592,164750,98952,80,0,1
0,1441010,0,-1719,805524,258942,237382,99968,154592,164750,98952,80,0,1
0,1441010,0,1209,805524,258942,237382,99968,154592,164750,98952,80,0,1
0,1441010,0,226,805524,258942,237382,99968,154592,164750,98952,80,0,1
0,1441010,0,75,805524,258942,237382,99968,154592,164750,98952,80,0,1
0,105341,0,-2048,76452,73960,27730,21134,17312,49520,18221,200,0,1
0,105341,0,-2048,76452,73960,27730,21134,17312,49520,18221,200,0,1
0,105341,0,1728,76452,73960,27730,21134,17312,49520,18221,200,0,1
0,105341,0,1223,76452,73960,27730,21134,17312,49520,18221,200,0,1
0,105341,0,1548,76452,73960,27730,21134,17312,49520,18221,200,0,1
0,105341,0,-2048,76452,73960,27730,21134,17312,49520,18221,200,0,1
0,105341,0,2047,76452,73960,27730,21134,17312,49520,18221,200,0,1
0,105341,0,-1738,76452,73960,27730,21134,17312,49520,18221,200,0,1
0,105341,0,2047,76452,73960,27730,21134,17312,49520,18221,200,0,1
0,105341,0,1177,76452,73960,27730,21134,17312,49520,18221,200,0,1
0,530939,0,170,275715,139135,95814,159366,351647,434169,69250,200,0,1
0,530939,0,85,275715,139135,95814,159366,351647,434169,69250,200,0,1
0,530939,0,-97,275715,139135,95814,159366,351647,434169,69250,200,0,1
0,530939,0,1011,275715,139135,95814,159366,351647,434169,69250,200,0,1
0,530939,0,797,275715,139135,95814,159366,351647,434169,69250,200,0,1
0,530939,0,-1320,275715,139135,95814,159366,351647,434169,69250,200,0,1
0,530939,0,-67,275715,139135,95814,159366,351647,434169,69250,200,0,1
0,530939,0,-2048,275715,139135,95814,159366,351647,434169,69250,200,0,1
0,530939,0,386,275715,139135,95814,159366,351647,434169,69250,200,0,1
0,530939,0,194,275715,139135,95814,159366,351647,434169,69250,200,0,1
0,1769611,0,-1460,332545,242138,221463,66379,37601,97235,17227,200,0,1
0,1769611,0,-593,332545,242138,221463,66379,37601,97235,17227,200,0,1
0,1769611,0,-438,332545,242138,221463,66379,37601,97235,17227,200,0,1
0,1769611,0,-2048,332545,242138,221463,66379,37601,97235,17227,200,0,1
0,1769611,0,1380,332545,242138,221463,66379,37601,97235,17227,200,0,1
0,1769611,0,-866,332545,242138,221463,66379,37601,97235,17227,200,0,1
0,1769611,0,1241,332545,242138,221463,66379,37601,97235,17227,200,0,1
0,1769611,0,2047,332545,242138,221463,66379,37601,97235,17227,200,0,1
0,1769611,0,1238,332545,242138,221463,66379,37601,97235,17227,200,0,1
0,839814,0,19,564865,234185,564386,208877,278636,85117,112858,200,0,1
0,839814,0,-2048,564865,234185,564386,208877,278636,85117,112858,200,0,1
0,839814,0,2047,564865,234185,564386,208877,278636,85117,112858,200,0,1
0,839814,0,-2048,564865,234185,564386,208877,278636,85117,112858,200,0,1
0,839814,0,-1606,564865,234185,564386,208877,278636,85117,112858,200,0,1
0,839814,0,-548,564865,234185,564386,208877,278636,85117,112858,200,0,1
0,839814,0,-423,564865,234185,564386,208877,278636,85117,112858,200,0,1
0,839814,0,19,564865,234185,564386,208877,278636,85117,112858,200,0,1
0,839814,0,19,564865,234185,564386,208877,278636,85117,112858,200,0,1
0,839814,0,19,564865,234185,564386,208877,278636,85117,112858,200,0,1
0,113131,0,19,95701,22762,11416,37915,55913,16485,28177,51,0,1
0,113131,0,-828,95701,22762,11416,37915,55913,16485,28177,51,0,1
0,113131,0,2047,95701,22762,11416,37915,55913,16485,28177,51,0,1
0,113131,0,-2048,95701,22762,11416,37915,55913,16485,28177,51,0,1
0,113131,0,-668,95701,22762,11416,37915,55913,16485,28177,51,0,1
0,113131,0,-185,95701,22762,11416,37915,55913,16485,28177,51,0,1
0,113131,0,-2048,95701,22762,11416,37915,55913,16485,28177,51,0,1
0,113131,0,-423,95701,22762,11416,37915,55913,16485,28177,51,0,1
0,113131,0,-158,95701,22762,11416,37915,55913,16485,28177,51,0,1
0,113131,0,3,95701,22762,11416,37915,55913,16485,28177,51,0,1
0,382739,0,2047,228348,77297,75481,143923,92152,64553,30499,51,0,1
0,382739,0,-1131,228348,77297,75481,143923,92152,64553,30499,51,0,1
0,382739,0,2047,228348,77297,75481,143923,92152,64553,30499,51,0,1
0,382739,0,-934,228348,77297,75481,143923,92152,64553,30499,51,0,1
0,382739,0,-2048,228348,77297,75481,143923,92152,64553,30499,51,0,1
0,382739,0,-339,228348,77297,75481,143923,92152,64553,30499,51,0,1
0,382739,0,2047,228348,77297,75481,143923,92152,64553,30499,51,0,1
0,382739,0,-2048,228348,77297,75481,143923,92152,64553,30499,51,0,1
0,382739,0,1538,228348,77297,75481,143923,92152,64553,30499,51,0,1
0,382739,0,-34,228348,77297,75481,143923,92152,64553,30499,51,0,1
0,2286084,0,-2048,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
0,2286084,0,738,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
0,2286084,0,787,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
0,2286084,0,-2048,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
0,2286084,0,-924,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
0,2286084,0,1557,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
0,2286084,0,-2048,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
0,2286084,0,1379,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
0,2286084,0,2047,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
0,2286084,0,2047,1294409,439973,726928,858151,760964,1460039,468966,51,0,1
0,1543869,0,2047,192271,285959,99767,124320,146947,301209,170873,51,0,1
0,1543869,0,2047,192271,285959,99767,124320,146947,301209,170873,51,0,1
0,1543869,0,185,192271,285959,99767,124320,146947,301209,170873,51,0,1
0,1543869,0,-2048,192271,285959,99767,124320,146947,301209,170873,51,0,1
0,1543869,0,-1355,192271,285959,99767,124320,146947,301209,170873,51,0,1
0,1543869,0,1922,192271,285959,99767,124320,146947,301209,170873,51,0,1
0,1543869,0,-2048,192271,285959,99767,124320,146947,301209,170873,51,0,1
0,1543869,0,2047,192271,285959,99767,124320,146947,301209,170873,51,0,1
0,1543869,0,-679,192271,285959,99767,124320,146947,301209,170873,51,0,1
0,1543869,0,577,192271,285959,99767,124320,146947,301209,170873,51,0,1
0,375649,0,2047,407177,96544,101816,322889,138688,145391,160269,51,0,1
0,375649,0,1077,407177,96544,101816,322889,138688,145391,160269,51,0,1
0,375649,0,-765,407177,96544,101816,322889,138688,145391,160269,51,0,1
0,375649,0,1097,407177,96544,101816,322889,138688,145391,160269,51,0,1
0,375649,0,38,407177,96544,101816,322889,138688,145391,160269,51,0,1
0,375649,0,-1689,407177,96544,101816,322889,138688,145391,160269,51,0,1
0,375649,0,394,407177,96544,101816,322889,138688,145391,160269,51,0,1
0,375649,0,8,407177,96544,101816,322889,138688,145391,160269,51,0,1
0,375649,0,-172,407177,96544,101816,322889,138688,145391,160269,51,0,1
0,375649,0,-2003,407177,96544,101816,322889,138688,145391,160269,51,0,1
0,507110,0,505,101366,38034,392601,114563,354132,129314,130926,51,0,1
0,507110,0,2047,101366,38034,392601,114563,354132,129314,130926,51,0,1
0,507110,0,1955,101366,38034,392601,114563,354132,129314,130926,51,0,1
0,507110,0,-2048,101366,38034,392601,114563,354132,129314,130926,51,0,1
0,507110,0,-1041,101366,38034,392601,114563,354132,129314,130926,51,0,1
0,507110,0,-1877,101366,38034,392601,114563,354132,129314,130926,51,0,1
0,507110,0,825,101366,38034,392601,114563,354132,129314,130926,51,0,1
0,507110,0,2047,101366,38034,392601,114563,354132,129314,130926,51,0,1
0,507110,0,-1873,101366,38034,392601,114563,354132,129314,130926,51,0,1
0,507110,0,-440,101366,38034,392601,114563,354132,129314,130926,51,0,1
0,743453,0,87,434292,174667,309337,135785,256895,122725,66764,51,0,1
0,743453,0,2047,434292,174667,309337,135785,256895,122725,66764,51,0,1
0,743453,0,851,434292,174667,309337,135785,256895,122725,66764,51,0,1
0,743453,0,-293,434292,174667,309337,135785,256895,122725,66764,51,0,1
0,743453,0,73,434292,174667,309337,135785,256895,122725,66764,51,0,1
0,743453,0,421,434292,174667,309337,135785,256895,122725,66764,51,0,1
0,743453,0,-1217,434292,174667,309337,135785,256895,122725,66764,51,0,1
0,743453,0,2047,434292,174667,309337,135785,256895,122725,66764,51,0,1
0,743453,0,1161,434292,174667,309337,135785,256895,122725,66764,51,0,1
0,743453,0,-2048,434292,174667,309337,135785,256895,122725,66764,51,0,1
0,503076,0,1490,1067902,642522,356683,206439,246313,439957,215619,51,0,1
0,503076,0,516,1067902,642522,356683,206439,246313,439957,215619,51,0,1
0,503076,0,1857,1067902,642522,356683,206439,246313,439957,215619,51,0,1
0,503076,0,-2048,1067902,642522,356683,206439,246313,439957,215619,51,0,1
0,503076,0,2047,1067902,642522,356683,206439,246313,439957,215619,51,0,1
0,503076,0,-114,1067902,642522,356683,206439,246313,439957,215619,51,0,1
0,503076,0,-635,1067902,642522,356683,206439,246313,439957,215619,51,0,1
0,503076,0,-2048,1067902,642522,356683,206439,246313,439957,215619,51,0,1
0,503076,0,2047,1067902,642522,356683,206439,246313,439957,215619,51,0,1
0,503076,0,-2048,1067902,642522,356683,206439,246313,439957,215619,51,0,1
0,855525,0,-305,718628,18390,377872,354506,91659,115558,94308,51,0,1
0,855525,0,-857,718628,18390,377872,354506,91659,115558,94308,51,0,1
0,855525,0,2047,718628,18390,377872,354506,91659,115558,94308,51,0,1
0,855525,0,-375,718628,18390,377872,354506,91659,115558,94308,51,0,1
0,855525,0,2047,718628,18390,377872,354506,91659,115558,94308,51,0,1
0,855525,0,499,718628,18390,377872,354506,91659,115558,94308,51,0,1
0,855525,0,1475,718628,18390,377872,354506,91659,115558,94308,51,0,1
0,855525,0,-2048,718628,18390,377872,354506,91659,115558,94308,51,0,1
0,855525,0,680,718628,18390,377872,354506,91659,115558,94308,51,0,1
0,855525,0,1413,718628,18390,377872,354506,91659,115558,94308,51,0,1
0,2046147,0,1317,1613180,740373,808076,1256646,1001588,250747,149215,51,0,1
0,2046147,0,873,1613180,740373,808076,1256646,1001588,250747,149215,51,0,1
0,2046147,0,1642,1613180,740373,808076,1256646,1001588,250747,149215,51,0,1
0,2046147,0,1989,1613180,740373,808076,1256646,1001588,250747,149215,51,0,1
0,2046147,0,1698,1613180,740373,808076,1256646,1001588,250747,149215,51,0,1
0,2046147,0,305,1613180,740373,808076,1256646,1001588,250747,149215,51,0,1
0,2046147,0,674,1613180,740373,808076,1256646,1001588,250747,149215,51,0,1
0,2046147,0,521,1613180,740373,808076,1256646,1001588,250747,149215,51,0,1
0,2046147,0,-265,1613180,740373,808076,1256646,1001588,250747,149215,51,0,1
0,2046147,0,405,1613180,740373,808076,1256646,1001588,250747,149215,51,0,1
0,1313646,0,-2048,1921153,146733,1505604,1071838,728069,855250,507136,51,0,1
0,1313646,0,828,1921153,146733,1505604,1071838,728069,855250,507136,51,0,1
0,1313646,0,2047,1921153,146733,1505604,1071838,728069,855250,507136,51,0,1
0,1313646,0,753,1921153,146733,1505604,1071838,728069,855250,507136,51,0,1
0,1313646,0,-2048,1921153,146733,1505604,1071838,728069,855250,507136,51,0,1
0,1313646,0,723,1921153,146733,1505604,1071838,728069,855250,507136,51,0,1
0,1313646,0,-2048,1921153,146733,1505604,1071838,728069,855250,507136,51,0,1
0,1313646,0,922,1921153,146733,1505604,1071838,728069,855250,507136,51,0,1
0,1313646,0,-808,1921153,146733,1505604,1071838,728069,855250,507136,51,0,1
0,1313646,0,-2048,1921153,146733,1505604,1071838,728069,855250,507136,51,0,1
0,776196,0,-1786,600303,89343,160387,255192,221390,104604,75729,51,0,1
0,776196,0,-1892,600303,89343,160387,255192,221390,104604,75729,51,0,1
0,776196,0,-1116,600303,89343,160387,255192,221390,104604,75729,51,0,1
0,776196,0,2047,600303,89343,160387,255192,221390,104604,75729,51,0,1
0,776196,0,59,600303,89343,160387,255192,221390,104604,75729,51,0,1
0,776196,0,825,600303,89343,160387,255192,221390,104604,75729,51,0,1
0,776196,0,-1090,600303,89343,160387,255192,221390,104604,75729,51,0,1
0,776196,0,-129,600303,89343,160387,255192,221390,104604,75729,51,0,1
0,776196,0,9,600303,89343,160387,255192,221390,104604,75729,51,0,1
0,776196,0,2047,600303,89343,160387,255192,221390,104604,75729,51,0,1
0,749954,0,-1700,147308,108331,48664,134987,240758,176130,86956,51,0,1
0,749954,0,1874,147308,108331,48664,134987,240758,176130,86956,51,0,1
0,749954,0,-2048,147308,108331,48664,134987,240758,176130,86956,51,0,1
0,749954,0,-1914,147308,108331,48664,134987,240758,176130,86956,51,0,1
0,749954,0,2047,147308,108331,48664,134987,240758,176130,86956,51,0,1
0,749954,0,907,147308,108331,48664,134987,240758,176130,86956,51,0,1
0,749954,0,137,147308,108331,48664,134987,240758,176130,86956,51,0,1
0,749954,0,-2048,147308,108331,48664,134987,240758,176130,86956,51,0,1
0,749954,0,-1582,147308,108331,48664,134987,240758,176130,86956,51,0,1
0,1643874,0,-81,957999,754016,418219,989429,603440,220198,611249,51,0,1
0,1643874,0,436,957999,754016,418219,989429,603440,220198,611249,51,0,1
0,1643874,0,-1388,957999,754016,418219,989429,603440,220198,611249,51,0,1
0,1643874,0,-1592,957999,754016,418219,989429,603440,220198,611249,51,0,1
0,1643874,0,867,957999,754016,418219,989429,603440,220198,611249,51,0,1
0,1643874,0,213,957999,754016,418219,989429,603440,220198,611249,51,0,1
0,1643874,0,185,957999,754016,418219,989429,603440,220198,611249,51,0,1
0,1643874,0,1849,957999,754016,418219,989429,603440,220198,611249,51,0,1
0,1643874,0,-2048,957999,754016,418219,989429,603440,220198,611249,51,0,1
0,1643874,0,-2048,957999,754016,418219,989429,603440,220198,611249,51,0,1
0,135325,0,-2048,42212,44478,38916,54743,45282,33491,34767,51,0,1
0,135325,0,1825,42212,44478,38916,54743,45282,33491,34767,51,0,1
0,135325,0,451,42212,44478,38916,54743,45282,33491,34767,51,0,1
0,135325,0,2047,42212,44478,38916,54743,45282,33491,34767,51,0,1
0,135325,0,529,42212,44478,38916,54743,45282,33491,34767,51,0,1
0,135325,0,2047,42212,44478,38916,54743,45282,33491,34767,51,0,1
0,135325,0,-1701,42212,44478,38916,54743,45282,33491,34767,51,0,1
0,135325,0,2047,42212,44478,38916,54743,45282,33491,34767,51,0,1
0,135325,0,410,42212,44478,38916,54743,45282,33491,34767,51,0,1
0,135325,0,-1993,42212,44478,38916,54743,45282,33491,34767,51,0,1
0,135325,0,-869,42212,44478,38916,54743,45282,33491,34767,51,0,1
0,246461,0,-1889,119780,96152,34553,43593,24071,27801,37693,51,0,1
0,246461,0,1820,119780,96152,34553,43593,24071,27801,37693,51,0,1
0,246461,0,448,119780,96152,34553,43593,24071,27801,37693,51,0,1
0,246461,0,487,119780,96152,34553,43593,24071,27801,37693,51,0,1
0,246461,0,115,119780,96152,34553,43593,24071,27801,37693,51,0,1
0,246461,0,-2048,119780,96152,34553,43593,24071,27801,37693,51,0,1
0,246461,0,-684,119780,96152,34553,43593,24071,27801,37693,51,0,1
0,246461,0,-1859,119780,96152,34553,43593,24071,27801,37693,51,0,1
0,246461,0,458,119780,96152,34553,43593,24071,27801,37693,51,0,1
0,864933,0,1301,335042,384473,184497,188735,104933,59265,80207,51,0,1
0,864933,0,-1560,335042,384473,184497,188735,104933,59265,80207,51,0,1
0,864933,0,1929,335042,384473,184497,188735,104933,59265,80207,51,0,1
0,864933,0,845,335042,384473,184497,188735,104933,59265,80207,51,0,1
0,864933,0,-151,335042,384473,184497,188735,104933,59265,80207,51,0,1
0,864933,0,569,335042,384473,184497,188735,104933,59265,80207,51,0,1
0,864933,0,2047,335042,384473,184497,188735,104933,59265,80207,51,0,1
0,864933,0,-1683,335042,384473,184497,188735,104933,59265,80207,51,0,1
0,864933,0,1643,335042,384473,184497,188735,104933,59265,80207,51,0,1
