attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,114483,0,-2048,112073,55008,47849,38866,20651,35159,6821,51,0,2
0,114483,0,-213,112073,55008,47849,38866,20651,35159,6821,51,0,2
0,114483,0,-1309,112073,55008,47849,38866,20651,35159,6821,51,0,2
0,114483,0,-163,112073,55008,47849,38866,20651,35159,6821,51,0,2
0,114483,0,16,112073,55008,47849,38866,20651,35159,6821,51,0,2
0,114483,0,2047,112073,55008,47849,38866,20651,35159,6821,51,0,2
0,423600,0,-675,134828,40918,82119,28264,104385,49149,71039,80,0,2
0,423600,0,-2048,134828,40918,82119,28264,104385,49149,71039,80,0,2
0,423600,0,1397,134828,40918,82119,28264,104385,49149,71039,80,0,2
0,423600,0,-2048,134828,40918,82119,28264,104385,49149,71039,80,0,2
0,423600,0,688,134828,40918,82119,28264,104385,49149,71039,80,0,2
0,423600,0,-1916,134828,40918,82119,28264,104385,49149,71039,80,0,2
0,423600,0,2047,134828,40918,82119,28264,104385,49149,71039,80,0,2
0,423600,0,210,134828,40918,82119,28264,104385,49149,71039,80,0,2
0,423600,0,-969,134828,40918,82119,28264,104385,49149,71039,80,0,2
0,423600,0,2047,134828,40918,82119,28264,104385,49149,71039,80,0,2
0,750844,0,1754,899363,55016,116036,215405,154871,105221,121406,80,0,2
0,750844,0,2047,899363,55016,116036,215405,154871,105221,121406,80,0,2
0,750844,0,585,899363,55016,116036,215405,154871,105221,121406,80,0,2
0,750844,0,1027,899363,55016,116036,215405,154871,105221,121406,80,0,2
0,750844,0,433,899363,55016,116036,215405,154871,105221,121406,80,0,2
0,750844,0,-2048,899363,55016,116036,215405,154871,105221,121406,80,0,2
0,750844,0,2047,899363,55016,116036,215405,154871,105221,121406,80,0,2
0,750844,0,-2048,899363,55016,116036,215405,154871,105221,121406,80,0,2
0,750844,0,2047,899363,55016,116036,215405,154871,105221,121406,80,0,2
0,750844,0,680,899363,55016,116036,215405,154871,105221,121406,80,0,2
0,517001,0,124,41767,27801,7913,57933,72535,30828,13449,80,0,2
0,517001,0,-2048,41767,27801,7913,57933,72535,30828,13449,80,0,2
0,517001,0,2047,41767,27801,7913,57933,72535,30828,13449,80,0,2
