,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,802210,0,2047,438797,132443,178094,294003,194134,92219,95173,200,0,2
81,0,802210,0,2047,438797,132443,178094,294003,194134,92219,95173,200,0,2
82,0,802210,0,-930,438797,132443,178094,294003,194134,92219,95173,200,0,2
83,0,802210,0,-1577,438797,132443,178094,294003,194134,92219,95173,200,0,2
84,0,802210,0,794,438797,132443,178094,294003,194134,92219,95173,200,0,2
85,0,802210,0,-2048,438797,132443,178094,294003,194134,92219,95173,200,0,2
86,0,594043,0,1521,494760,540326,83359,86323,136948,97804,105326,200,0,2
87,0,594043,0,-2048,494760,540326,83359,86323,136948,97804,105326,200,0,2
88,0,594043,0,-892,494760,540326,83359,86323,136948,97804,105326,200,0,2
89,0,594043,0,517,494760,540326,83359,86323,136948,97804,105326,200,0,2
90,0,594043,0,-1052,494760,540326,83359,86323,136948,97804,105326,200,0,2
91,0,594043,0,-1773,494760,540326,83359,86323,136948,97804,105326,200,0,2
92,0,594043,0,-2048,494760,540326,83359,86323,136948,97804,105326,200,0,2
93,0,594043,0,-429,494760,540326,83359,86323,136948,97804,105326,200,0,2
94,0,594043,0,-2048,494760,540326,83359,86323,136948,97804,105326,200,0,2
95,0,594043,0,2047,494760,540326,83359,86323,136948,97804,105326,200,0,2
96,0,936097,0,392,130429,192375,82609,104408,132269,109469,136501,200,0,2
97,0,936097,0,100,130429,192375,82609,104408,132269,109469,136501,200,0,2
98,0,936097,0,205,130429,192375,82609,104408,132269,109469,136501,200,0,2
99,0,936097,0,-1796,130429,192375,82609,104408,132269,109469,136501,200,0,2
100,0,936097,0,-892,130429,192375,82609,104408,132269,109469,136501,200,0,2
101,0,936097,0,-119,130429,192375,82609,104408,132269,109469,136501,200,0,2
102,0,936097,0,1753,130429,192375,82609,104408,132269,109469,136501,200,0,2
103,0,936097,0,-1814,130429,192375,82609,104408,132269,109469,136501,200,0,2
104,0,936097,0,2047,130429,192375,82609,104408,132269,109469,136501,200,0,2
105,0,936097,0,-2048,130429,192375,82609,104408,132269,109469,136501,200,0,2
106,0,953145,0,-470,230749,388639,101708,169450,90403,56034,134729,200,0,2
107,0,953145,0,2047,230749,388639,101708,169450,90403,56034,134729,200,0,2
108,0,953145,0,-1858,230749,388639,101708,169450,90403,56034,134729,200,0,2
109,0,953145,0,-2048,230749,388639,101708,169450,90403,56034,134729,200,0,2
110,0,953145,0,-1479,230749,388639,101708,169450,90403,56034,134729,200,0,2
111,0,953145,0,1059,230749,388639,101708,169450,90403,56034,134729,200,0,2
112,0,953145,0,202,230749,388639,101708,169450,90403,56034,134729,200,0,2
113,0,953145,0,70,230749,388639,101708,169450,90403,56034,134729,200,0,2
114,0,953145,0,56,230749,388639,101708,169450,90403,56034,134729,200,0,2
115,0,953145,0,-2048,230749,388639,101708,169450,90403,56034,134729,200,0,2
116,0,412134,0,-902,93476,105008,124970,116015,161698,53253,55885,200,0,2
117,0,412134,0,-97,93476,105008,124970,116015,161698,53253,55885,200,0,2
118,0,412134,0,-44,93476,105008,124970,116015,161698,53253,55885,200,0,2
119,0,412134,0,135,93476,105008,124970,116015,161698,53253,55885,200,0,2
120,0,412134,0,-7,93476,105008,124970,116015,161698,53253,55885,200,0,2
121,0,412134,0,-1204,93476,105008,124970,116015,161698,53253,55885,200,0,2
122,0,412134,0,1191,93476,105008,124970,116015,161698,53253,55885,200,0,2
123,0,412134,0,538,93476,105008,124970,116015,161698,53253,55885,200,0,2
124,0,412134,0,-2048,93476,105008,124970,116015,161698,53253,55885,200,0,2
125,0,412134,0,-1693,93476,105008,124970,116015,161698,53253,55885,200,0,2
126,0,1371811,0,-578,162740,115411,64516,133842,93299,252951,53453,200,0,2
127,0,1371811,0,-180,162740,115411,64516,133842,93299,252951,53453,200,0,2
128,0,1371811,0,1699,162740,115411,64516,133842,93299,252951,53453,200,0,2
129,0,1371811,0,276,162740,115411,64516,133842,93299,252951,53453,200,0,2
130,0,1371811,0,85,162740,115411,64516,133842,93299,252951,53453,200,0,2
131,0,1371811,0,81,162740,115411,64516,133842,93299,252951,53453,200,0,2
132,0,1371811,0,-2048,162740,115411,64516,133842,93299,252951,53453,200,0,2
133,0,1371811,0,-1437,162740,115411,64516,133842,93299,252951,53453,200,0,2
