attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,-266,0,0,0,0,0,0,0,0,0,1
0,0,0,2047,0,0,0,0,0,0,0,0,0,1
0,666242,0,1528,306963,494550,490866,177439,369924,198211,343975,51,0,1
0,666242,0,2047,306963,494550,490866,177439,369924,198211,343975,51,0,1
0,666242,0,-589,306963,494550,490866,177439,369924,198211,343975,51,0,1
0,666242,0,-419,306963,494550,490866,177439,369924,198211,343975,51,0,1
0,666242,0,1418,306963,494550,490866,177439,369924,198211,343975,51,0,1
0,666242,0,361,306963,494550,490866,177439,369924,198211,343975,51,0,1
0,666242,0,420,306963,494550,490866,177439,369924,198211,343975,51,0,1
0,666242,0,104,306963,494550,490866,177439,369924,198211,343975,51,0,1
0,666242,0,619,306963,494550,490866,177439,369924,198211,343975,51,0,1
0,666242,0,-1862,306963,494550,490866,177439,369924,198211,343975,51,0,1
0,548584,0,710,249796,168913,89333,65779,230281,104724,45124,51,0,1
0,548584,0,409,249796,168913,89333,65779,230281,104724,45124,51,0,1
0,548584,0,102,249796,168913,89333,65779,230281,104724,45124,51,0,1
0,548584,0,52,249796,168913,89333,65779,230281,104724,45124,51,0,1
0,548584,0,51,249796,168913,89333,65779,230281,104724,45124,51,0,1
0,548584,0,-2048,249796,168913,89333,65779,230281,104724,45124,51,0,1
0,548584,0,2047,249796,168913,89333,65779,230281,104724,45124,51,0,1
0,548584,0,-2048,249796,168913,89333,65779,230281,104724,45124,51,0,1
0,548584,0,2047,249796,168913,89333,65779,230281,104724,45124,51,0,1
0,548584,0,1861,249796,168913,89333,65779,230281,104724,45124,51,0,1
0,1359728,0,675,2293237,617997,200744,353382,397405,255786,184299,51,0,1
0,1359728,0,741,2293237,617997,200744,353382,397405,255786,184299,51,0,1
0,1359728,0,-2048,2293237,617997,200744,353382,397405,255786,184299,51,0,1
0,1359728,0,1145,2293237,617997,200744,353382,397405,255786,184299,51,0,1
0,1359728,0,1041,2293237,617997,200744,353382,397405,255786,184299,51,0,1
0,1359728,0,-441,2293237,617997,200744,353382,397405,255786,184299,51,0,1
0,1359728,0,324,2293237,617997,200744,353382,397405,255786,184299,51,0,1
0,1359728,0,2047,2293237,617997,200744,353382,397405,255786,184299,51,0,1
0,1359728,0,633,2293237,617997,200744,353382,397405,255786,184299,51,0,1
0,1359728,0,-2048,2293237,617997,200744,353382,397405,255786,184299,51,0,1
0,1312513,0,-477,296680,193086,83186,231955,92792,36268,46224,51,0,1
0,1312513,0,-37,296680,193086,83186,231955,92792,36268,46224,51,0,1
0,1312513,0,1611,296680,193086,83186,231955,92792,36268,46224,51,0,1
0,1312513,0,289,296680,193086,83186,231955,92792,36268,46224,51,0,1
0,1312513,0,1910,296680,193086,83186,231955,92792,36268,46224,51,0,1
