,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,1222597,0,933,797490,84223,65145,63359,48994,82264,44882,80,0,1
81,0,1222597,0,194,797490,84223,65145,63359,48994,82264,44882,80,0,1
82,0,1222597,0,-1645,797490,84223,65145,63359,48994,82264,44882,80,0,1
83,0,1222597,0,2047,797490,84223,65145,63359,48994,82264,44882,80,0,1
84,0,1222597,0,1155,797490,84223,65145,63359,48994,82264,44882,80,0,1
85,0,1222597,0,102,797490,84223,65145,63359,48994,82264,44882,80,0,1
86,0,1222597,0,54,797490,84223,65145,63359,48994,82264,44882,80,0,1
87,0,1222597,0,-2048,797490,84223,65145,63359,48994,82264,44882,80,0,1
88,0,2940628,0,-1148,1169406,159385,49836,386636,511791,457975,302463,80,0,1
89,0,2940628,0,1689,1169406,159385,49836,386636,511791,457975,302463,80,0,1
90,0,2940628,0,-2048,1169406,159385,49836,386636,511791,457975,302463,80,0,1
91,0,2940628,0,-1499,1169406,159385,49836,386636,511791,457975,302463,80,0,1
92,0,2940628,0,780,1169406,159385,49836,386636,511791,457975,302463,80,0,1
93,0,2940628,0,-1549,1169406,159385,49836,386636,511791,457975,302463,80,0,1
94,0,2940628,0,2047,1169406,159385,49836,386636,511791,457975,302463,80,0,1
95,0,2940628,0,-668,1169406,159385,49836,386636,511791,457975,302463,80,0,1
96,0,2940628,0,-2048,1169406,159385,49836,386636,511791,457975,302463,80,0,1
97,0,2940628,0,-2048,1169406,159385,49836,386636,511791,457975,302463,80,0,1
98,0,2940628,0,2047,1169406,159385,49836,386636,511791,457975,302463,80,0,1
99,0,561622,0,-1656,380656,214005,43326,55622,325958,645980,249595,80,0,1
100,0,561622,0,826,380656,214005,43326,55622,325958,645980,249595,80,0,1
101,0,561622,0,132,380656,214005,43326,55622,325958,645980,249595,80,0,1
102,0,561622,0,-386,380656,214005,43326,55622,325958,645980,249595,80,0,1
103,0,561622,0,-2048,380656,214005,43326,55622,325958,645980,249595,80,0,1
104,0,561622,0,-1500,380656,214005,43326,55622,325958,645980,249595,80,0,1
105,0,561622,0,-500,380656,214005,43326,55622,325958,645980,249595,80,0,1
106,0,561622,0,-40,380656,214005,43326,55622,325958,645980,249595,80,0,1
107,0,561622,0,35,380656,214005,43326,55622,325958,645980,249595,80,0,1
108,0,561622,0,2047,380656,214005,43326,55622,325958,645980,249595,80,0,1
109,0,845420,0,-1077,219819,224217,189788,136996,103001,85761,71478,80,0,1
110,0,845420,0,874,219819,224217,189788,136996,103001,85761,71478,80,0,1
111,0,845420,0,-1226,219819,224217,189788,136996,103001,85761,71478,80,0,1
112,0,845420,0,2047,219819,224217,189788,136996,103001,85761,71478,80,0,1
113,0,845420,0,-520,219819,224217,189788,136996,103001,85761,71478,80,0,1
114,0,845420,0,2047,219819,224217,189788,136996,103001,85761,71478,80,0,1
115,0,845420,0,1144,219819,224217,189788,136996,103001,85761,71478,80,0,1
116,0,845420,0,657,219819,224217,189788,136996,103001,85761,71478,80,0,1
117,0,845420,0,2047,219819,224217,189788,136996,103001,85761,71478,80,0,1
118,0,487845,0,1162,257002,563097,128504,55969,211105,125239,113473,80,0,1
119,0,487845,0,-2048,257002,563097,128504,55969,211105,125239,113473,80,0,1
120,0,487845,0,666,257002,563097,128504,55969,211105,125239,113473,80,0,1
121,0,487845,0,-123,257002,563097,128504,55969,211105,125239,113473,80,0,1
122,0,487845,0,-2048,257002,563097,128504,55969,211105,125239,113473,80,0,1
123,0,487845,0,2047,257002,563097,128504,55969,211105,125239,113473,80,0,1
124,0,487845,0,741,257002,563097,128504,55969,211105,125239,113473,80,0,1
125,0,487845,0,-2048,257002,563097,128504,55969,211105,125239,113473,80,0,1
126,0,487845,0,945,257002,563097,128504,55969,211105,125239,113473,80,0,1
127,0,487845,0,2005,257002,563097,128504,55969,211105,125239,113473,80,0,1
128,0,296829,0,-1633,109919,7565,37508,47763,37655,20142,23491,80,0,1
129,0,296829,0,2047,109919,7565,37508,47763,37655,20142,23491,80,0,1
130,0,296829,0,-1465,109919,7565,37508,47763,37655,20142,23491,80,0,1
131,0,296829,0,1958,109919,7565,37508,47763,37655,20142,23491,80,0,1
132,0,296829,0,1314,109919,7565,37508,47763,37655,20142,23491,80,0,1
133,0,296829,0,-2048,109919,7565,37508,47763,37655,20142,23491,80,0,1
134,0,296829,0,1072,109919,7565,37508,47763,37655,20142,23491,80,0,1
135,0,296829,0,1451,109919,7565,37508,47763,37655,20142,23491,80,0,1
136,0,296829,0,-568,109919,7565,37508,47763,37655,20142,23491,80,0,1
137,0,296829,0,-2048,109919,7565,37508,47763,37655,20142,23491,80,0,1
138,0,147113,0,1208,101670,20266,16801,58442,48920,47481,27463,80,0,1
139,0,147113,0,-1357,101670,20266,16801,58442,48920,47481,27463,80,0,1
140,0,147113,0,-338,101670,20266,16801,58442,48920,47481,27463,80,0,1
141,0,147113,0,-1811,101670,20266,16801,58442,48920,47481,27463,80,0,1
142,0,147113,0,1129,101670,20266,16801,58442,48920,47481,27463,80,0,1
143,0,147113,0,1239,101670,20266,16801,58442,48920,47481,27463,80,0,1
144,0,147113,0,-1844,101670,20266,16801,58442,48920,47481,27463,80,0,1
145,0,147113,0,1172,101670,20266,16801,58442,48920,47481,27463,80,0,1
146,0,147113,0,220,101670,20266,16801,58442,48920,47481,27463,80,0,1
147,0,147113,0,68,101670,20266,16801,58442,48920,47481,27463,80,0,1
148,0,719972,0,19,127106,24389,10798,61762,95531,135805,45641,200,0,1
149,0,719972,0,624,127106,24389,10798,61762,95531,135805,45641,200,0,1
150,0,719972,0,-625,127106,24389,10798,61762,95531,135805,45641,200,0,1
151,0,719972,0,-1035,127106,24389,10798,61762,95531,135805,45641,200,0,1
152,0,719972,0,-184,127106,24389,10798,61762,95531,135805,45641,200,0,1
153,0,719972,0,1733,127106,24389,10798,61762,95531,135805,45641,200,0,1
154,0,719972,0,308,127106,24389,10798,61762,95531,135805,45641,200,0,1
155,0,719972,0,-2048,127106,24389,10798,61762,95531,135805,45641,200,0,1
156,0,719972,0,-2048,127106,24389,10798,61762,95531,135805,45641,200,0,1
157,0,719972,0,-402,127106,24389,10798,61762,95531,135805,45641,200,0,1
158,0,1428186,0,2047,940223,88198,928023,425951,318845,130619,146539,80,0,1
159,0,1428186,0,2047,940223,88198,928023,425951,318845,130619,146539,80,0,1
160,0,1428186,0,1985,940223,88198,928023,425951,318845,130619,146539,80,0,1
161,0,1428186,0,2047,940223,88198,928023,425951,318845,130619,146539,80,0,1
162,0,1428186,0,489,940223,88198,928023,425951,318845,130619,146539,80,0,1
163,0,1428186,0,-2048,940223,88198,928023,425951,318845,130619,146539,80,0,1
164,0,1428186,0,-524,940223,88198,928023,425951,318845,130619,146539,80,0,1
165,0,1428186,0,2047,940223,88198,928023,425951,318845,130619,146539,80,0,1
166,0,1428186,0,548,940223,88198,928023,425951,318845,130619,146539,80,0,1
167,0,1428186,0,123,940223,88198,928023,425951,318845,130619,146539,80,0,1
168,0,925981,0,274,37580,50480,209077,91791,196660,133333,67386,80,0,1
169,0,925981,0,226,37580,50480,209077,91791,196660,133333,67386,80,0,1
170,0,925981,0,1910,37580,50480,209077,91791,196660,133333,67386,80,0,1
171,0,925981,0,-489,37580,50480,209077,91791,196660,133333,67386,80,0,1
