attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,44,0,0,0,0,0,0,0,0,0,2
0,0,0,8,0,0,0,0,0,0,0,0,0,2
0,0,0,38,0,0,0,0,0,0,0,0,0,2
0,0,0,-441,0,0,0,0,0,0,0,0,0,2
0,0,0,-5,0,0,0,0,0,0,0,0,0,2
0,0,0,-182,0,0,0,0,0,0,0,0,0,2
0,1692172,0,4,954089,571995,301741,1200539,1438359,1368094,681577,51,0,2
0,1692172,0,2047,954089,571995,301741,1200539,1438359,1368094,681577,51,0,2
0,1692172,0,-1129,954089,571995,301741,1200539,1438359,1368094,681577,51,0,2
0,1692172,0,-1715,954089,571995,301741,1200539,1438359,1368094,681577,51,0,2
0,1692172,0,2047,954089,571995,301741,1200539,1438359,1368094,681577,51,0,2
0,1692172,0,2047,954089,571995,301741,1200539,1438359,1368094,681577,51,0,2
0,1692172,0,-206,954089,571995,301741,1200539,1438359,1368094,681577,51,0,2
0,1692172,0,0,954089,571995,301741,1200539,1438359,1368094,681577,51,0,2
0,1692172,0,41,954089,571995,301741,1200539,1438359,1368094,681577,51,0,2
0,1692172,0,-275,954089,571995,301741,1200539,1438359,1368094,681577,51,0,2
0,145600,0,-2048,152037,18055,15182,69982,95568,70025,34668,51,0,2
0,145600,0,-49,152037,18055,15182,69982,95568,70025,34668,51,0,2
0,145600,0,-690,152037,18055,15182,69982,95568,70025,34668,51,0,2
0,145600,0,1688,152037,18055,15182,69982,95568,70025,34668,51,0,2
0,145600,0,-2048,152037,18055,15182,69982,95568,70025,34668,51,0,2
0,145600,0,-402,152037,18055,15182,69982,95568,70025,34668,51,0,2
0,145600,0,-957,152037,18055,15182,69982,95568,70025,34668,51,0,2
0,145600,0,1410,152037,18055,15182,69982,95568,70025,34668,51,0,2
0,145600,0,896,152037,18055,15182,69982,95568,70025,34668,51,0,2
0,145600,0,2047,152037,18055,15182,69982,95568,70025,34668,51,0,2
0,866064,0,1825,107155,52235,32380,131025,173367,47337,48405,51,0,2
0,866064,0,2047,107155,52235,32380,131025,173367,47337,48405,51,0,2
0,866064,0,-642,107155,52235,32380,131025,173367,47337,48405,51,0,2
0,866064,0,-2007,107155,52235,32380,131025,173367,47337,48405,51,0,2
0,866064,0,2047,107155,52235,32380,131025,173367,47337,48405,51,0,2
0,866064,0,659,107155,52235,32380,131025,173367,47337,48405,51,0,2
0,866064,0,-2048,107155,52235,32380,131025,173367,47337,48405,51,0,2
0,866064,0,565,107155,52235,32380,131025,173367,47337,48405,51,0,2
0,866064,0,-2048,107155,52235,32380,131025,173367,47337,48405,51,0,2
0,866064,0,-2048,107155,52235,32380,131025,173367,47337,48405,51,0,2
0,2233744,0,-2048,226229,143848,25454,104756,163982,106692,95450,51,0,2
0,2233744,0,-2048,226229,143848,25454,104756,163982,106692,95450,51,0,2
0,2233744,0,1636,226229,143848,25454,104756,163982,106692,95450,51,0,2
0,2233744,0,1558,226229,143848,25454,104756,163982,106692,95450,51,0,2
0,2233744,0,1017,226229,143848,25454,104756,163982,106692,95450,51,0,2
0,2233744,0,194,226229,143848,25454,104756,163982,106692,95450,51,0,2
0,2233744,0,-475,226229,143848,25454,104756,163982,106692,95450,51,0,2
0,2233744,0,1209,226229,143848,25454,104756,163982,106692,95450,51,0,2
0,2233744,0,1568,226229,143848,25454,104756,163982,106692,95450,51,0,2
0,2233744,0,-2048,226229,143848,25454,104756,163982,106692,95450,51,0,2
0,163257,0,-413,35266,7808,17847,30829,46293,41675,51920,51,0,2
0,163257,0,1779,35266,7808,17847,30829,46293,41675,51920,51,0,2
0,163257,0,-2048,35266,7808,17847,30829,46293,41675,51920,51,0,2
0,163257,0,2047,35266,7808,17847,30829,46293,41675,51920,51,0,2
0,163257,0,1105,35266,7808,17847,30829,46293,41675,51920,51,0,2
0,163257,0,-2048,35266,7808,17847,30829,46293,41675,51920,51,0,2
0,163257,0,595,35266,7808,17847,30829,46293,41675,51920,51,0,2
0,163257,0,128,35266,7808,17847,30829,46293,41675,51920,51,0,2
0,163257,0,57,35266,7808,17847,30829,46293,41675,51920,51,0,2
0,163257,0,45,35266,7808,17847,30829,46293,41675,51920,51,0,2
0,1821050,0,-2048,94230,135057,49997,142225,76715,39727,36331,51,0,2
0,1821050,0,2047,94230,135057,49997,142225,76715,39727,36331,51,0,2
0,1821050,0,2047,94230,135057,49997,142225,76715,39727,36331,51,0,2
0,1821050,0,-1992,94230,135057,49997,142225,76715,39727,36331,51,0,2
0,1821050,0,-582,94230,135057,49997,142225,76715,39727,36331,51,0,2
0,1821050,0,2047,94230,135057,49997,142225,76715,39727,36331,51,0,2
0,1821050,0,2047,94230,135057,49997,142225,76715,39727,36331,51,0,2
0,1821050,0,-2048,94230,135057,49997,142225,76715,39727,36331,51,0,2
0,1821050,0,1043,94230,135057,49997,142225,76715,39727,36331,51,0,2
0,1821050,0,993,94230,135057,49997,142225,76715,39727,36331,51,0,2
