,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,585273,0,723,455027,303370,145690,144218,134747,166422,49646,51,0,2
81,0,59575,0,-2048,25069,68132,52655,53279,66278,21713,22941,51,0,2
82,0,59575,0,-2048,25069,68132,52655,53279,66278,21713,22941,51,0,2
83,0,59575,0,1585,25069,68132,52655,53279,66278,21713,22941,51,0,2
84,0,59575,0,1026,25069,68132,52655,53279,66278,21713,22941,51,0,2
85,0,59575,0,196,25069,68132,52655,53279,66278,21713,22941,51,0,2
86,0,59575,0,68,25069,68132,52655,53279,66278,21713,22941,51,0,2
87,0,59575,0,-2048,25069,68132,52655,53279,66278,21713,22941,51,0,2
88,0,59575,0,-1083,25069,68132,52655,53279,66278,21713,22941,51,0,2
89,0,59575,0,-2048,25069,68132,52655,53279,66278,21713,22941,51,0,2
90,0,114539,0,2047,63170,30367,43039,33933,41533,26668,50184,51,0,2
91,0,114539,0,-2048,63170,30367,43039,33933,41533,26668,50184,51,0,2
92,0,114539,0,919,63170,30367,43039,33933,41533,26668,50184,51,0,2
93,0,114539,0,332,63170,30367,43039,33933,41533,26668,50184,51,0,2
94,0,114539,0,506,63170,30367,43039,33933,41533,26668,50184,51,0,2
95,0,114539,0,465,63170,30367,43039,33933,41533,26668,50184,51,0,2
96,0,114539,0,-2048,63170,30367,43039,33933,41533,26668,50184,51,0,2
97,0,114539,0,-2048,63170,30367,43039,33933,41533,26668,50184,51,0,2
98,0,114539,0,-664,63170,30367,43039,33933,41533,26668,50184,51,0,2
99,0,114539,0,-118,63170,30367,43039,33933,41533,26668,50184,51,0,2
100,0,1526985,0,-2048,346591,137321,118801,68432,115411,38733,154048,51,0,2
101,0,1526985,0,2047,346591,137321,118801,68432,115411,38733,154048,51,0,2
102,0,1526985,0,268,346591,137321,118801,68432,115411,38733,154048,51,0,2
103,0,1526985,0,-1574,346591,137321,118801,68432,115411,38733,154048,51,0,2
104,0,1526985,0,-2048,346591,137321,118801,68432,115411,38733,154048,51,0,2
105,0,1526985,0,-473,346591,137321,118801,68432,115411,38733,154048,51,0,2
106,0,1526985,0,1978,346591,137321,118801,68432,115411,38733,154048,51,0,2
107,0,1526985,0,2047,346591,137321,118801,68432,115411,38733,154048,51,0,2
108,0,1526985,0,759,346591,137321,118801,68432,115411,38733,154048,51,0,2
109,0,1526985,0,154,346591,137321,118801,68432,115411,38733,154048,51,0,2
110,0,936599,0,64,32492,16254,28488,7304,20809,19182,5988,51,0,2
111,0,936599,0,-280,32492,16254,28488,7304,20809,19182,5988,51,0,2
112,0,936599,0,573,32492,16254,28488,7304,20809,19182,5988,51,0,2
113,0,936599,0,1756,32492,16254,28488,7304,20809,19182,5988,51,0,2
114,0,936599,0,1715,32492,16254,28488,7304,20809,19182,5988,51,0,2
115,0,936599,0,-2048,32492,16254,28488,7304,20809,19182,5988,51,0,2
116,0,936599,0,-690,32492,16254,28488,7304,20809,19182,5988,51,0,2
