attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,5,0,45,17,4,2,26,17,10,14,25,0,1
0,5,0,45,17,4,2,26,17,10,14,25,0,1
0,5,0,45,17,4,2,26,17,10,14,25,0,1
0,5,0,2047,17,4,2,26,17,10,14,25,0,1
0,5,0,-281,17,4,2,26,17,10,14,25,0,1
0,5,0,-4,17,4,2,26,17,10,14,25,0,1
0,5,0,38,17,4,2,26,17,10,14,25,0,1
0,5,0,-1417,17,4,2,26,17,10,14,25,0,1
0,5,0,-1995,17,4,2,26,17,10,14,25,0,1
0,5,0,-269,17,4,2,26,17,10,14,25,0,1
0,523974,0,-7,600355,18368,154800,183628,175538,56977,213278,80,0,1
0,523974,0,-728,600355,18368,154800,183628,175538,56977,213278,80,0,1
0,523974,0,-965,600355,18368,154800,183628,175538,56977,213278,80,0,1
0,523974,0,-185,600355,18368,154800,183628,175538,56977,213278,80,0,1
0,523974,0,9,600355,18368,154800,183628,175538,56977,213278,80,0,1
0,523974,0,-516,600355,18368,154800,183628,175538,56977,213278,80,0,1
0,523974,0,2047,600355,18368,154800,183628,175538,56977,213278,80,0,1
0,523974,0,2047,600355,18368,154800,183628,175538,56977,213278,80,0,1
0,523974,0,840,600355,18368,154800,183628,175538,56977,213278,80,0,1
0,523974,0,-2048,600355,18368,154800,183628,175538,56977,213278,80,0,1
0,888910,0,2047,276415,132810,64463,76755,173562,53108,72219,80,0,1
0,888910,0,-2048,276415,132810,64463,76755,173562,53108,72219,80,0,1
0,888910,0,-1623,276415,132810,64463,76755,173562,53108,72219,80,0,1
0,888910,0,-212,276415,132810,64463,76755,173562,53108,72219,80,0,1
0,888910,0,2047,276415,132810,64463,76755,173562,53108,72219,80,0,1
0,888910,0,2047,276415,132810,64463,76755,173562,53108,72219,80,0,1
0,888910,0,2047,276415,132810,64463,76755,173562,53108,72219,80,0,1
0,888910,0,525,276415,132810,64463,76755,173562,53108,72219,80,0,1
0,888910,0,119,276415,132810,64463,76755,173562,53108,72219,80,0,1
0,888910,0,56,276415,132810,64463,76755,173562,53108,72219,80,0,1
0,1319196,0,300,145440,56509,110713,79232,241147,106926,63633,80,0,1
0,1319196,0,-1709,145440,56509,110713,79232,241147,106926,63633,80,0,1
0,1319196,0,2047,145440,56509,110713,79232,241147,106926,63633,80,0,1
0,1319196,0,2047,145440,56509,110713,79232,241147,106926,63633,80,0,1
0,1319196,0,2047,145440,56509,110713,79232,241147,106926,63633,80,0,1
0,1319196,0,-1002,145440,56509,110713,79232,241147,106926,63633,80,0,1
0,1319196,0,1626,145440,56509,110713,79232,241147,106926,63633,80,0,1
0,1319196,0,352,145440,56509,110713,79232,241147,106926,63633,80,0,1
0,1319196,0,-2048,145440,56509,110713,79232,241147,106926,63633,80,0,1
0,1319196,0,497,145440,56509,110713,79232,241147,106926,63633,80,0,1
0,127707,0,2047,151079,62954,81728,18467,39722,68097,37151,80,0,1
0,127707,0,1122,151079,62954,81728,18467,39722,68097,37151,80,0,1
