,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,127707,0,-872,151079,62954,81728,18467,39722,68097,37151,80,0,1
81,0,127707,0,-2048,151079,62954,81728,18467,39722,68097,37151,80,0,1
82,0,1122167,0,2047,327960,477494,72446,232393,204145,197677,127651,200,0,1
83,0,1122167,0,1325,327960,477494,72446,232393,204145,197677,127651,200,0,1
84,0,1122167,0,244,327960,477494,72446,232393,204145,197677,127651,200,0,1
85,0,1122167,0,2047,327960,477494,72446,232393,204145,197677,127651,200,0,1
86,0,1122167,0,455,327960,477494,72446,232393,204145,197677,127651,200,0,1
87,0,1122167,0,108,327960,477494,72446,232393,204145,197677,127651,200,0,1
88,0,1122167,0,-1781,327960,477494,72446,232393,204145,197677,127651,200,0,1
89,0,1122167,0,-2048,327960,477494,72446,232393,204145,197677,127651,200,0,1
90,0,1122167,0,-1985,327960,477494,72446,232393,204145,197677,127651,200,0,1
91,0,1122167,0,2047,327960,477494,72446,232393,204145,197677,127651,200,0,1
92,0,776658,0,-1345,76485,2626,5309,32369,34978,8118,6572,200,0,1
93,0,776658,0,-378,76485,2626,5309,32369,34978,8118,6572,200,0,1
94,0,776658,0,1410,76485,2626,5309,32369,34978,8118,6572,200,0,1
95,0,776658,0,1506,76485,2626,5309,32369,34978,8118,6572,200,0,1
96,0,776658,0,272,76485,2626,5309,32369,34978,8118,6572,200,0,1
97,0,776658,0,1208,76485,2626,5309,32369,34978,8118,6572,200,0,1
98,0,776658,0,418,76485,2626,5309,32369,34978,8118,6572,200,0,1
99,0,776658,0,-2048,76485,2626,5309,32369,34978,8118,6572,200,0,1
100,0,776658,0,-475,76485,2626,5309,32369,34978,8118,6572,200,0,1
101,0,776658,0,-1229,76485,2626,5309,32369,34978,8118,6572,200,0,1
102,0,1874669,0,2047,249929,169618,190468,42579,142433,24467,45187,200,0,1
103,0,1874669,0,433,249929,169618,190468,42579,142433,24467,45187,200,0,1
104,0,1874669,0,673,249929,169618,190468,42579,142433,24467,45187,200,0,1
105,0,1874669,0,-2048,249929,169618,190468,42579,142433,24467,45187,200,0,1
106,0,1874669,0,891,249929,169618,190468,42579,142433,24467,45187,200,0,1
107,0,1874669,0,-2048,249929,169618,190468,42579,142433,24467,45187,200,0,1
108,0,1874669,0,2047,249929,169618,190468,42579,142433,24467,45187,200,0,1
109,0,1874669,0,-1212,249929,169618,190468,42579,142433,24467,45187,200,0,1
110,0,1874669,0,2047,249929,169618,190468,42579,142433,24467,45187,200,0,1
111,0,1874669,0,2047,249929,169618,190468,42579,142433,24467,45187,200,0,1
112,0,672692,0,-2048,271643,188176,196304,174466,137609,228917,83457,200,0,1
113,0,672692,0,-1449,271643,188176,196304,174466,137609,228917,83457,200,0,1
114,0,672692,0,2047,271643,188176,196304,174466,137609,228917,83457,200,0,1
115,0,672692,0,-2048,271643,188176,196304,174466,137609,228917,83457,200,0,1
116,0,672692,0,2047,271643,188176,196304,174466,137609,228917,83457,200,0,1
117,0,672692,0,2047,271643,188176,196304,174466,137609,228917,83457,200,0,1
118,0,672692,0,981,271643,188176,196304,174466,137609,228917,83457,200,0,1
119,0,672692,0,883,271643,188176,196304,174466,137609,228917,83457,200,0,1
120,0,672692,0,-1710,271643,188176,196304,174466,137609,228917,83457,200,0,1
121,0,672692,0,852,271643,188176,196304,174466,137609,228917,83457,200,0,1
122,0,812876,0,2047,437155,169989,104199,208961,166714,90693,139657,200,0,1
123,0,812876,0,1558,437155,169989,104199,208961,166714,90693,139657,200,0,1
124,0,812876,0,1385,437155,169989,104199,208961,166714,90693,139657,200,0,1
125,0,812876,0,-2048,437155,169989,104199,208961,166714,90693,139657,200,0,1
126,0,812876,0,-409,437155,169989,104199,208961,166714,90693,139657,200,0,1
127,0,812876,0,-923,437155,169989,104199,208961,166714,90693,139657,200,0,1
128,0,812876,0,-1433,437155,169989,104199,208961,166714,90693,139657,200,0,1
129,0,812876,0,-1829,437155,169989,104199,208961,166714,90693,139657,200,0,1
130,0,812876,0,-2048,437155,169989,104199,208961,166714,90693,139657,200,0,1
131,0,812876,0,-458,437155,169989,104199,208961,166714,90693,139657,200,0,1
132,0,572340,0,2041,321805,93805,51427,259329,113658,56864,194696,200,0,1
133,0,572340,0,960,321805,93805,51427,259329,113658,56864,194696,200,0,1
134,0,572340,0,185,321805,93805,51427,259329,113658,56864,194696,200,0,1
135,0,572340,0,2047,321805,93805,51427,259329,113658,56864,194696,200,0,1
136,0,572340,0,309,321805,93805,51427,259329,113658,56864,194696,200,0,1
137,0,572340,0,2047,321805,93805,51427,259329,113658,56864,194696,200,0,1
138,0,572340,0,269,321805,93805,51427,259329,113658,56864,194696,200,0,1
139,0,572340,0,2047,321805,93805,51427,259329,113658,56864,194696,200,0,1
140,0,572340,0,1714,321805,93805,51427,259329,113658,56864,194696,200,0,1
141,0,572340,0,-1877,321805,93805,51427,259329,113658,56864,194696,200,0,1
