attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,17,0,48,12,2,5,15,13,17,24,54,0,2
0,17,0,48,12,2,5,15,13,17,24,54,0,2
0,17,0,48,12,2,5,15,13,17,24,54,0,2
0,17,0,48,12,2,5,15,13,17,24,54,0,2
0,17,0,48,12,2,5,15,13,17,24,54,0,2
0,17,0,48,12,2,5,15,13,17,24,54,0,2
0,17,0,48,12,2,5,15,13,17,24,54,0,2
0,17,0,48,12,2,5,15,13,17,24,54,0,2
0,17,0,45,12,2,5,15,13,17,24,54,0,2
0,8,0,45,6,10,8,4,12,9,17,54,0,2
0,8,0,45,6,10,8,4,12,9,17,54,0,2
0,8,0,45,6,10,8,4,12,9,17,54,0,2
0,8,0,48,6,10,8,4,12,9,17,54,0,2
0,8,0,45,6,10,8,4,12,9,17,54,0,2
0,8,0,48,6,10,8,4,12,9,17,54,0,2
0,8,0,45,6,10,8,4,12,9,17,54,0,2
0,8,0,45,6,10,8,4,12,9,17,54,0,2
0,8,0,45,6,10,8,4,12,9,17,54,0,2
