,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,765763,0,-669,1556999,14224,1567765,278115,369322,198522,633715,200,0,2
81,0,765763,0,44,1556999,14224,1567765,278115,369322,198522,633715,200,0,2
82,0,765763,0,981,1556999,14224,1567765,278115,369322,198522,633715,200,0,2
83,0,765763,0,1067,1556999,14224,1567765,278115,369322,198522,633715,200,0,2
84,0,765763,0,746,1556999,14224,1567765,278115,369322,198522,633715,200,0,2
85,0,765763,0,1184,1556999,14224,1567765,278115,369322,198522,633715,200,0,2
86,0,765763,0,-878,1556999,14224,1567765,278115,369322,198522,633715,200,0,2
87,0,765763,0,-907,1556999,14224,1567765,278115,369322,198522,633715,200,0,2
88,0,765763,0,-113,1556999,14224,1567765,278115,369322,198522,633715,200,0,2
89,0,985875,0,53,653492,12041,134141,85253,102721,94358,83723,200,0,2
90,0,985875,0,-780,653492,12041,134141,85253,102721,94358,83723,200,0,2
91,0,985875,0,-1003,653492,12041,134141,85253,102721,94358,83723,200,0,2
92,0,985875,0,-333,653492,12041,134141,85253,102721,94358,83723,200,0,2
93,0,985875,0,452,653492,12041,134141,85253,102721,94358,83723,200,0,2
94,0,985875,0,1137,653492,12041,134141,85253,102721,94358,83723,200,0,2
95,0,985875,0,-235,653492,12041,134141,85253,102721,94358,83723,200,0,2
96,0,985875,0,196,653492,12041,134141,85253,102721,94358,83723,200,0,2
97,0,985875,0,-734,653492,12041,134141,85253,102721,94358,83723,200,0,2
98,0,985875,0,-956,653492,12041,134141,85253,102721,94358,83723,200,0,2
99,0,1374656,0,568,1108134,378654,621185,539157,382966,283712,1409690,200,0,2
100,0,1374656,0,200,1108134,378654,621185,539157,382966,283712,1409690,200,0,2
101,0,1374656,0,-828,1108134,378654,621185,539157,382966,283712,1409690,200,0,2
102,0,1374656,0,-837,1108134,378654,621185,539157,382966,283712,1409690,200,0,2
103,0,1374656,0,-357,1108134,378654,621185,539157,382966,283712,1409690,200,0,2
104,0,1374656,0,576,1108134,378654,621185,539157,382966,283712,1409690,200,0,2
105,0,1374656,0,874,1108134,378654,621185,539157,382966,283712,1409690,200,0,2
106,0,1374656,0,796,1108134,378654,621185,539157,382966,283712,1409690,200,0,2
107,0,1374656,0,12,1108134,378654,621185,539157,382966,283712,1409690,200,0,2
108,0,1374656,0,-828,1108134,378654,621185,539157,382966,283712,1409690,200,0,2
109,0,374547,0,994,243437,276051,82801,125642,137016,219099,128020,200,0,2
110,0,374547,0,931,243437,276051,82801,125642,137016,219099,128020,200,0,2
111,0,374547,0,304,243437,276051,82801,125642,137016,219099,128020,200,0,2
112,0,374547,0,-439,243437,276051,82801,125642,137016,219099,128020,200,0,2
113,0,374547,0,-1086,243437,276051,82801,125642,137016,219099,128020,200,0,2
114,0,374547,0,-555,243437,276051,82801,125642,137016,219099,128020,200,0,2
115,0,374547,0,155,243437,276051,82801,125642,137016,219099,128020,200,0,2
116,0,374547,0,931,243437,276051,82801,125642,137016,219099,128020,200,0,2
