attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,48,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,19,0,48,11,4,5,4,9,18,13,25,0,1
0,19,0,48,11,4,5,4,9,18,13,25,0,1
0,19,0,45,11,4,5,4,9,18,13,25,0,1
0,19,0,45,11,4,5,4,9,18,13,25,0,1
0,19,0,45,11,4,5,4,9,18,13,25,0,1
0,19,0,44,11,4,5,4,9,18,13,25,0,1
0,19,0,45,11,4,5,4,9,18,13,25,0,1
0,19,0,48,11,4,5,4,9,18,13,25,0,1
0,19,0,48,11,4,5,4,9,18,13,25,0,1
0,19,0,45,11,4,5,4,9,18,13,25,0,1
0,45,0,53,42,50,53,25,26,45,19,25,0,1
0,45,0,2047,42,50,53,25,26,45,19,25,0,1
0,45,0,517,42,50,53,25,26,45,19,25,0,1
0,45,0,122,42,50,53,25,26,45,19,25,0,1
0,45,0,180,42,50,53,25,26,45,19,25,0,1
0,45,0,-827,42,50,53,25,26,45,19,25,0,1
0,45,0,-2048,42,50,53,25,26,45,19,25,0,1
0,45,0,1754,42,50,53,25,26,45,19,25,0,1
0,45,0,353,42,50,53,25,26,45,19,25,0,1
0,45,0,91,42,50,53,25,26,45,19,25,0,1
0,2075949,0,234,430702,188914,148878,760421,394236,188866,380083,51,0,1
0,2075949,0,758,430702,188914,148878,760421,394236,188866,380083,51,0,1
0,2075949,0,155,430702,188914,148878,760421,394236,188866,380083,51,0,1
0,2075949,0,501,430702,188914,148878,760421,394236,188866,380083,51,0,1
0,2075949,0,120,430702,188914,148878,760421,394236,188866,380083,51,0,1
0,2075949,0,80,430702,188914,148878,760421,394236,188866,380083,51,0,1
0,2075949,0,1028,430702,188914,148878,760421,394236,188866,380083,51,0,1
