,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,2075949,0,120,430702,188914,148878,760421,394236,188866,380083,51,0,1
81,0,2075949,0,80,430702,188914,148878,760421,394236,188866,380083,51,0,1
82,0,2075949,0,1028,430702,188914,148878,760421,394236,188866,380083,51,0,1
83,0,2075949,0,-1949,430702,188914,148878,760421,394236,188866,380083,51,0,1
84,0,2075949,0,-2048,430702,188914,148878,760421,394236,188866,380083,51,0,1
85,0,2075949,0,428,430702,188914,148878,760421,394236,188866,380083,51,0,1
86,0,528994,0,336,376588,21244,45844,73586,84641,57849,19392,51,0,1
87,0,528994,0,-2048,376588,21244,45844,73586,84641,57849,19392,51,0,1
88,0,528994,0,385,376588,21244,45844,73586,84641,57849,19392,51,0,1
89,0,528994,0,-2048,376588,21244,45844,73586,84641,57849,19392,51,0,1
90,0,528994,0,1027,376588,21244,45844,73586,84641,57849,19392,51,0,1
91,0,528994,0,256,376588,21244,45844,73586,84641,57849,19392,51,0,1
92,0,528994,0,69,376588,21244,45844,73586,84641,57849,19392,51,0,1
93,0,528994,0,472,376588,21244,45844,73586,84641,57849,19392,51,0,1
94,0,528994,0,426,376588,21244,45844,73586,84641,57849,19392,51,0,1
95,0,528994,0,-2048,376588,21244,45844,73586,84641,57849,19392,51,0,1
96,0,1433472,0,-498,540356,101673,12663,112499,140404,96873,85185,51,0,1
97,0,1433472,0,-1964,540356,101673,12663,112499,140404,96873,85185,51,0,1
98,0,1433472,0,-937,540356,101673,12663,112499,140404,96873,85185,51,0,1
99,0,1433472,0,1113,540356,101673,12663,112499,140404,96873,85185,51,0,1
100,0,1433472,0,22,540356,101673,12663,112499,140404,96873,85185,51,0,1
101,0,1433472,0,-1106,540356,101673,12663,112499,140404,96873,85185,51,0,1
102,0,1433472,0,-211,540356,101673,12663,112499,140404,96873,85185,51,0,1
103,0,1433472,0,-510,540356,101673,12663,112499,140404,96873,85185,51,0,1
104,0,1433472,0,-44,540356,101673,12663,112499,140404,96873,85185,51,0,1
105,0,1433472,0,-90,540356,101673,12663,112499,140404,96873,85185,51,0,1
106,0,886670,0,25,1036051,1047236,356349,705922,228346,277744,146292,51,0,1
107,0,886670,0,-825,1036051,1047236,356349,705922,228346,277744,146292,51,0,1
108,0,886670,0,2047,1036051,1047236,356349,705922,228346,277744,146292,51,0,1
109,0,886670,0,-1043,1036051,1047236,356349,705922,228346,277744,146292,51,0,1
110,0,886670,0,1388,1036051,1047236,356349,705922,228346,277744,146292,51,0,1
111,0,886670,0,877,1036051,1047236,356349,705922,228346,277744,146292,51,0,1
112,0,886670,0,-773,1036051,1047236,356349,705922,228346,277744,146292,51,0,1
113,0,886670,0,1298,1036051,1047236,356349,705922,228346,277744,146292,51,0,1
114,0,886670,0,-1333,1036051,1047236,356349,705922,228346,277744,146292,51,0,1
115,0,775480,0,899,1596188,695448,111525,454110,345120,483760,486168,51,0,1
116,0,775480,0,330,1596188,695448,111525,454110,345120,483760,486168,51,0,1
117,0,775480,0,-2048,1596188,695448,111525,454110,345120,483760,486168,51,0,1
118,0,775480,0,1104,1596188,695448,111525,454110,345120,483760,486168,51,0,1
119,0,775480,0,769,1596188,695448,111525,454110,345120,483760,486168,51,0,1
120,0,775480,0,-1446,1596188,695448,111525,454110,345120,483760,486168,51,0,1
121,0,775480,0,1395,1596188,695448,111525,454110,345120,483760,486168,51,0,1
122,0,775480,0,-1655,1596188,695448,111525,454110,345120,483760,486168,51,0,1
123,0,775480,0,874,1596188,695448,111525,454110,345120,483760,486168,51,0,1
124,0,775480,0,983,1596188,695448,111525,454110,345120,483760,486168,51,0,1
125,0,1102607,0,16,561189,68921,113872,181077,115840,91694,58264,51,0,1
126,0,1102607,0,1499,561189,68921,113872,181077,115840,91694,58264,51,0,1
127,0,1102607,0,273,561189,68921,113872,181077,115840,91694,58264,51,0,1
128,0,1102607,0,84,561189,68921,113872,181077,115840,91694,58264,51,0,1
129,0,1102607,0,-236,561189,68921,113872,181077,115840,91694,58264,51,0,1
130,0,1102607,0,-1245,561189,68921,113872,181077,115840,91694,58264,51,0,1
131,0,1102607,0,1405,561189,68921,113872,181077,115840,91694,58264,51,0,1
132,0,1102607,0,304,561189,68921,113872,181077,115840,91694,58264,51,0,1
133,0,1102607,0,87,561189,68921,113872,181077,115840,91694,58264,51,0,1
134,0,1102607,0,1556,561189,68921,113872,181077,115840,91694,58264,51,0,1
135,0,342963,0,308,71829,44437,18294,31944,79147,122299,31760,51,0,1
136,0,342963,0,86,71829,44437,18294,31944,79147,122299,31760,51,0,1
137,0,342963,0,37,71829,44437,18294,31944,79147,122299,31760,51,0,1
138,0,342963,0,98,71829,44437,18294,31944,79147,122299,31760,51,0,1
139,0,342963,0,-1868,71829,44437,18294,31944,79147,122299,31760,51,0,1
140,0,342963,0,420,71829,44437,18294,31944,79147,122299,31760,51,0,1
141,0,342963,0,-2048,71829,44437,18294,31944,79147,122299,31760,51,0,1
142,0,342963,0,1811,71829,44437,18294,31944,79147,122299,31760,51,0,1
143,0,342963,0,2047,71829,44437,18294,31944,79147,122299,31760,51,0,1
144,0,342963,0,2047,71829,44437,18294,31944,79147,122299,31760,51,0,1
145,0,411783,0,1000,144616,53234,58938,109638,291238,78877,33843,51,0,1
146,0,411783,0,-2048,144616,53234,58938,109638,291238,78877,33843,51,0,1
147,0,411783,0,1495,144616,53234,58938,109638,291238,78877,33843,51,0,1
148,0,411783,0,2047,144616,53234,58938,109638,291238,78877,33843,51,0,1
149,0,411783,0,1517,144616,53234,58938,109638,291238,78877,33843,51,0,1
150,0,411783,0,203,144616,53234,58938,109638,291238,78877,33843,51,0,1
151,0,411783,0,70,144616,53234,58938,109638,291238,78877,33843,51,0,1
152,0,411783,0,48,144616,53234,58938,109638,291238,78877,33843,51,0,1
153,0,411783,0,72,144616,53234,58938,109638,291238,78877,33843,51,0,1
154,0,411783,0,361,144616,53234,58938,109638,291238,78877,33843,51,0,1
155,0,262487,0,196,127800,151789,106662,106057,26499,100103,59560,51,0,1
156,0,262487,0,-1877,127800,151789,106662,106057,26499,100103,59560,51,0,1
157,0,262487,0,-270,127800,151789,106662,106057,26499,100103,59560,51,0,1
