attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,266,0,0,0,0,0,0,0,0,0,2
0,0,0,-503,0,0,0,0,0,0,0,0,0,2
0,0,0,2047,0,0,0,0,0,0,0,0,0,2
0,0,0,1095,0,0,0,0,0,0,0,0,0,2
0,0,0,-2048,0,0,0,0,0,0,0,0,0,2
0,0,0,-2048,0,0,0,0,0,0,0,0,0,2
0,0,0,-770,0,0,0,0,0,0,0,0,0,2
0,0,0,1617,0,0,0,0,0,0,0,0,0,2
0,0,0,-961,0,0,0,0,0,0,0,0,0,2
0,359851,0,-994,522477,297215,252482,271951,176605,128262,81606,51,0,2
0,359851,0,-2048,522477,297215,252482,271951,176605,128262,81606,51,0,2
0,359851,0,-1473,522477,297215,252482,271951,176605,128262,81606,51,0,2
0,359851,0,-1413,522477,297215,252482,271951,176605,128262,81606,51,0,2
0,359851,0,1019,522477,297215,252482,271951,176605,128262,81606,51,0,2
0,359851,0,-1460,522477,297215,252482,271951,176605,128262,81606,51,0,2
0,359851,0,2047,522477,297215,252482,271951,176605,128262,81606,51,0,2
0,359851,0,-1222,522477,297215,252482,271951,176605,128262,81606,51,0,2
0,359851,0,2047,522477,297215,252482,271951,176605,128262,81606,51,0,2
0,90355,0,-493,289815,129796,329089,46376,210045,115777,144099,51,0,2
0,90355,0,1222,289815,129796,329089,46376,210045,115777,144099,51,0,2
0,90355,0,1718,289815,129796,329089,46376,210045,115777,144099,51,0,2
