,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,1243721,0,2047,156658,8421,61507,197015,503093,148215,108865,51,0,2
81,0,1243721,0,2047,156658,8421,61507,197015,503093,148215,108865,51,0,2
82,0,1243721,0,-2048,156658,8421,61507,197015,503093,148215,108865,51,0,2
83,0,1243721,0,-826,156658,8421,61507,197015,503093,148215,108865,51,0,2
84,0,1243721,0,1879,156658,8421,61507,197015,503093,148215,108865,51,0,2
85,0,1243721,0,-2048,156658,8421,61507,197015,503093,148215,108865,51,0,2
86,0,1243721,0,-2048,156658,8421,61507,197015,503093,148215,108865,51,0,2
87,0,1243721,0,937,156658,8421,61507,197015,503093,148215,108865,51,0,2
88,0,1243721,0,-2048,156658,8421,61507,197015,503093,148215,108865,51,0,2
89,0,1243721,0,1852,156658,8421,61507,197015,503093,148215,108865,51,0,2
90,0,1415899,0,1763,440775,210541,106244,198526,117838,74544,88709,51,0,2
91,0,1415899,0,1253,440775,210541,106244,198526,117838,74544,88709,51,0,2
92,0,1415899,0,1751,440775,210541,106244,198526,117838,74544,88709,51,0,2
93,0,1415899,0,2047,440775,210541,106244,198526,117838,74544,88709,51,0,2
94,0,1415899,0,-450,440775,210541,106244,198526,117838,74544,88709,51,0,2
95,0,1415899,0,-280,440775,210541,106244,198526,117838,74544,88709,51,0,2
96,0,1415899,0,-361,440775,210541,106244,198526,117838,74544,88709,51,0,2
97,0,1415899,0,951,440775,210541,106244,198526,117838,74544,88709,51,0,2
98,0,1415899,0,-2048,440775,210541,106244,198526,117838,74544,88709,51,0,2
99,0,1415899,0,2047,440775,210541,106244,198526,117838,74544,88709,51,0,2
100,0,441706,0,-2048,323429,164710,84798,237533,116794,119321,158098,51,0,2
101,0,441706,0,1862,323429,164710,84798,237533,116794,119321,158098,51,0,2
102,0,441706,0,328,323429,164710,84798,237533,116794,119321,158098,51,0,2
103,0,441706,0,-2048,323429,164710,84798,237533,116794,119321,158098,51,0,2
104,0,441706,0,-1257,323429,164710,84798,237533,116794,119321,158098,51,0,2
105,0,441706,0,-1068,323429,164710,84798,237533,116794,119321,158098,51,0,2
106,0,441706,0,-1790,323429,164710,84798,237533,116794,119321,158098,51,0,2
107,0,441706,0,1264,323429,164710,84798,237533,116794,119321,158098,51,0,2
108,0,441706,0,-2048,323429,164710,84798,237533,116794,119321,158098,51,0,2
109,0,441706,0,1945,323429,164710,84798,237533,116794,119321,158098,51,0,2
110,0,950008,0,2047,379715,208692,75079,452128,362864,197377,154776,51,0,2
111,0,950008,0,1890,379715,208692,75079,452128,362864,197377,154776,51,0,2
112,0,950008,0,-986,379715,208692,75079,452128,362864,197377,154776,51,0,2
113,0,950008,0,-2048,379715,208692,75079,452128,362864,197377,154776,51,0,2
114,0,950008,0,2047,379715,208692,75079,452128,362864,197377,154776,51,0,2
115,0,950008,0,-212,379715,208692,75079,452128,362864,197377,154776,51,0,2
116,0,950008,0,1033,379715,208692,75079,452128,362864,197377,154776,51,0,2
117,0,950008,0,1032,379715,208692,75079,452128,362864,197377,154776,51,0,2
118,0,950008,0,219,379715,208692,75079,452128,362864,197377,154776,51,0,2
119,0,950008,0,-540,379715,208692,75079,452128,362864,197377,154776,51,0,2
120,0,1007024,0,2047,295771,130606,160696,118435,141112,53432,119435,51,0,2
121,0,1007024,0,2047,295771,130606,160696,118435,141112,53432,119435,51,0,2
122,0,1007024,0,-1594,295771,130606,160696,118435,141112,53432,119435,51,0,2
123,0,1007024,0,1050,295771,130606,160696,118435,141112,53432,119435,51,0,2
124,0,1007024,0,-2048,295771,130606,160696,118435,141112,53432,119435,51,0,2
125,0,1007024,0,-1465,295771,130606,160696,118435,141112,53432,119435,51,0,2
126,0,1007024,0,-1382,295771,130606,160696,118435,141112,53432,119435,51,0,2
127,0,1007024,0,1259,295771,130606,160696,118435,141112,53432,119435,51,0,2
128,0,1007024,0,-2048,295771,130606,160696,118435,141112,53432,119435,51,0,2
129,0,1007024,0,1916,295771,130606,160696,118435,141112,53432,119435,51,0,2
130,0,1355800,0,-1272,130595,141210,445149,210297,391616,122053,253436,51,0,2
131,0,1355800,0,2047,130595,141210,445149,210297,391616,122053,253436,51,0,2
132,0,1355800,0,2047,130595,141210,445149,210297,391616,122053,253436,51,0,2
133,0,1355800,0,-466,130595,141210,445149,210297,391616,122053,253436,51,0,2
134,0,1355800,0,821,130595,141210,445149,210297,391616,122053,253436,51,0,2
135,0,1355800,0,1858,130595,141210,445149,210297,391616,122053,253436,51,0,2
136,0,1355800,0,2047,130595,141210,445149,210297,391616,122053,253436,51,0,2
137,0,1355800,0,2047,130595,141210,445149,210297,391616,122053,253436,51,0,2
138,0,1355800,0,-819,130595,141210,445149,210297,391616,122053,253436,51,0,2
139,0,1355800,0,-855,130595,141210,445149,210297,391616,122053,253436,51,0,2
140,0,33734,0,2047,10312,3383,10865,10366,3540,8909,8877,51,0,2
141,0,33734,0,-1434,10312,3383,10865,10366,3540,8909,8877,51,0,2
142,0,33734,0,-185,10312,3383,10865,10366,3540,8909,8877,51,0,2
143,0,33734,0,-547,10312,3383,10865,10366,3540,8909,8877,51,0,2
144,0,33734,0,-2048,10312,3383,10865,10366,3540,8909,8877,51,0,2
145,0,33734,0,-2048,10312,3383,10865,10366,3540,8909,8877,51,0,2
146,0,33734,0,-2048,10312,3383,10865,10366,3540,8909,8877,51,0,2
147,0,33734,0,-2048,10312,3383,10865,10366,3540,8909,8877,51,0,2
148,0,33734,0,-2048,10312,3383,10865,10366,3540,8909,8877,51,0,2
149,0,33734,0,1233,10312,3383,10865,10366,3540,8909,8877,51,0,2
150,0,860890,0,-122,995017,151711,254913,93911,68092,165598,34321,51,0,2
151,0,860890,0,-2048,995017,151711,254913,93911,68092,165598,34321,51,0,2
152,0,860890,0,119,995017,151711,254913,93911,68092,165598,34321,51,0,2
153,0,860890,0,-169,995017,151711,254913,93911,68092,165598,34321,51,0,2
154,0,860890,0,-742,995017,151711,254913,93911,68092,165598,34321,51,0,2
155,0,860890,0,-2048,995017,151711,254913,93911,68092,165598,34321,51,0,2
156,0,860890,0,1457,995017,151711,254913,93911,68092,165598,34321,51,0,2
157,0,860890,0,264,995017,151711,254913,93911,68092,165598,34321,51,0,2
