attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,15480,0,2047,13967,7983,8429,6177,6339,2468,2320,51,0,1
0,15480,0,2047,13967,7983,8429,6177,6339,2468,2320,51,0,1
0,15480,0,-1265,13967,7983,8429,6177,6339,2468,2320,51,0,1
0,15480,0,736,13967,7983,8429,6177,6339,2468,2320,51,0,1
0,15480,0,-2048,13967,7983,8429,6177,6339,2468,2320,51,0,1
0,15480,0,-899,13967,7983,8429,6177,6339,2468,2320,51,0,1
0,15480,0,2047,13967,7983,8429,6177,6339,2468,2320,51,0,1
0,15480,0,2047,13967,7983,8429,6177,6339,2468,2320,51,0,1
0,15480,0,2010,13967,7983,8429,6177,6339,2468,2320,51,0,1
0,599160,0,1750,235117,280932,116409,91849,167657,120600,67357,51,0,1
0,599160,0,898,235117,280932,116409,91849,167657,120600,67357,51,0,1
0,599160,0,-1689,235117,280932,116409,91849,167657,120600,67357,51,0,1
0,599160,0,-1188,235117,280932,116409,91849,167657,120600,67357,51,0,1
0,599160,0,537,235117,280932,116409,91849,167657,120600,67357,51,0,1
0,599160,0,-2048,235117,280932,116409,91849,167657,120600,67357,51,0,1
0,599160,0,2047,235117,280932,116409,91849,167657,120600,67357,51,0,1
0,599160,0,392,235117,280932,116409,91849,167657,120600,67357,51,0,1
0,599160,0,-2048,235117,280932,116409,91849,167657,120600,67357,51,0,1
0,599160,0,-791,235117,280932,116409,91849,167657,120600,67357,51,0,1
0,1371756,0,1895,300284,203367,147827,96492,188163,95632,114292,51,0,1
0,1371756,0,243,300284,203367,147827,96492,188163,95632,114292,51,0,1
0,1371756,0,226,300284,203367,147827,96492,188163,95632,114292,51,0,1
0,1371756,0,-2048,300284,203367,147827,96492,188163,95632,114292,51,0,1
0,1371756,0,-466,300284,203367,147827,96492,188163,95632,114292,51,0,1
0,1371756,0,1116,300284,203367,147827,96492,188163,95632,114292,51,0,1
0,1371756,0,1148,300284,203367,147827,96492,188163,95632,114292,51,0,1
0,1371756,0,2047,300284,203367,147827,96492,188163,95632,114292,51,0,1
0,1371756,0,1302,300284,203367,147827,96492,188163,95632,114292,51,0,1
0,1371756,0,180,300284,203367,147827,96492,188163,95632,114292,51,0,1
0,2655296,0,1469,1251393,735258,442065,222342,476816,171944,94537,51,0,1
0,2655296,0,1289,1251393,735258,442065,222342,476816,171944,94537,51,0,1
0,2655296,0,1394,1251393,735258,442065,222342,476816,171944,94537,51,0,1
0,2655296,0,1525,1251393,735258,442065,222342,476816,171944,94537,51,0,1
0,2655296,0,2047,1251393,735258,442065,222342,476816,171944,94537,51,0,1
0,2655296,0,-1431,1251393,735258,442065,222342,476816,171944,94537,51,0,1
0,2655296,0,-2048,1251393,735258,442065,222342,476816,171944,94537,51,0,1
0,2655296,0,-2048,1251393,735258,442065,222342,476816,171944,94537,51,0,1
0,2655296,0,2047,1251393,735258,442065,222342,476816,171944,94537,51,0,1
0,2655296,0,2047,1251393,735258,442065,222342,476816,171944,94537,51,0,1
0,1353868,0,1954,245732,189720,181762,109488,154412,123748,170460,51,0,1
0,1353868,0,1254,245732,189720,181762,109488,154412,123748,170460,51,0,1
0,1353868,0,2047,245732,189720,181762,109488,154412,123748,170460,51,0,1
0,1353868,0,771,245732,189720,181762,109488,154412,123748,170460,51,0,1
0,1353868,0,1394,245732,189720,181762,109488,154412,123748,170460,51,0,1
0,1353868,0,-2048,245732,189720,181762,109488,154412,123748,170460,51,0,1
0,1353868,0,-1240,245732,189720,181762,109488,154412,123748,170460,51,0,1
0,1353868,0,-2048,245732,189720,181762,109488,154412,123748,170460,51,0,1
0,1353868,0,-584,245732,189720,181762,109488,154412,123748,170460,51,0,1
0,1353868,0,-2048,245732,189720,181762,109488,154412,123748,170460,51,0,1
0,1327562,0,1738,165503,234226,80743,436469,205130,251503,152412,51,0,1
0,1327562,0,2047,165503,234226,80743,436469,205130,251503,152412,51,0,1
0,1327562,0,-2048,165503,234226,80743,436469,205130,251503,152412,51,0,1
0,1327562,0,-877,165503,234226,80743,436469,205130,251503,152412,51,0,1
0,1327562,0,2047,165503,234226,80743,436469,205130,251503,152412,51,0,1
0,1327562,0,2047,165503,234226,80743,436469,205130,251503,152412,51,0,1
0,1327562,0,796,165503,234226,80743,436469,205130,251503,152412,51,0,1
