,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,1746606,0,-1114,697115,195574,44782,114482,110367,96594,52405,51,0,1
81,0,1746606,0,-874,697115,195574,44782,114482,110367,96594,52405,51,0,1
82,0,1746606,0,-1861,697115,195574,44782,114482,110367,96594,52405,51,0,1
83,0,1746606,0,-1293,697115,195574,44782,114482,110367,96594,52405,51,0,1
84,0,1746606,0,-1560,697115,195574,44782,114482,110367,96594,52405,51,0,1
85,0,1746606,0,-238,697115,195574,44782,114482,110367,96594,52405,51,0,1
86,0,1746606,0,3,697115,195574,44782,114482,110367,96594,52405,51,0,1
87,0,1746606,0,2047,697115,195574,44782,114482,110367,96594,52405,51,0,1
88,0,714659,0,-1096,784285,15352,70934,112425,138121,60102,67926,51,0,1
89,0,714659,0,-2048,784285,15352,70934,112425,138121,60102,67926,51,0,1
90,0,714659,0,677,784285,15352,70934,112425,138121,60102,67926,51,0,1
91,0,714659,0,1095,784285,15352,70934,112425,138121,60102,67926,51,0,1
92,0,714659,0,824,784285,15352,70934,112425,138121,60102,67926,51,0,1
93,0,714659,0,-2048,784285,15352,70934,112425,138121,60102,67926,51,0,1
94,0,714659,0,-2048,784285,15352,70934,112425,138121,60102,67926,51,0,1
95,0,714659,0,1802,784285,15352,70934,112425,138121,60102,67926,51,0,1
96,0,714659,0,-2048,784285,15352,70934,112425,138121,60102,67926,51,0,1
97,0,714659,0,-651,784285,15352,70934,112425,138121,60102,67926,51,0,1
98,0,516023,0,-1496,987756,131244,275525,188771,135388,253612,77485,51,0,1
99,0,516023,0,24,987756,131244,275525,188771,135388,253612,77485,51,0,1
100,0,516023,0,263,987756,131244,275525,188771,135388,253612,77485,51,0,1
101,0,516023,0,-2048,987756,131244,275525,188771,135388,253612,77485,51,0,1
102,0,516023,0,-1237,987756,131244,275525,188771,135388,253612,77485,51,0,1
103,0,516023,0,1766,987756,131244,275525,188771,135388,253612,77485,51,0,1
104,0,516023,0,122,987756,131244,275525,188771,135388,253612,77485,51,0,1
105,0,516023,0,209,987756,131244,275525,188771,135388,253612,77485,51,0,1
