attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,46,0,45,5,7,16,7,13,5,3,54,0,2
0,46,0,45,5,7,16,7,13,5,3,54,0,2
0,46,0,48,5,7,16,7,13,5,3,54,0,2
0,46,0,48,5,7,16,7,13,5,3,54,0,2
0,46,0,48,5,7,16,7,13,5,3,54,0,2
0,46,0,44,5,7,16,7,13,5,3,54,0,2
0,46,0,44,5,7,16,7,13,5,3,54,0,2
0,46,0,45,5,7,16,7,13,5,3,54,0,2
0,46,0,45,5,7,16,7,13,5,3,54,0,2
0,5,0,45,8,5,10,10,13,5,6,54,0,2
0,5,0,44,8,5,10,10,13,5,6,54,0,2
0,5,0,48,8,5,10,10,13,5,6,54,0,2
0,5,0,45,8,5,10,10,13,5,6,54,0,2
0,5,0,45,8,5,10,10,13,5,6,54,0,2
0,5,0,48,8,5,10,10,13,5,6,54,0,2
0,5,0,48,8,5,10,10,13,5,6,54,0,2
0,5,0,45,8,5,10,10,13,5,6,54,0,2
