,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,1618,0,32,696,15,25,60,62,31,649,200,0,2
81,0,1618,0,21,696,15,25,60,62,31,649,200,0,2
82,0,1618,0,44,696,15,25,60,62,31,649,200,0,2
83,0,1618,0,64,696,15,25,60,62,31,649,200,0,2
84,0,1618,0,61,696,15,25,60,62,31,649,200,0,2
85,0,1618,0,53,696,15,25,60,62,31,649,200,0,2
86,0,1618,0,50,696,15,25,60,62,31,649,200,0,2
87,0,1618,0,45,696,15,25,60,62,31,649,200,0,2
88,0,1618,0,28,696,15,25,60,62,31,649,200,0,2
89,0,1618,0,-218,696,15,25,60,62,31,649,200,0,2
90,0,76918,0,168,132387,75317,41907,23674,14024,3379,11661,200,0,2
91,0,76918,0,56,132387,75317,41907,23674,14024,3379,11661,200,0,2
92,0,76918,0,42,132387,75317,41907,23674,14024,3379,11661,200,0,2
93,0,76918,0,20,132387,75317,41907,23674,14024,3379,11661,200,0,2
94,0,76918,0,-83,132387,75317,41907,23674,14024,3379,11661,200,0,2
95,0,76918,0,40,132387,75317,41907,23674,14024,3379,11661,200,0,2
96,0,76918,0,-733,132387,75317,41907,23674,14024,3379,11661,200,0,2
97,0,76918,0,230,132387,75317,41907,23674,14024,3379,11661,200,0,2
98,0,76918,0,216,132387,75317,41907,23674,14024,3379,11661,200,0,2
99,0,76918,0,345,132387,75317,41907,23674,14024,3379,11661,200,0,2
100,0,971900,0,-67,145326,90617,124718,99374,75591,15146,495064,200,0,2
101,0,971900,0,-786,145326,90617,124718,99374,75591,15146,495064,200,0,2
102,0,971900,0,475,145326,90617,124718,99374,75591,15146,495064,200,0,2
103,0,971900,0,55,145326,90617,124718,99374,75591,15146,495064,200,0,2
104,0,971900,0,73,145326,90617,124718,99374,75591,15146,495064,200,0,2
105,0,971900,0,178,145326,90617,124718,99374,75591,15146,495064,200,0,2
106,0,971900,0,81,145326,90617,124718,99374,75591,15146,495064,200,0,2
107,0,971900,0,-7,145326,90617,124718,99374,75591,15146,495064,200,0,2
108,0,971900,0,-97,145326,90617,124718,99374,75591,15146,495064,200,0,2
109,0,971900,0,-57,145326,90617,124718,99374,75591,15146,495064,200,0,2
110,0,1448106,0,-29,39514,49184,35052,37097,7650,5809,101557,200,0,2
111,0,1448106,0,-1410,39514,49184,35052,37097,7650,5809,101557,200,0,2
112,0,1448106,0,-1031,39514,49184,35052,37097,7650,5809,101557,200,0,2
113,0,1448106,0,48,39514,49184,35052,37097,7650,5809,101557,200,0,2
114,0,1448106,0,1328,39514,49184,35052,37097,7650,5809,101557,200,0,2
115,0,1448106,0,244,39514,49184,35052,37097,7650,5809,101557,200,0,2
116,0,1448106,0,76,39514,49184,35052,37097,7650,5809,101557,200,0,2
117,0,1448106,0,51,39514,49184,35052,37097,7650,5809,101557,200,0,2
118,0,1448106,0,48,39514,49184,35052,37097,7650,5809,101557,200,0,2
119,0,1448106,0,45,39514,49184,35052,37097,7650,5809,101557,200,0,2
120,0,1555260,0,48,8757,1847,23573,42279,5682,4941,22128,200,0,2
121,0,1555260,0,49,8757,1847,23573,42279,5682,4941,22128,200,0,2
122,0,1555260,0,-58,8757,1847,23573,42279,5682,4941,22128,200,0,2
123,0,1555260,0,-894,8757,1847,23573,42279,5682,4941,22128,200,0,2
124,0,1555260,0,-865,8757,1847,23573,42279,5682,4941,22128,200,0,2
125,0,1555260,0,-542,8757,1847,23573,42279,5682,4941,22128,200,0,2
126,0,1555260,0,-132,8757,1847,23573,42279,5682,4941,22128,200,0,2
127,0,1555260,0,10,8757,1847,23573,42279,5682,4941,22128,200,0,2
128,0,1555260,0,42,8757,1847,23573,42279,5682,4941,22128,200,0,2
129,0,1555260,0,49,8757,1847,23573,42279,5682,4941,22128,200,0,2
130,0,1309334,0,49,2179,1817,1394,2079,615,59,3002,200,0,2
131,0,1309334,0,49,2179,1817,1394,2079,615,59,3002,200,0,2
132,0,1309334,0,49,2179,1817,1394,2079,615,59,3002,200,0,2
133,0,1309334,0,49,2179,1817,1394,2079,615,59,3002,200,0,2
134,0,1309334,0,48,2179,1817,1394,2079,615,59,3002,200,0,2
135,0,1309334,0,49,2179,1817,1394,2079,615,59,3002,200,0,2
136,0,1309334,0,48,2179,1817,1394,2079,615,59,3002,200,0,2
137,0,1309334,0,49,2179,1817,1394,2079,615,59,3002,200,0,2
138,0,1309334,0,49,2179,1817,1394,2079,615,59,3002,200,0,2
139,0,1309334,0,48,2179,1817,1394,2079,615,59,3002,200,0,2
140,0,1,0,49,1,0,0,0,1,1,1,200,0,2
141,0,1,0,49,1,0,0,0,1,1,1,200,0,2
142,0,1,0,49,1,0,0,0,1,1,1,200,0,2
143,0,1,0,49,1,0,0,0,1,1,1,200,0,2
144,0,1,0,49,1,0,0,0,1,1,1,200,0,2
145,0,1,0,49,1,0,0,0,1,1,1,200,0,2
146,0,1,0,49,1,0,0,0,1,1,1,200,0,2
147,0,1,0,58,1,0,0,0,1,1,1,200,0,2
148,0,1,0,48,1,0,0,0,1,1,1,200,0,2
