attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,5,0,44,6,0,2,6,5,2,2,54,0,1
0,5,0,45,6,0,2,6,5,2,2,54,0,1
0,5,0,45,6,0,2,6,5,2,2,54,0,1
0,5,0,44,6,0,2,6,5,2,2,54,0,1
0,5,0,45,6,0,2,6,5,2,2,54,0,1
0,5,0,44,6,0,2,6,5,2,2,54,0,1
0,5,0,44,6,0,2,6,5,2,2,54,0,1
0,5,0,44,6,0,2,6,5,2,2,54,0,1
0,5,0,44,6,0,2,6,5,2,2,54,0,1
0,5,0,44,6,0,2,6,5,2,2,54,0,1
0,2,0,44,2,5,5,1,2,1,1,54,0,1
0,2,0,44,2,5,5,1,2,1,1,54,0,1
0,2,0,44,2,5,5,1,2,1,1,54,0,1
0,2,0,44,2,5,5,1,2,1,1,54,0,1
0,2,0,44,2,5,5,1,2,1,1,54,0,1
0,2,0,44,2,5,5,1,2,1,1,54,0,1
0,2,0,44,2,5,5,1,2,1,1,54,0,1
0,2,0,44,2,5,5,1,2,1,1,54,0,1
0,2,0,44,2,5,5,1,2,1,1,54,0,1
0,2,0,45,2,5,5,1,2,1,1,54,0,1
0,4,0,44,3,0,2,0,1,2,2,54,0,1
0,4,0,44,3,0,2,0,1,2,2,54,0,1
0,4,0,44,3,0,2,0,1,2,2,54,0,1
0,4,0,45,3,0,2,0,1,2,2,54,0,1
0,4,0,44,3,0,2,0,1,2,2,54,0,1
0,4,0,44,3,0,2,0,1,2,2,54,0,1
0,4,0,44,3,0,2,0,1,2,2,54,0,1
