,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,4,0,44,3,0,2,0,1,2,2,54,0,1
81,0,4,0,44,3,0,2,0,1,2,2,54,0,1
82,0,4,0,45,3,0,2,0,1,2,2,54,0,1
83,0,4,0,44,3,0,2,0,1,2,2,54,0,1
84,0,4,0,44,3,0,2,0,1,2,2,54,0,1
85,0,4,0,44,3,0,2,0,1,2,2,54,0,1
86,0,4,0,44,3,0,2,0,1,2,2,54,0,1
87,0,4,0,44,3,0,2,0,1,2,2,54,0,1
88,0,4,0,45,3,0,2,0,1,2,2,54,0,1
89,0,60,0,45,55,18,13,8,9,2,1,54,0,1
90,0,60,0,44,55,18,13,8,9,2,1,54,0,1
91,0,60,0,45,55,18,13,8,9,2,1,54,0,1
92,0,60,0,44,55,18,13,8,9,2,1,54,0,1
93,0,60,0,45,55,18,13,8,9,2,1,54,0,1
94,0,60,0,44,55,18,13,8,9,2,1,54,0,1
95,0,60,0,45,55,18,13,8,9,2,1,54,0,1
96,0,60,0,48,55,18,13,8,9,2,1,54,0,1
97,0,60,0,48,55,18,13,8,9,2,1,54,0,1
98,0,60,0,48,55,18,13,8,9,2,1,54,0,1
99,0,162,0,48,45,7,14,18,13,12,13,200,0,1
100,0,162,0,48,45,7,14,18,13,12,13,200,0,1
101,0,162,0,44,45,7,14,18,13,12,13,200,0,1
102,0,162,0,45,45,7,14,18,13,12,13,200,0,1
103,0,162,0,50,45,7,14,18,13,12,13,200,0,1
104,0,162,0,-1526,45,7,14,18,13,12,13,200,0,1
105,0,162,0,1869,45,7,14,18,13,12,13,200,0,1
106,0,162,0,329,45,7,14,18,13,12,13,200,0,1
107,0,162,0,89,45,7,14,18,13,12,13,200,0,1
108,0,162,0,53,45,7,14,18,13,12,13,200,0,1
109,0,1516091,0,45,1133849,463661,577049,186173,471010,403483,643154,200,0,1
110,0,1516091,0,45,1133849,463661,577049,186173,471010,403483,643154,200,0,1
111,0,1516091,0,-2048,1133849,463661,577049,186173,471010,403483,643154,200,0,1
112,0,1516091,0,-1109,1133849,463661,577049,186173,471010,403483,643154,200,0,1
113,0,1516091,0,-73,1133849,463661,577049,186173,471010,403483,643154,200,0,1
114,0,1516091,0,27,1133849,463661,577049,186173,471010,403483,643154,200,0,1
115,0,1516091,0,43,1133849,463661,577049,186173,471010,403483,643154,200,0,1
116,0,1516091,0,45,1133849,463661,577049,186173,471010,403483,643154,200,0,1
117,0,1516091,0,48,1133849,463661,577049,186173,471010,403483,643154,200,0,1
118,0,1516091,0,45,1133849,463661,577049,186173,471010,403483,643154,200,0,1
119,0,580618,0,48,80537,76336,35552,15124,8557,2369,4795,200,0,1
120,0,580618,0,45,80537,76336,35552,15124,8557,2369,4795,200,0,1
121,0,580618,0,48,80537,76336,35552,15124,8557,2369,4795,200,0,1
122,0,580618,0,48,80537,76336,35552,15124,8557,2369,4795,200,0,1
123,0,580618,0,48,80537,76336,35552,15124,8557,2369,4795,200,0,1
124,0,580618,0,69,80537,76336,35552,15124,8557,2369,4795,200,0,1
125,0,580618,0,45,80537,76336,35552,15124,8557,2369,4795,200,0,1
126,0,580618,0,118,80537,76336,35552,15124,8557,2369,4795,200,0,1
127,0,580618,0,68,80537,76336,35552,15124,8557,2369,4795,200,0,1
128,0,580618,0,118,80537,76336,35552,15124,8557,2369,4795,200,0,1
129,0,95955,0,236,83443,4617,35407,16431,8469,4691,37697,200,0,1
130,0,95955,0,115,83443,4617,35407,16431,8469,4691,37697,200,0,1
131,0,95955,0,-954,83443,4617,35407,16431,8469,4691,37697,200,0,1
132,0,95955,0,-339,83443,4617,35407,16431,8469,4691,37697,200,0,1
133,0,95955,0,1401,83443,4617,35407,16431,8469,4691,37697,200,0,1
134,0,95955,0,-710,83443,4617,35407,16431,8469,4691,37697,200,0,1
135,0,95955,0,763,83443,4617,35407,16431,8469,4691,37697,200,0,1
136,0,95955,0,1176,83443,4617,35407,16431,8469,4691,37697,200,0,1
137,0,95955,0,311,83443,4617,35407,16431,8469,4691,37697,200,0,1
138,0,95955,0,-289,83443,4617,35407,16431,8469,4691,37697,200,0,1
139,0,117942,0,-2048,36199,11765,8677,6251,10161,1451,53850,200,0,1
140,0,117942,0,1380,36199,11765,8677,6251,10161,1451,53850,200,0,1
141,0,117942,0,-693,36199,11765,8677,6251,10161,1451,53850,200,0,1
142,0,117942,0,294,36199,11765,8677,6251,10161,1451,53850,200,0,1
143,0,117942,0,-1210,36199,11765,8677,6251,10161,1451,53850,200,0,1
144,0,117942,0,1590,36199,11765,8677,6251,10161,1451,53850,200,0,1
145,0,117942,0,-131,36199,11765,8677,6251,10161,1451,53850,200,0,1
146,0,117942,0,96,36199,11765,8677,6251,10161,1451,53850,200,0,1
147,0,117942,0,-330,36199,11765,8677,6251,10161,1451,53850,200,0,1
148,0,117942,0,-420,36199,11765,8677,6251,10161,1451,53850,200,0,1
149,0,1916426,0,221,722973,261339,860257,34901,221783,49294,760744,200,0,1
150,0,1916426,0,-147,722973,261339,860257,34901,221783,49294,760744,200,0,1
151,0,1916426,0,40,722973,261339,860257,34901,221783,49294,760744,200,0,1
152,0,1916426,0,-5,722973,261339,860257,34901,221783,49294,760744,200,0,1
153,0,1916426,0,361,722973,261339,860257,34901,221783,49294,760744,200,0,1
154,0,1916426,0,-854,722973,261339,860257,34901,221783,49294,760744,200,0,1
155,0,1916426,0,-535,722973,261339,860257,34901,221783,49294,760744,200,0,1
156,0,1916426,0,2047,722973,261339,860257,34901,221783,49294,760744,200,0,1
157,0,1916426,0,424,722973,261339,860257,34901,221783,49294,760744,200,0,1
158,0,1916426,0,-78,722973,261339,860257,34901,221783,49294,760744,200,0,1
159,0,2127009,0,1034,276971,145934,595922,204469,397062,55988,961834,200,0,1
160,0,2127009,0,227,276971,145934,595922,204469,397062,55988,961834,200,0,1
161,0,2127009,0,-662,276971,145934,595922,204469,397062,55988,961834,200,0,1
162,0,2127009,0,-1797,276971,145934,595922,204469,397062,55988,961834,200,0,1
163,0,2127009,0,832,276971,145934,595922,204469,397062,55988,961834,200,0,1
164,0,2127009,0,-824,276971,145934,595922,204469,397062,55988,961834,200,0,1
165,0,2127009,0,1706,276971,145934,595922,204469,397062,55988,961834,200,0,1
166,0,2127009,0,1230,276971,145934,595922,204469,397062,55988,961834,200,0,1
167,0,2127009,0,257,276971,145934,595922,204469,397062,55988,961834,200,0,1
168,0,220637,0,-226,44811,5062,27213,21311,13631,1743,34289,200,0,1
169,0,220637,0,-57,44811,5062,27213,21311,13631,1743,34289,200,0,1
170,0,220637,0,-562,44811,5062,27213,21311,13631,1743,34289,200,0,1
171,0,220637,0,-1114,44811,5062,27213,21311,13631,1743,34289,200,0,1
172,0,220637,0,516,44811,5062,27213,21311,13631,1743,34289,200,0,1
173,0,220637,0,789,44811,5062,27213,21311,13631,1743,34289,200,0,1
174,0,220637,0,424,44811,5062,27213,21311,13631,1743,34289,200,0,1
175,0,220637,0,-634,44811,5062,27213,21311,13631,1743,34289,200,0,1
176,0,220637,0,-1457,44811,5062,27213,21311,13631,1743,34289,200,0,1
177,0,220637,0,-298,44811,5062,27213,21311,13631,1743,34289,200,0,1
178,0,933439,0,1682,173028,69798,83573,25809,148637,4316,306839,200,0,1
179,0,933439,0,369,173028,69798,83573,25809,148637,4316,306839,200,0,1
180,0,933439,0,76,173028,69798,83573,25809,148637,4316,306839,200,0,1
181,0,933439,0,-1145,173028,69798,83573,25809,148637,4316,306839,200,0,1
182,0,933439,0,458,173028,69798,83573,25809,148637,4316,306839,200,0,1
183,0,933439,0,-268,173028,69798,83573,25809,148637,4316,306839,200,0,1
184,0,933439,0,-829,173028,69798,83573,25809,148637,4316,306839,200,0,1
185,0,933439,0,325,173028,69798,83573,25809,148637,4316,306839,200,0,1
186,0,933439,0,1575,173028,69798,83573,25809,148637,4316,306839,200,0,1
187,0,933439,0,306,173028,69798,83573,25809,148637,4316,306839,200,0,1
188,0,933439,0,-798,173028,69798,83573,25809,148637,4316,306839,200,0,1
189,0,329701,0,1360,23349,9986,7639,2203,3028,3157,7139,200,0,1
190,0,329701,0,-348,23349,9986,7639,2203,3028,3157,7139,200,0,1
191,0,329701,0,-741,23349,9986,7639,2203,3028,3157,7139,200,0,1
192,0,329701,0,1088,23349,9986,7639,2203,3028,3157,7139,200,0,1
193,0,329701,0,995,23349,9986,7639,2203,3028,3157,7139,200,0,1
194,0,329701,0,195,23349,9986,7639,2203,3028,3157,7139,200,0,1
195,0,329701,0,-727,23349,9986,7639,2203,3028,3157,7139,200,0,1
196,0,329701,0,1010,23349,9986,7639,2203,3028,3157,7139,200,0,1
197,0,329701,0,197,23349,9986,7639,2203,3028,3157,7139,200,0,1
198,0,822817,0,13,15917,14849,25618,25654,12484,6015,10201,200,0,1
199,0,822817,0,-868,15917,14849,25618,25654,12484,6015,10201,200,0,1
200,0,822817,0,284,15917,14849,25618,25654,12484,6015,10201,200,0,1
201,0,822817,0,-218,15917,14849,25618,25654,12484,6015,10201,200,0,1
202,0,822817,0,-680,15917,14849,25618,25654,12484,6015,10201,200,0,1
203,0,822817,0,-443,15917,14849,25618,25654,12484,6015,10201,200,0,1
204,0,822817,0,967,15917,14849,25618,25654,12484,6015,10201,200,0,1
205,0,822817,0,-55,15917,14849,25618,25654,12484,6015,10201,200,0,1
206,0,822817,0,868,15917,14849,25618,25654,12484,6015,10201,200,0,1
207,0,822817,0,151,15917,14849,25618,25654,12484,6015,10201,200,0,1
208,0,1791998,0,376,190519,20444,42957,28261,56935,10909,291422,200,0,1
209,0,1791998,0,-936,190519,20444,42957,28261,56935,10909,291422,200,0,1
210,0,1791998,0,392,190519,20444,42957,28261,56935,10909,291422,200,0,1
211,0,1791998,0,200,190519,20444,42957,28261,56935,10909,291422,200,0,1
212,0,1791998,0,-717,190519,20444,42957,28261,56935,10909,291422,200,0,1
213,0,1791998,0,101,190519,20444,42957,28261,56935,10909,291422,200,0,1
