attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,45,0,0,0,0,0,0,0,0,0,2
0,0,0,48,0,0,0,0,0,0,0,0,0,2
0,0,0,-1118,0,0,0,0,0,0,0,0,0,2
0,0,0,-875,0,0,0,0,0,0,0,0,0,2
0,0,0,-753,0,0,0,0,0,0,0,0,0,2
0,0,0,1270,0,0,0,0,0,0,0,0,0,2
0,0,0,1885,0,0,0,0,0,0,0,0,0,2
0,0,0,2047,0,0,0,0,0,0,0,0,0,2
0,0,0,-2048,0,0,0,0,0,0,0,0,0,2
0,902592,0,-2048,445244,520241,190751,521396,375583,737637,112829,51,0,2
0,902592,0,2047,445244,520241,190751,521396,375583,737637,112829,51,0,2
0,902592,0,986,445244,520241,190751,521396,375583,737637,112829,51,0,2
0,902592,0,193,445244,520241,190751,521396,375583,737637,112829,51,0,2
0,902592,0,192,445244,520241,190751,521396,375583,737637,112829,51,0,2
0,902592,0,1937,445244,520241,190751,521396,375583,737637,112829,51,0,2
0,902592,0,1010,445244,520241,190751,521396,375583,737637,112829,51,0,2
0,902592,0,-2048,445244,520241,190751,521396,375583,737637,112829,51,0,2
0,902592,0,-1548,445244,520241,190751,521396,375583,737637,112829,51,0,2
0,902592,0,924,445244,520241,190751,521396,375583,737637,112829,51,0,2
0,610472,0,-2048,689207,195572,47639,159274,178744,76366,84128,51,0,2
0,610472,0,-357,689207,195572,47639,159274,178744,76366,84128,51,0,2
0,610472,0,1133,689207,195572,47639,159274,178744,76366,84128,51,0,2
0,610472,0,-2048,689207,195572,47639,159274,178744,76366,84128,51,0,2
0,610472,0,2047,689207,195572,47639,159274,178744,76366,84128,51,0,2
0,610472,0,-585,689207,195572,47639,159274,178744,76366,84128,51,0,2
0,610472,0,1874,689207,195572,47639,159274,178744,76366,84128,51,0,2
0,610472,0,329,689207,195572,47639,159274,178744,76366,84128,51,0,2
