,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,630050,0,1812,203147,56654,162776,99129,59523,155538,32606,51,0,2
81,0,630050,0,298,203147,56654,162776,99129,59523,155538,32606,51,0,2
82,0,630050,0,85,203147,56654,162776,99129,59523,155538,32606,51,0,2
83,0,335387,0,53,111612,94731,133910,171764,137829,63319,39470,51,0,2
84,0,335387,0,44,111612,94731,133910,171764,137829,63319,39470,51,0,2
85,0,335387,0,45,111612,94731,133910,171764,137829,63319,39470,51,0,2
86,0,335387,0,44,111612,94731,133910,171764,137829,63319,39470,51,0,2
87,0,335387,0,44,111612,94731,133910,171764,137829,63319,39470,51,0,2
88,0,335387,0,44,111612,94731,133910,171764,137829,63319,39470,51,0,2
89,0,335387,0,1734,111612,94731,133910,171764,137829,63319,39470,51,0,2
90,0,335387,0,252,111612,94731,133910,171764,137829,63319,39470,51,0,2
91,0,335387,0,226,111612,94731,133910,171764,137829,63319,39470,51,0,2
92,0,335387,0,465,111612,94731,133910,171764,137829,63319,39470,51,0,2
93,0,552776,0,105,993605,401236,87864,101938,49968,52576,106912,51,0,2
94,0,552776,0,-996,993605,401236,87864,101938,49968,52576,106912,51,0,2
95,0,552776,0,-1325,993605,401236,87864,101938,49968,52576,106912,51,0,2
96,0,552776,0,1712,993605,401236,87864,101938,49968,52576,106912,51,0,2
97,0,552776,0,-2048,993605,401236,87864,101938,49968,52576,106912,51,0,2
98,0,552776,0,1386,993605,401236,87864,101938,49968,52576,106912,51,0,2
99,0,552776,0,-2048,993605,401236,87864,101938,49968,52576,106912,51,0,2
100,0,552776,0,176,993605,401236,87864,101938,49968,52576,106912,51,0,2
101,0,552776,0,-1098,993605,401236,87864,101938,49968,52576,106912,51,0,2
102,0,552776,0,-1137,993605,401236,87864,101938,49968,52576,106912,51,0,2
103,0,758029,0,-189,882177,180720,257926,18430,83059,98109,28206,51,0,2
104,0,758029,0,2047,882177,180720,257926,18430,83059,98109,28206,51,0,2
105,0,758029,0,-2048,882177,180720,257926,18430,83059,98109,28206,51,0,2
106,0,758029,0,1036,882177,180720,257926,18430,83059,98109,28206,51,0,2
107,0,758029,0,267,882177,180720,257926,18430,83059,98109,28206,51,0,2
108,0,758029,0,1161,882177,180720,257926,18430,83059,98109,28206,51,0,2
109,0,758029,0,140,882177,180720,257926,18430,83059,98109,28206,51,0,2
110,0,758029,0,-1510,882177,180720,257926,18430,83059,98109,28206,51,0,2
111,0,758029,0,-374,882177,180720,257926,18430,83059,98109,28206,51,0,2
112,0,758029,0,2047,882177,180720,257926,18430,83059,98109,28206,51,0,2
113,0,1984259,0,1202,1444575,1065730,530562,372426,320525,150533,91255,51,0,2
114,0,1984259,0,1690,1444575,1065730,530562,372426,320525,150533,91255,51,0,2
115,0,1984259,0,2047,1444575,1065730,530562,372426,320525,150533,91255,51,0,2
116,0,1984259,0,2047,1444575,1065730,530562,372426,320525,150533,91255,51,0,2
117,0,1984259,0,-503,1444575,1065730,530562,372426,320525,150533,91255,51,0,2
118,0,1984259,0,-1572,1444575,1065730,530562,372426,320525,150533,91255,51,0,2
119,0,1984259,0,810,1444575,1065730,530562,372426,320525,150533,91255,51,0,2
120,0,1984259,0,140,1444575,1065730,530562,372426,320525,150533,91255,51,0,2
121,0,1984259,0,107,1444575,1065730,530562,372426,320525,150533,91255,51,0,2
122,0,281451,0,-1991,61778,22340,59080,29885,38703,9199,46088,51,0,2
123,0,281451,0,101,61778,22340,59080,29885,38703,9199,46088,51,0,2
124,0,281451,0,52,61778,22340,59080,29885,38703,9199,46088,51,0,2
125,0,281451,0,-2048,61778,22340,59080,29885,38703,9199,46088,51,0,2
126,0,281451,0,-2048,61778,22340,59080,29885,38703,9199,46088,51,0,2
127,0,281451,0,-1950,61778,22340,59080,29885,38703,9199,46088,51,0,2
128,0,281451,0,2047,61778,22340,59080,29885,38703,9199,46088,51,0,2
129,0,281451,0,1285,61778,22340,59080,29885,38703,9199,46088,51,0,2
130,0,281451,0,680,61778,22340,59080,29885,38703,9199,46088,51,0,2
131,0,281451,0,633,61778,22340,59080,29885,38703,9199,46088,51,0,2
132,0,158086,0,629,68412,43662,31822,31515,23103,11313,10374,51,0,2
133,0,158086,0,-2048,68412,43662,31822,31515,23103,11313,10374,51,0,2
134,0,158086,0,-450,68412,43662,31822,31515,23103,11313,10374,51,0,2
135,0,158086,0,-2048,68412,43662,31822,31515,23103,11313,10374,51,0,2
136,0,158086,0,1051,68412,43662,31822,31515,23103,11313,10374,51,0,2
137,0,158086,0,-2030,68412,43662,31822,31515,23103,11313,10374,51,0,2
138,0,158086,0,-1095,68412,43662,31822,31515,23103,11313,10374,51,0,2
139,0,158086,0,-2048,68412,43662,31822,31515,23103,11313,10374,51,0,2
140,0,158086,0,-1492,68412,43662,31822,31515,23103,11313,10374,51,0,2
141,0,158086,0,2047,68412,43662,31822,31515,23103,11313,10374,51,0,2
142,0,1025947,0,-836,328698,489450,26520,22936,267740,119180,147104,51,0,2
143,0,1025947,0,2047,328698,489450,26520,22936,267740,119180,147104,51,0,2
144,0,1025947,0,2047,328698,489450,26520,22936,267740,119180,147104,51,0,2
145,0,1025947,0,-2048,328698,489450,26520,22936,267740,119180,147104,51,0,2
146,0,1025947,0,-971,328698,489450,26520,22936,267740,119180,147104,51,0,2
147,0,1025947,0,-108,328698,489450,26520,22936,267740,119180,147104,51,0,2
148,0,1025947,0,2047,328698,489450,26520,22936,267740,119180,147104,51,0,2
149,0,1025947,0,455,328698,489450,26520,22936,267740,119180,147104,51,0,2
150,0,1025947,0,118,328698,489450,26520,22936,267740,119180,147104,51,0,2
151,0,1025947,0,-2048,328698,489450,26520,22936,267740,119180,147104,51,0,2
152,0,562216,0,612,148424,170855,63187,23148,62113,74242,81063,51,0,2
153,0,562216,0,114,148424,170855,63187,23148,62113,74242,81063,51,0,2
154,0,562216,0,1149,148424,170855,63187,23148,62113,74242,81063,51,0,2
155,0,562216,0,-1269,148424,170855,63187,23148,62113,74242,81063,51,0,2
156,0,562216,0,-712,148424,170855,63187,23148,62113,74242,81063,51,0,2
157,0,562216,0,-74,148424,170855,63187,23148,62113,74242,81063,51,0,2
158,0,562216,0,28,148424,170855,63187,23148,62113,74242,81063,51,0,2
159,0,562216,0,132,148424,170855,63187,23148,62113,74242,81063,51,0,2
160,0,562216,0,1723,148424,170855,63187,23148,62113,74242,81063,51,0,2
161,0,562216,0,-1505,148424,170855,63187,23148,62113,74242,81063,51,0,2
162,0,403580,0,-1425,129652,20340,79283,85529,76095,18781,31059,51,0,2
163,0,403580,0,-1683,129652,20340,79283,85529,76095,18781,31059,51,0,2
164,0,403580,0,-1886,129652,20340,79283,85529,76095,18781,31059,51,0,2
165,0,403580,0,2047,129652,20340,79283,85529,76095,18781,31059,51,0,2
166,0,403580,0,-2048,129652,20340,79283,85529,76095,18781,31059,51,0,2
167,0,403580,0,2047,129652,20340,79283,85529,76095,18781,31059,51,0,2
168,0,403580,0,-1017,129652,20340,79283,85529,76095,18781,31059,51,0,2
169,0,403580,0,2047,129652,20340,79283,85529,76095,18781,31059,51,0,2
170,0,403580,0,2000,129652,20340,79283,85529,76095,18781,31059,51,0,2
