attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2047,0,0,0,0,0,0,0,0,0,1
0,0,0,-2048,0,0,0,0,0,0,0,0,0,1
0,0,0,-2048,0,0,0,0,0,0,0,0,0,1
0,0,0,-1604,0,0,0,0,0,0,0,0,0,1
0,0,0,-210,0,0,0,0,0,0,0,0,0,1
0,0,0,1707,0,0,0,0,0,0,0,0,0,1
0,0,0,1025,0,0,0,0,0,0,0,0,0,1
0,0,0,163,0,0,0,0,0,0,0,0,0,1
0,0,0,61,0,0,0,0,0,0,0,0,0,1
0,0,0,1654,0,0,0,0,0,0,0,0,0,1
0,1430335,0,554,529588,399959,628702,846205,495169,196396,201365,51,0,1
0,1430335,0,774,529588,399959,628702,846205,495169,196396,201365,51,0,1
0,1430335,0,1990,529588,399959,628702,846205,495169,196396,201365,51,0,1
0,1430335,0,1669,529588,399959,628702,846205,495169,196396,201365,51,0,1
0,1430335,0,664,529588,399959,628702,846205,495169,196396,201365,51,0,1
0,1430335,0,280,529588,399959,628702,846205,495169,196396,201365,51,0,1
0,1430335,0,-2048,529588,399959,628702,846205,495169,196396,201365,51,0,1
0,1430335,0,1861,529588,399959,628702,846205,495169,196396,201365,51,0,1
0,1430335,0,-806,529588,399959,628702,846205,495169,196396,201365,51,0,1
0,1430335,0,-1655,529588,399959,628702,846205,495169,196396,201365,51,0,1
0,993712,0,2047,242577,97474,232251,187758,146925,81303,52807,51,0,1
0,993712,0,-2048,242577,97474,232251,187758,146925,81303,52807,51,0,1
0,993712,0,2047,242577,97474,232251,187758,146925,81303,52807,51,0,1
0,993712,0,1771,242577,97474,232251,187758,146925,81303,52807,51,0,1
0,993712,0,-1495,242577,97474,232251,187758,146925,81303,52807,51,0,1
0,993712,0,-23,242577,97474,232251,187758,146925,81303,52807,51,0,1
