,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,993712,0,1307,242577,97474,232251,187758,146925,81303,52807,51,0,1
81,0,993712,0,-2048,242577,97474,232251,187758,146925,81303,52807,51,0,1
82,0,993712,0,-435,242577,97474,232251,187758,146925,81303,52807,51,0,1
83,0,993712,0,-2048,242577,97474,232251,187758,146925,81303,52807,51,0,1
84,0,796099,0,683,428496,31052,60700,47823,108525,146729,201027,51,0,1
85,0,796099,0,-1044,428496,31052,60700,47823,108525,146729,201027,51,0,1
86,0,796099,0,-130,428496,31052,60700,47823,108525,146729,201027,51,0,1
87,0,796099,0,1529,428496,31052,60700,47823,108525,146729,201027,51,0,1
88,0,796099,0,-2048,428496,31052,60700,47823,108525,146729,201027,51,0,1
89,0,796099,0,-545,428496,31052,60700,47823,108525,146729,201027,51,0,1
90,0,796099,0,2047,428496,31052,60700,47823,108525,146729,201027,51,0,1
91,0,796099,0,-1912,428496,31052,60700,47823,108525,146729,201027,51,0,1
92,0,796099,0,-642,428496,31052,60700,47823,108525,146729,201027,51,0,1
93,0,796099,0,1781,428496,31052,60700,47823,108525,146729,201027,51,0,1
94,0,1299908,0,659,430089,172959,598949,91697,133086,250909,93129,51,0,1
95,0,1299908,0,183,430089,172959,598949,91697,133086,250909,93129,51,0,1
96,0,1299908,0,-2048,430089,172959,598949,91697,133086,250909,93129,51,0,1
97,0,1299908,0,2047,430089,172959,598949,91697,133086,250909,93129,51,0,1
98,0,1299908,0,-2048,430089,172959,598949,91697,133086,250909,93129,51,0,1
99,0,1299908,0,-452,430089,172959,598949,91697,133086,250909,93129,51,0,1
100,0,1299908,0,-765,430089,172959,598949,91697,133086,250909,93129,51,0,1
101,0,1299908,0,1415,430089,172959,598949,91697,133086,250909,93129,51,0,1
102,0,1299908,0,802,430089,172959,598949,91697,133086,250909,93129,51,0,1
103,0,1299908,0,391,430089,172959,598949,91697,133086,250909,93129,51,0,1
104,0,1219653,0,-1100,222860,46521,102375,63995,145289,164380,93710,51,0,1
