attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,-1213,0,0,0,0,0,0,0,0,0,2
0,0,0,2047,0,0,0,0,0,0,0,0,0,2
0,0,0,-2048,0,0,0,0,0,0,0,0,0,2
0,0,0,1030,0,0,0,0,0,0,0,0,0,2
0,0,0,-2048,0,0,0,0,0,0,0,0,0,2
0,0,0,2047,0,0,0,0,0,0,0,0,0,2
0,0,0,698,0,0,0,0,0,0,0,0,0,2
0,0,0,-1212,0,0,0,0,0,0,0,0,0,2
0,0,0,-2048,0,0,0,0,0,0,0,0,0,2
0,0,0,2047,0,0,0,0,0,0,0,0,0,2
0,1362775,0,1783,1266390,357122,489421,425115,712618,421244,463359,51,0,2
0,1362775,0,-2048,1266390,357122,489421,425115,712618,421244,463359,51,0,2
0,1362775,0,2047,1266390,357122,489421,425115,712618,421244,463359,51,0,2
0,1362775,0,-2048,1266390,357122,489421,425115,712618,421244,463359,51,0,2
0,1362775,0,-1747,1266390,357122,489421,425115,712618,421244,463359,51,0,2
0,1362775,0,-2048,1266390,357122,489421,425115,712618,421244,463359,51,0,2
0,1362775,0,-1333,1266390,357122,489421,425115,712618,421244,463359,51,0,2
0,1362775,0,-2048,1266390,357122,489421,425115,712618,421244,463359,51,0,2
0,1362775,0,-1138,1266390,357122,489421,425115,712618,421244,463359,51,0,2
0,1362775,0,-2048,1266390,357122,489421,425115,712618,421244,463359,51,0,2
0,1508822,0,-2048,348683,124379,76935,496570,124387,185965,129923,51,0,2
0,1508822,0,2,348683,124379,76935,496570,124387,185965,129923,51,0,2
0,1508822,0,-2048,348683,124379,76935,496570,124387,185965,129923,51,0,2
