,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,940832,0,1160,176386,27918,3502,45048,26611,36401,57983,51,0,2
81,0,940832,0,1345,176386,27918,3502,45048,26611,36401,57983,51,0,2
82,0,940832,0,2047,176386,27918,3502,45048,26611,36401,57983,51,0,2
83,0,940832,0,-2048,176386,27918,3502,45048,26611,36401,57983,51,0,2
84,0,940832,0,-2005,176386,27918,3502,45048,26611,36401,57983,51,0,2
85,0,940832,0,-2048,176386,27918,3502,45048,26611,36401,57983,51,0,2
86,0,940832,0,-1891,176386,27918,3502,45048,26611,36401,57983,51,0,2
87,0,940832,0,2047,176386,27918,3502,45048,26611,36401,57983,51,0,2
88,0,1048703,0,2047,220261,136549,356867,152600,120528,145509,150221,51,0,2
89,0,1048703,0,-1630,220261,136549,356867,152600,120528,145509,150221,51,0,2
90,0,1048703,0,-1351,220261,136549,356867,152600,120528,145509,150221,51,0,2
91,0,1048703,0,2047,220261,136549,356867,152600,120528,145509,150221,51,0,2
92,0,1048703,0,2047,220261,136549,356867,152600,120528,145509,150221,51,0,2
93,0,1048703,0,-2048,220261,136549,356867,152600,120528,145509,150221,51,0,2
94,0,1048703,0,-556,220261,136549,356867,152600,120528,145509,150221,51,0,2
95,0,1048703,0,2047,220261,136549,356867,152600,120528,145509,150221,51,0,2
96,0,1048703,0,-2048,220261,136549,356867,152600,120528,145509,150221,51,0,2
97,0,1048703,0,-2048,220261,136549,356867,152600,120528,145509,150221,51,0,2
98,0,521641,0,2047,306779,551661,62783,122596,81102,179229,64057,51,0,2
99,0,521641,0,-715,306779,551661,62783,122596,81102,179229,64057,51,0,2
100,0,521641,0,-2048,306779,551661,62783,122596,81102,179229,64057,51,0,2
101,0,521641,0,-1540,306779,551661,62783,122596,81102,179229,64057,51,0,2
102,0,521641,0,-188,306779,551661,62783,122596,81102,179229,64057,51,0,2
103,0,521641,0,-1465,306779,551661,62783,122596,81102,179229,64057,51,0,2
104,0,521641,0,-2048,306779,551661,62783,122596,81102,179229,64057,51,0,2
105,0,521641,0,-2048,306779,551661,62783,122596,81102,179229,64057,51,0,2
106,0,521641,0,-2048,306779,551661,62783,122596,81102,179229,64057,51,0,2
107,0,521641,0,-2048,306779,551661,62783,122596,81102,179229,64057,51,0,2
108,0,934151,0,-826,258309,141082,61353,211393,147090,86446,139988,51,0,2
109,0,934151,0,1500,258309,141082,61353,211393,147090,86446,139988,51,0,2
110,0,934151,0,-2048,258309,141082,61353,211393,147090,86446,139988,51,0,2
111,0,934151,0,-2048,258309,141082,61353,211393,147090,86446,139988,51,0,2
112,0,934151,0,-2048,258309,141082,61353,211393,147090,86446,139988,51,0,2
113,0,934151,0,1828,258309,141082,61353,211393,147090,86446,139988,51,0,2
114,0,934151,0,2047,258309,141082,61353,211393,147090,86446,139988,51,0,2
115,0,934151,0,1004,258309,141082,61353,211393,147090,86446,139988,51,0,2
116,0,934151,0,779,258309,141082,61353,211393,147090,86446,139988,51,0,2
117,0,934151,0,203,258309,141082,61353,211393,147090,86446,139988,51,0,2
118,0,1726861,0,1222,341813,251451,58199,61962,127051,72370,42422,51,0,2
119,0,1726861,0,-898,341813,251451,58199,61962,127051,72370,42422,51,0,2
120,0,1726861,0,2047,341813,251451,58199,61962,127051,72370,42422,51,0,2
121,0,1726861,0,-1940,341813,251451,58199,61962,127051,72370,42422,51,0,2
122,0,1726861,0,-366,341813,251451,58199,61962,127051,72370,42422,51,0,2
123,0,1726861,0,-262,341813,251451,58199,61962,127051,72370,42422,51,0,2
124,0,1726861,0,-2048,341813,251451,58199,61962,127051,72370,42422,51,0,2
125,0,1726861,0,636,341813,251451,58199,61962,127051,72370,42422,51,0,2
126,0,1726861,0,1672,341813,251451,58199,61962,127051,72370,42422,51,0,2
127,0,1726861,0,-2048,341813,251451,58199,61962,127051,72370,42422,51,0,2
128,0,64865,0,-1861,645797,280653,219341,295410,55586,38183,69704,51,0,2
129,0,64865,0,2047,645797,280653,219341,295410,55586,38183,69704,51,0,2
130,0,64865,0,505,645797,280653,219341,295410,55586,38183,69704,51,0,2
131,0,64865,0,2047,645797,280653,219341,295410,55586,38183,69704,51,0,2
132,0,64865,0,-524,645797,280653,219341,295410,55586,38183,69704,51,0,2
133,0,64865,0,1126,645797,280653,219341,295410,55586,38183,69704,51,0,2
134,0,64865,0,-923,645797,280653,219341,295410,55586,38183,69704,51,0,2
135,0,64865,0,2047,645797,280653,219341,295410,55586,38183,69704,51,0,2
136,0,64865,0,1289,645797,280653,219341,295410,55586,38183,69704,51,0,2
137,0,64865,0,-1565,645797,280653,219341,295410,55586,38183,69704,51,0,2
138,0,685347,0,2047,364206,119292,305489,344165,251057,124100,118471,51,0,2
139,0,685347,0,-461,364206,119292,305489,344165,251057,124100,118471,51,0,2
140,0,685347,0,-2048,364206,119292,305489,344165,251057,124100,118471,51,0,2
141,0,685347,0,-2048,364206,119292,305489,344165,251057,124100,118471,51,0,2
142,0,685347,0,1225,364206,119292,305489,344165,251057,124100,118471,51,0,2
143,0,685347,0,-2048,364206,119292,305489,344165,251057,124100,118471,51,0,2
144,0,685347,0,2047,364206,119292,305489,344165,251057,124100,118471,51,0,2
145,0,685347,0,-2048,364206,119292,305489,344165,251057,124100,118471,51,0,2
146,0,685347,0,-2048,364206,119292,305489,344165,251057,124100,118471,51,0,2
147,0,685347,0,-1058,364206,119292,305489,344165,251057,124100,118471,51,0,2
148,0,1465290,0,1783,693986,641705,276040,276963,82563,133802,111151,51,0,2
149,0,1465290,0,892,693986,641705,276040,276963,82563,133802,111151,51,0,2
150,0,1465290,0,-2048,693986,641705,276040,276963,82563,133802,111151,51,0,2
151,0,1465290,0,1899,693986,641705,276040,276963,82563,133802,111151,51,0,2
152,0,1465290,0,283,693986,641705,276040,276963,82563,133802,111151,51,0,2
153,0,1465290,0,40,693986,641705,276040,276963,82563,133802,111151,51,0,2
154,0,1465290,0,-1192,693986,641705,276040,276963,82563,133802,111151,51,0,2
155,0,1465290,0,-145,693986,641705,276040,276963,82563,133802,111151,51,0,2
156,0,1465290,0,-931,693986,641705,276040,276963,82563,133802,111151,51,0,2
157,0,1465290,0,-2048,693986,641705,276040,276963,82563,133802,111151,51,0,2
158,0,1700943,0,-1650,261476,112201,79608,60436,94613,83126,71412,51,0,2
159,0,1700943,0,700,261476,112201,79608,60436,94613,83126,71412,51,0,2
160,0,1700943,0,-2048,261476,112201,79608,60436,94613,83126,71412,51,0,2
161,0,1700943,0,-779,261476,112201,79608,60436,94613,83126,71412,51,0,2
162,0,1700943,0,2047,261476,112201,79608,60436,94613,83126,71412,51,0,2
163,0,1700943,0,-2048,261476,112201,79608,60436,94613,83126,71412,51,0,2
164,0,1700943,0,1852,261476,112201,79608,60436,94613,83126,71412,51,0,2
165,0,1700943,0,2047,261476,112201,79608,60436,94613,83126,71412,51,0,2
166,0,1700943,0,586,261476,112201,79608,60436,94613,83126,71412,51,0,2
167,0,1700943,0,1821,261476,112201,79608,60436,94613,83126,71412,51,0,2
168,0,1640795,0,-2048,555820,503264,346267,987958,672191,948849,639694,51,0,2
169,0,1640795,0,-2048,555820,503264,346267,987958,672191,948849,639694,51,0,2
170,0,1640795,0,-1485,555820,503264,346267,987958,672191,948849,639694,51,0,2
171,0,1640795,0,2047,555820,503264,346267,987958,672191,948849,639694,51,0,2
172,0,1640795,0,-2048,555820,503264,346267,987958,672191,948849,639694,51,0,2
173,0,1640795,0,1799,555820,503264,346267,987958,672191,948849,639694,51,0,2
174,0,1640795,0,2047,555820,503264,346267,987958,672191,948849,639694,51,0,2
175,0,1640795,0,-2048,555820,503264,346267,987958,672191,948849,639694,51,0,2
176,0,1640795,0,2047,555820,503264,346267,987958,672191,948849,639694,51,0,2
177,0,1640795,0,717,555820,503264,346267,987958,672191,948849,639694,51,0,2
178,0,1407592,0,-411,784332,113161,402655,249347,198323,117204,251772,51,0,2
179,0,1407592,0,2047,784332,113161,402655,249347,198323,117204,251772,51,0,2
180,0,1407592,0,1244,784332,113161,402655,249347,198323,117204,251772,51,0,2
181,0,1407592,0,2047,784332,113161,402655,249347,198323,117204,251772,51,0,2
182,0,1407592,0,-1017,784332,113161,402655,249347,198323,117204,251772,51,0,2
183,0,1407592,0,1314,784332,113161,402655,249347,198323,117204,251772,51,0,2
184,0,1407592,0,1892,784332,113161,402655,249347,198323,117204,251772,51,0,2
185,0,1407592,0,2047,784332,113161,402655,249347,198323,117204,251772,51,0,2
186,0,1407592,0,-1588,784332,113161,402655,249347,198323,117204,251772,51,0,2
187,0,1407592,0,345,784332,113161,402655,249347,198323,117204,251772,51,0,2
188,0,1084556,0,-2048,386848,103029,91891,316377,429775,50859,58767,51,0,2
189,0,1084556,0,1849,386848,103029,91891,316377,429775,50859,58767,51,0,2
190,0,1084556,0,2047,386848,103029,91891,316377,429775,50859,58767,51,0,2
191,0,1084556,0,-2048,386848,103029,91891,316377,429775,50859,58767,51,0,2
192,0,1084556,0,-2048,386848,103029,91891,316377,429775,50859,58767,51,0,2
193,0,1084556,0,490,386848,103029,91891,316377,429775,50859,58767,51,0,2
194,0,1084556,0,380,386848,103029,91891,316377,429775,50859,58767,51,0,2
195,0,1084556,0,2047,386848,103029,91891,316377,429775,50859,58767,51,0,2
196,0,1084556,0,1821,386848,103029,91891,316377,429775,50859,58767,51,0,2
197,0,1084556,0,2047,386848,103029,91891,316377,429775,50859,58767,51,0,2
198,0,1548900,0,-966,1521151,298508,392854,1981772,840014,942945,327733,51,0,2
199,0,1548900,0,-487,1521151,298508,392854,1981772,840014,942945,327733,51,0,2
200,0,1548900,0,-1042,1521151,298508,392854,1981772,840014,942945,327733,51,0,2
201,0,1548900,0,-652,1521151,298508,392854,1981772,840014,942945,327733,51,0,2
202,0,1548900,0,530,1521151,298508,392854,1981772,840014,942945,327733,51,0,2
203,0,1548900,0,-429,1521151,298508,392854,1981772,840014,942945,327733,51,0,2
204,0,1548900,0,-2048,1521151,298508,392854,1981772,840014,942945,327733,51,0,2
205,0,1548900,0,-654,1521151,298508,392854,1981772,840014,942945,327733,51,0,2
206,0,1548900,0,-2008,1521151,298508,392854,1981772,840014,942945,327733,51,0,2
207,0,1548900,0,1565,1521151,298508,392854,1981772,840014,942945,327733,51,0,2
208,0,1954124,0,2047,519690,116899,259479,87572,199853,237996,58583,51,0,2
209,0,1954124,0,-2048,519690,116899,259479,87572,199853,237996,58583,51,0,2
210,0,1954124,0,-1410,519690,116899,259479,87572,199853,237996,58583,51,0,2
211,0,1954124,0,593,519690,116899,259479,87572,199853,237996,58583,51,0,2
212,0,1954124,0,2047,519690,116899,259479,87572,199853,237996,58583,51,0,2
213,0,1954124,0,1356,519690,116899,259479,87572,199853,237996,58583,51,0,2
214,0,1954124,0,2047,519690,116899,259479,87572,199853,237996,58583,51,0,2
215,0,1954124,0,645,519690,116899,259479,87572,199853,237996,58583,51,0,2
216,0,1954124,0,138,519690,116899,259479,87572,199853,237996,58583,51,0,2
217,0,1114576,0,1590,252960,19766,101979,205713,148983,120924,70705,51,0,2
218,0,1114576,0,-2048,252960,19766,101979,205713,148983,120924,70705,51,0,2
219,0,1114576,0,2047,252960,19766,101979,205713,148983,120924,70705,51,0,2
220,0,1114576,0,641,252960,19766,101979,205713,148983,120924,70705,51,0,2
221,0,1114576,0,-1421,252960,19766,101979,205713,148983,120924,70705,51,0,2
222,0,1114576,0,-2048,252960,19766,101979,205713,148983,120924,70705,51,0,2
223,0,1114576,0,-1640,252960,19766,101979,205713,148983,120924,70705,51,0,2
224,0,1114576,0,-1545,252960,19766,101979,205713,148983,120924,70705,51,0,2
225,0,1114576,0,-198,252960,19766,101979,205713,148983,120924,70705,51,0,2
226,0,1114576,0,-57,252960,19766,101979,205713,148983,120924,70705,51,0,2
227,0,92292,0,1789,149781,46994,31254,6573,13757,8797,22032,51,0,2
228,0,92292,0,-2048,149781,46994,31254,6573,13757,8797,22032,51,0,2
229,0,92292,0,890,149781,46994,31254,6573,13757,8797,22032,51,0,2
230,0,92292,0,276,149781,46994,31254,6573,13757,8797,22032,51,0,2
231,0,92292,0,-1449,149781,46994,31254,6573,13757,8797,22032,51,0,2
232,0,92292,0,2047,149781,46994,31254,6573,13757,8797,22032,51,0,2
233,0,92292,0,491,149781,46994,31254,6573,13757,8797,22032,51,0,2
234,0,92292,0,1251,149781,46994,31254,6573,13757,8797,22032,51,0,2
235,0,92292,0,-984,149781,46994,31254,6573,13757,8797,22032,51,0,2
236,0,92292,0,-1561,149781,46994,31254,6573,13757,8797,22032,51,0,2
237,0,207100,0,2047,39073,44525,17247,17772,27703,58671,24475,51,0,2
238,0,207100,0,-1426,39073,44525,17247,17772,27703,58671,24475,51,0,2
239,0,207100,0,-1258,39073,44525,17247,17772,27703,58671,24475,51,0,2
240,0,207100,0,2047,39073,44525,17247,17772,27703,58671,24475,51,0,2
241,0,207100,0,854,39073,44525,17247,17772,27703,58671,24475,51,0,2
242,0,207100,0,1008,39073,44525,17247,17772,27703,58671,24475,51,0,2
243,0,207100,0,-1880,39073,44525,17247,17772,27703,58671,24475,51,0,2
244,0,207100,0,-470,39073,44525,17247,17772,27703,58671,24475,51,0,2
245,0,207100,0,-147,39073,44525,17247,17772,27703,58671,24475,51,0,2
246,0,207100,0,953,39073,44525,17247,17772,27703,58671,24475,51,0,2
247,0,1472592,0,2047,271877,117581,366663,413582,844008,190935,193762,51,0,2
248,0,1472592,0,2047,271877,117581,366663,413582,844008,190935,193762,51,0,2
249,0,1472592,0,-2048,271877,117581,366663,413582,844008,190935,193762,51,0,2
250,0,1472592,0,1547,271877,117581,366663,413582,844008,190935,193762,51,0,2
251,0,1472592,0,2047,271877,117581,366663,413582,844008,190935,193762,51,0,2
252,0,1472592,0,-1812,271877,117581,366663,413582,844008,190935,193762,51,0,2
253,0,1472592,0,1898,271877,117581,366663,413582,844008,190935,193762,51,0,2
254,0,1472592,0,2047,271877,117581,366663,413582,844008,190935,193762,51,0,2
255,0,1472592,0,392,271877,117581,366663,413582,844008,190935,193762,51,0,2
256,0,1472592,0,99,271877,117581,366663,413582,844008,190935,193762,51,0,2
257,0,140659,0,2047,18398,8537,19499,15263,64409,31804,38127,51,0,2
258,0,140659,0,1718,18398,8537,19499,15263,64409,31804,38127,51,0,2
259,0,140659,0,491,18398,8537,19499,15263,64409,31804,38127,51,0,2
260,0,140659,0,-2048,18398,8537,19499,15263,64409,31804,38127,51,0,2
261,0,140659,0,2041,18398,8537,19499,15263,64409,31804,38127,51,0,2
262,0,140659,0,-1338,18398,8537,19499,15263,64409,31804,38127,51,0,2
263,0,140659,0,2047,18398,8537,19499,15263,64409,31804,38127,51,0,2
264,0,140659,0,-2048,18398,8537,19499,15263,64409,31804,38127,51,0,2
265,0,140659,0,547,18398,8537,19499,15263,64409,31804,38127,51,0,2
266,0,140659,0,-2026,18398,8537,19499,15263,64409,31804,38127,51,0,2
267,0,832521,0,233,179594,294412,151901,250530,175683,131528,97118,51,0,2
268,0,832521,0,2047,179594,294412,151901,250530,175683,131528,97118,51,0,2
269,0,832521,0,433,179594,294412,151901,250530,175683,131528,97118,51,0,2
270,0,832521,0,313,179594,294412,151901,250530,175683,131528,97118,51,0,2
271,0,832521,0,565,179594,294412,151901,250530,175683,131528,97118,51,0,2
272,0,832521,0,-985,179594,294412,151901,250530,175683,131528,97118,51,0,2
273,0,832521,0,2047,179594,294412,151901,250530,175683,131528,97118,51,0,2
274,0,832521,0,476,179594,294412,151901,250530,175683,131528,97118,51,0,2
275,0,832521,0,-2048,179594,294412,151901,250530,175683,131528,97118,51,0,2
276,0,832521,0,-1516,179594,294412,151901,250530,175683,131528,97118,51,0,2
277,0,811030,0,748,225573,214379,176911,117579,226121,152182,42118,51,0,2
278,0,811030,0,-1234,225573,214379,176911,117579,226121,152182,42118,51,0,2
279,0,811030,0,976,225573,214379,176911,117579,226121,152182,42118,51,0,2
280,0,811030,0,-1625,225573,214379,176911,117579,226121,152182,42118,51,0,2
281,0,811030,0,-2048,225573,214379,176911,117579,226121,152182,42118,51,0,2
282,0,811030,0,-154,225573,214379,176911,117579,226121,152182,42118,51,0,2
283,0,811030,0,-794,225573,214379,176911,117579,226121,152182,42118,51,0,2
284,0,811030,0,-965,225573,214379,176911,117579,226121,152182,42118,51,0,2
285,0,811030,0,-2048,225573,214379,176911,117579,226121,152182,42118,51,0,2
286,0,811030,0,-363,225573,214379,176911,117579,226121,152182,42118,51,0,2
287,0,792621,0,2047,418680,118622,251658,135448,230188,71119,74283,51,0,2
288,0,792621,0,-1796,418680,118622,251658,135448,230188,71119,74283,51,0,2
289,0,792621,0,1905,418680,118622,251658,135448,230188,71119,74283,51,0,2
290,0,792621,0,657,418680,118622,251658,135448,230188,71119,74283,51,0,2
291,0,792621,0,-2048,418680,118622,251658,135448,230188,71119,74283,51,0,2
292,0,792621,0,-1528,418680,118622,251658,135448,230188,71119,74283,51,0,2
293,0,792621,0,-1482,418680,118622,251658,135448,230188,71119,74283,51,0,2
294,0,792621,0,1688,418680,118622,251658,135448,230188,71119,74283,51,0,2
295,0,792621,0,51,418680,118622,251658,135448,230188,71119,74283,51,0,2
296,0,792621,0,-2048,418680,118622,251658,135448,230188,71119,74283,51,0,2
297,0,212270,0,-1110,153913,46590,5972,20580,28277,26880,30128,51,0,2
298,0,212270,0,-2048,153913,46590,5972,20580,28277,26880,30128,51,0,2
299,0,212270,0,817,153913,46590,5972,20580,28277,26880,30128,51,0,2
300,0,212270,0,-1608,153913,46590,5972,20580,28277,26880,30128,51,0,2
301,0,212270,0,-2048,153913,46590,5972,20580,28277,26880,30128,51,0,2
302,0,212270,0,1401,153913,46590,5972,20580,28277,26880,30128,51,0,2
303,0,212270,0,-1693,153913,46590,5972,20580,28277,26880,30128,51,0,2
304,0,212270,0,-1994,153913,46590,5972,20580,28277,26880,30128,51,0,2
305,0,212270,0,-306,153913,46590,5972,20580,28277,26880,30128,51,0,2
306,0,212270,0,2047,153913,46590,5972,20580,28277,26880,30128,51,0,2
307,0,987375,0,-1067,86219,107392,114355,134450,145269,129813,122811,51,0,2
308,0,987375,0,-413,86219,107392,114355,134450,145269,129813,122811,51,0,2
309,0,987375,0,-920,86219,107392,114355,134450,145269,129813,122811,51,0,2
310,0,987375,0,-298,86219,107392,114355,134450,145269,129813,122811,51,0,2
311,0,987375,0,-377,86219,107392,114355,134450,145269,129813,122811,51,0,2
312,0,987375,0,1541,86219,107392,114355,134450,145269,129813,122811,51,0,2
313,0,987375,0,-1787,86219,107392,114355,134450,145269,129813,122811,51,0,2
314,0,987375,0,690,86219,107392,114355,134450,145269,129813,122811,51,0,2
315,0,987375,0,364,86219,107392,114355,134450,145269,129813,122811,51,0,2
316,0,987375,0,-2048,86219,107392,114355,134450,145269,129813,122811,51,0,2
317,0,944680,0,2047,615459,257993,152476,229375,114534,129795,117633,51,0,2
318,0,944680,0,2047,615459,257993,152476,229375,114534,129795,117633,51,0,2
319,0,944680,0,-2048,615459,257993,152476,229375,114534,129795,117633,51,0,2
320,0,944680,0,-2048,615459,257993,152476,229375,114534,129795,117633,51,0,2
321,0,944680,0,486,615459,257993,152476,229375,114534,129795,117633,51,0,2
322,0,944680,0,2047,615459,257993,152476,229375,114534,129795,117633,51,0,2
323,0,944680,0,-219,615459,257993,152476,229375,114534,129795,117633,51,0,2
324,0,944680,0,-455,615459,257993,152476,229375,114534,129795,117633,51,0,2
325,0,944680,0,-1361,615459,257993,152476,229375,114534,129795,117633,51,0,2
326,0,944680,0,-250,615459,257993,152476,229375,114534,129795,117633,51,0,2
327,0,1156089,0,2047,443401,326379,249319,84320,296275,86738,86759,51,0,2
328,0,1156089,0,576,443401,326379,249319,84320,296275,86738,86759,51,0,2
329,0,1156089,0,832,443401,326379,249319,84320,296275,86738,86759,51,0,2
330,0,1156089,0,-2048,443401,326379,249319,84320,296275,86738,86759,51,0,2
331,0,1156089,0,1315,443401,326379,249319,84320,296275,86738,86759,51,0,2
332,0,1156089,0,-1869,443401,326379,249319,84320,296275,86738,86759,51,0,2
333,0,1156089,0,1132,443401,326379,249319,84320,296275,86738,86759,51,0,2
334,0,1156089,0,217,443401,326379,249319,84320,296275,86738,86759,51,0,2
335,0,1156089,0,97,443401,326379,249319,84320,296275,86738,86759,51,0,2
336,0,1156089,0,309,443401,326379,249319,84320,296275,86738,86759,51,0,2
337,0,2877451,0,-679,316962,105142,295335,103009,202430,51206,69643,51,0,2
338,0,2877451,0,-65,316962,105142,295335,103009,202430,51206,69643,51,0,2
339,0,2877451,0,27,316962,105142,295335,103009,202430,51206,69643,51,0,2
340,0,2877451,0,39,316962,105142,295335,103009,202430,51206,69643,51,0,2
341,0,2877451,0,-297,316962,105142,295335,103009,202430,51206,69643,51,0,2
342,0,2877451,0,-553,316962,105142,295335,103009,202430,51206,69643,51,0,2
343,0,2877451,0,1491,316962,105142,295335,103009,202430,51206,69643,51,0,2
344,0,2877451,0,67,316962,105142,295335,103009,202430,51206,69643,51,0,2
345,0,2877451,0,139,316962,105142,295335,103009,202430,51206,69643,51,0,2
346,0,2877451,0,2024,316962,105142,295335,103009,202430,51206,69643,51,0,2
347,0,900679,0,1541,172799,45168,106553,74820,13947,32797,11936,51,0,2
348,0,900679,0,277,172799,45168,106553,74820,13947,32797,11936,51,0,2
349,0,900679,0,1184,172799,45168,106553,74820,13947,32797,11936,51,0,2
350,0,900679,0,-2048,172799,45168,106553,74820,13947,32797,11936,51,0,2
351,0,900679,0,-2048,172799,45168,106553,74820,13947,32797,11936,51,0,2
352,0,900679,0,-1512,172799,45168,106553,74820,13947,32797,11936,51,0,2
353,0,900679,0,-868,172799,45168,106553,74820,13947,32797,11936,51,0,2
354,0,900679,0,2047,172799,45168,106553,74820,13947,32797,11936,51,0,2
355,0,900679,0,1388,172799,45168,106553,74820,13947,32797,11936,51,0,2
356,0,900679,0,-2048,172799,45168,106553,74820,13947,32797,11936,51,0,2
357,0,582833,0,-1148,256116,46129,236245,74457,336637,160096,136443,51,0,2
358,0,582833,0,791,256116,46129,236245,74457,336637,160096,136443,51,0,2
359,0,582833,0,-470,256116,46129,236245,74457,336637,160096,136443,51,0,2
360,0,582833,0,-2048,256116,46129,236245,74457,336637,160096,136443,51,0,2
361,0,582833,0,-2048,256116,46129,236245,74457,336637,160096,136443,51,0,2
362,0,582833,0,-762,256116,46129,236245,74457,336637,160096,136443,51,0,2
363,0,582833,0,2047,256116,46129,236245,74457,336637,160096,136443,51,0,2
364,0,582833,0,-322,256116,46129,236245,74457,336637,160096,136443,51,0,2
365,0,582833,0,1285,256116,46129,236245,74457,336637,160096,136443,51,0,2
366,0,77248,0,1699,19266,18542,22581,59508,91815,50416,56593,51,0,2
367,0,77248,0,1685,19266,18542,22581,59508,91815,50416,56593,51,0,2
368,0,77248,0,-171,19266,18542,22581,59508,91815,50416,56593,51,0,2
369,0,77248,0,2047,19266,18542,22581,59508,91815,50416,56593,51,0,2
370,0,77248,0,1703,19266,18542,22581,59508,91815,50416,56593,51,0,2
371,0,77248,0,813,19266,18542,22581,59508,91815,50416,56593,51,0,2
372,0,77248,0,244,19266,18542,22581,59508,91815,50416,56593,51,0,2
373,0,77248,0,-1193,19266,18542,22581,59508,91815,50416,56593,51,0,2
