attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,49,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,44,0,0,0,0,0,0,0,0,0,1
0,0,0,45,0,0,0,0,0,0,0,0,0,1
0,141,0,44,40,6,12,12,6,7,4,25,0,1
0,141,0,44,40,6,12,12,6,7,4,25,0,1
0,141,0,45,40,6,12,12,6,7,4,25,0,1
0,141,0,45,40,6,12,12,6,7,4,25,0,1
0,141,0,44,40,6,12,12,6,7,4,25,0,1
0,141,0,45,40,6,12,12,6,7,4,25,0,1
0,141,0,45,40,6,12,12,6,7,4,25,0,1
0,141,0,44,40,6,12,12,6,7,4,25,0,1
0,141,0,44,40,6,12,12,6,7,4,25,0,1
0,141,0,45,40,6,12,12,6,7,4,25,0,1
0,3,0,54,4,5,1,4,5,4,3,25,0,1
0,3,0,674,4,5,1,4,5,4,3,25,0,1
0,3,0,178,4,5,1,4,5,4,3,25,0,1
0,3,0,-1189,4,5,1,4,5,4,3,25,0,1
0,3,0,-145,4,5,1,4,5,4,3,25,0,1
0,3,0,1894,4,5,1,4,5,4,3,25,0,1
0,3,0,524,4,5,1,4,5,4,3,25,0,1
0,3,0,120,4,5,1,4,5,4,3,25,0,1
0,3,0,58,4,5,1,4,5,4,3,25,0,1
0,3,0,50,4,5,1,4,5,4,3,25,0,1
0,1137078,0,48,33540,21028,9910,12693,13243,6332,2979,51,0,1
0,1137078,0,49,33540,21028,9910,12693,13243,6332,2979,51,0,1
0,1137078,0,41,33540,21028,9910,12693,13243,6332,2979,51,0,1
0,1137078,0,59,33540,21028,9910,12693,13243,6332,2979,51,0,1
0,1137078,0,50,33540,21028,9910,12693,13243,6332,2979,51,0,1
0,1137078,0,48,33540,21028,9910,12693,13243,6332,2979,51,0,1
0,1137078,0,48,33540,21028,9910,12693,13243,6332,2979,51,0,1
0,1137078,0,48,33540,21028,9910,12693,13243,6332,2979,51,0,1
0,1137078,0,48,33540,21028,9910,12693,13243,6332,2979,51,0,1
0,1137078,0,48,33540,21028,9910,12693,13243,6332,2979,51,0,1
0,6344,0,48,6989,3096,1236,145,97,24,10,25,0,1
0,6344,0,48,6989,3096,1236,145,97,24,10,25,0,1
0,6344,0,48,6989,3096,1236,145,97,24,10,25,0,1
0,6344,0,50,6989,3096,1236,145,97,24,10,25,0,1
0,6344,0,731,6989,3096,1236,145,97,24,10,25,0,1
0,6344,0,620,6989,3096,1236,145,97,24,10,25,0,1
0,6344,0,137,6989,3096,1236,145,97,24,10,25,0,1
0,6344,0,56,6989,3096,1236,145,97,24,10,25,0,1
0,6344,0,50,6989,3096,1236,145,97,24,10,25,0,1
0,6344,0,48,6989,3096,1236,145,97,24,10,25,0,1
0,1121127,0,739,351652,32257,15085,9286,44907,6349,1563,25,0,1
0,1121127,0,219,351652,32257,15085,9286,44907,6349,1563,25,0,1
0,1121127,0,229,351652,32257,15085,9286,44907,6349,1563,25,0,1
0,1121127,0,76,351652,32257,15085,9286,44907,6349,1563,25,0,1
0,1121127,0,23,351652,32257,15085,9286,44907,6349,1563,25,0,1
0,1121127,0,56,351652,32257,15085,9286,44907,6349,1563,25,0,1
