,attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
80,0,1121127,0,-10,351652,32257,15085,9286,44907,6349,1563,25,0,1
81,0,1121127,0,122,351652,32257,15085,9286,44907,6349,1563,25,0,1
82,0,1121127,0,97,351652,32257,15085,9286,44907,6349,1563,25,0,1
83,0,641489,0,-25,160608,18831,1042,13562,9918,5642,4090,25,0,1
84,0,641489,0,-57,160608,18831,1042,13562,9918,5642,4090,25,0,1
85,0,641489,0,-12,160608,18831,1042,13562,9918,5642,4090,25,0,1
86,0,641489,0,-114,160608,18831,1042,13562,9918,5642,4090,25,0,1
87,0,641489,0,403,160608,18831,1042,13562,9918,5642,4090,25,0,1
88,0,641489,0,117,160608,18831,1042,13562,9918,5642,4090,25,0,1
89,0,641489,0,-166,160608,18831,1042,13562,9918,5642,4090,25,0,1
90,0,641489,0,68,160608,18831,1042,13562,9918,5642,4090,25,0,1
91,0,641489,0,92,160608,18831,1042,13562,9918,5642,4090,25,0,1
92,0,641489,0,29,160608,18831,1042,13562,9918,5642,4090,25,0,1
93,0,1719372,0,-210,435627,99795,25595,116727,42162,49651,21898,0,0,1
94,0,1719372,0,55,435627,99795,25595,116727,42162,49651,21898,0,0,1
95,0,1719372,0,-190,435627,99795,25595,116727,42162,49651,21898,0,0,1
96,0,1719372,0,518,435627,99795,25595,116727,42162,49651,21898,0,0,1
97,0,1719372,0,231,435627,99795,25595,116727,42162,49651,21898,0,0,1
98,0,1719372,0,-366,435627,99795,25595,116727,42162,49651,21898,0,0,1
99,0,1719372,0,272,435627,99795,25595,116727,42162,49651,21898,0,0,1
100,0,1719372,0,17,435627,99795,25595,116727,42162,49651,21898,0,0,1
101,0,1719372,0,-291,435627,99795,25595,116727,42162,49651,21898,0,0,1
102,0,1719372,0,178,435627,99795,25595,116727,42162,49651,21898,0,0,1
103,0,2001598,0,728,1162109,132710,95529,307711,140028,30403,42194,0,0,1
104,0,2001598,0,425,1162109,132710,95529,307711,140028,30403,42194,0,0,1
105,0,2001598,0,-82,1162109,132710,95529,307711,140028,30403,42194,0,0,1
106,0,2001598,0,249,1162109,132710,95529,307711,140028,30403,42194,0,0,1
107,0,2001598,0,-13,1162109,132710,95529,307711,140028,30403,42194,0,0,1
108,0,2001598,0,76,1162109,132710,95529,307711,140028,30403,42194,0,0,1
109,0,2001598,0,26,1162109,132710,95529,307711,140028,30403,42194,0,0,1
110,0,2001598,0,9,1162109,132710,95529,307711,140028,30403,42194,0,0,1
111,0,2001598,0,1,1162109,132710,95529,307711,140028,30403,42194,0,0,1
112,0,2001598,0,-108,1162109,132710,95529,307711,140028,30403,42194,0,0,1
113,0,533743,0,-3,6512,2403,1422,3735,2396,1692,1373,0,0,1
114,0,533743,0,54,6512,2403,1422,3735,2396,1692,1373,0,0,1
115,0,533743,0,-2,6512,2403,1422,3735,2396,1692,1373,0,0,1
116,0,533743,0,75,6512,2403,1422,3735,2396,1692,1373,0,0,1
117,0,533743,0,86,6512,2403,1422,3735,2396,1692,1373,0,0,1
